subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.86,0.58,2.00,0.89
sub-verse138_vert-17-seg-vert_msk,0.87,0.55,2.00,0.89
sub-verse138_vert-18-seg-vert_msk,0.88,0.59,2.00,0.90
sub-verse138_vert-19-seg-vert_msk,0.86,0.67,2.24,0.85
sub-verse138_vert-20-seg-vert_msk,0.88,0.64,1.73,0.90
sub-verse138_vert-21-seg-vert_msk,0.89,0.56,2.00,0.90
sub-verse138_vert-22-seg-vert_msk,0.89,0.58,2.00,0.91
sub-verse138_vert-23-seg-vert_msk,0.88,0.73,2.00,0.90
sub-verse138_vert-24-seg-vert_msk,0.82,0.99,3.61,0.73
sub-verse058_vert-19-seg-vert_msk,0.87,0.68,2.00,0.92
sub-verse058_vert-20-seg-vert_msk,0.87,0.58,2.00,0.89
sub-verse058_vert-21-seg-vert_msk,0.90,0.46,1.41,0.94
sub-verse058_vert-22-seg-vert_msk,0.88,0.61,1.73,0.91
sub-verse058_vert-23-seg-vert_msk,0.87,0.65,1.73,0.91
sub-verse058_vert-24-seg-vert_msk,0.84,0.79,2.45,0.81
sub-verse152_vert-19-seg-vert_msk,0.90,0.54,1.41,0.97
sub-verse152_vert-20-seg-vert_msk,0.86,0.65,2.00,0.90
sub-verse152_vert-21-seg-vert_msk,0.89,0.54,1.73,0.91
sub-verse152_vert-22-seg-vert_msk,0.87,0.65,2.00,0.88
sub-verse152_vert-23-seg-vert_msk,0.88,0.77,2.00,0.92
sub-verse152_vert-24-seg-vert_msk,0.83,0.93,2.45,0.81
sub-verse068_vert-16-seg-vert_msk,0.84,0.68,2.00,0.87
sub-verse068_vert-17-seg-vert_msk,0.85,0.64,2.24,0.86
sub-verse068_vert-18-seg-vert_msk,0.85,0.64,2.83,0.82
sub-verse068_vert-19-seg-vert_msk,0.83,0.74,2.45,0.79
sub-verse068_vert-20-seg-vert_msk,0.75,0.95,3.00,0.70
sub-verse068_vert-21-seg-vert_msk,0.83,0.72,2.24,0.83
sub-verse068_vert-22-seg-vert_msk,0.85,0.74,2.24,0.83
sub-verse068_vert-23-seg-vert_msk,0.84,0.80,2.45,0.83
sub-verse068_vert-24-seg-vert_msk,0.81,0.85,3.32,0.72
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.75,0.97,3.32,0.76
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.70,1.34,3.61,0.67
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.67,1.89,5.66,0.65
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.64,1.98,5.39,0.60
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.67,1.78,5.20,0.62
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.68,1.98,6.40,0.63
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.74,1.36,4.24,0.70
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.68,1.68,5.59,0.60
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.70,1.95,7.00,0.57
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.72,1.62,6.08,0.59
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.72,1.57,6.16,0.55
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.64,1.40,8.06,0.48
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.68,1.13,6.00,0.51
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.66,1.42,5.00,0.50
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.73,1.31,5.10,0.54
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.84,0.52,2.00,0.91
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.86,0.53,2.00,0.92
sub-verse073_vert-20-seg-vert_msk,0.88,0.62,1.73,0.91
sub-verse073_vert-21-seg-vert_msk,0.88,0.62,2.00,0.90
sub-verse073_vert-22-seg-vert_msk,0.82,0.87,3.16,0.80
sub-verse073_vert-23-seg-vert_msk,0.83,0.85,2.24,0.82
sub-verse073_vert-24-seg-vert_msk,0.84,0.78,2.24,0.82
sub-verse095_vert-10-seg-vert_msk,0.86,0.47,1.41,0.94
sub-verse095_vert-11-seg-vert_msk,0.77,0.82,2.24,0.85
sub-verse095_vert-12-seg-vert_msk,0.85,0.55,1.41,0.95
sub-verse095_vert-13-seg-vert_msk,0.85,0.58,1.41,0.94
sub-verse095_vert-14-seg-vert_msk,0.87,0.52,1.41,0.94
sub-verse095_vert-15-seg-vert_msk,0.86,0.59,1.41,0.93
sub-verse095_vert-16-seg-vert_msk,0.87,0.59,1.41,0.93
sub-verse095_vert-17-seg-vert_msk,0.89,0.49,1.41,0.96
sub-verse095_vert-18-seg-vert_msk,0.90,0.53,1.41,0.96
sub-verse095_vert-19-seg-vert_msk,0.90,0.50,1.41,0.95
sub-verse095_vert-20-seg-vert_msk,0.90,0.49,1.41,0.93
sub-verse095_vert-21-seg-vert_msk,0.90,0.48,1.41,0.96
sub-verse095_vert-22-seg-vert_msk,0.90,0.54,1.41,0.95
sub-verse095_vert-23-seg-vert_msk,0.87,0.70,2.00,0.90
sub-verse095_vert-24-seg-vert_msk,0.88,0.61,1.73,0.92
sub-verse095_vert-8-seg-vert_msk,0.78,0.73,2.45,0.82
sub-verse095_vert-9-seg-vert_msk,0.84,0.60,1.41,0.92
