subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.86,0.58,2.00,0.89
sub-verse138_vert-17-seg-vert_msk,0.87,0.55,2.00,0.89
sub-verse138_vert-18-seg-vert_msk,0.88,0.60,2.00,0.90
sub-verse138_vert-19-seg-vert_msk,0.86,0.68,2.24,0.85
sub-verse138_vert-20-seg-vert_msk,0.87,0.65,1.73,0.90
sub-verse138_vert-21-seg-vert_msk,0.89,0.57,2.00,0.90
sub-verse138_vert-22-seg-vert_msk,0.90,0.58,1.73,0.91
sub-verse138_vert-23-seg-vert_msk,0.87,0.73,2.00,0.89
sub-verse138_vert-24-seg-vert_msk,0.83,0.96,3.61,0.74
sub-verse058_vert-19-seg-vert_msk,0.86,0.72,2.00,0.91
sub-verse058_vert-20-seg-vert_msk,0.88,0.57,2.00,0.89
sub-verse058_vert-21-seg-vert_msk,0.90,0.45,1.41,0.93
sub-verse058_vert-22-seg-vert_msk,0.87,0.63,1.73,0.91
sub-verse058_vert-23-seg-vert_msk,0.87,0.65,1.73,0.91
sub-verse058_vert-24-seg-vert_msk,0.84,0.79,2.24,0.82
sub-verse152_vert-19-seg-vert_msk,0.90,0.54,1.41,0.97
sub-verse152_vert-20-seg-vert_msk,0.86,0.64,1.73,0.91
sub-verse152_vert-21-seg-vert_msk,0.89,0.54,1.73,0.92
sub-verse152_vert-22-seg-vert_msk,0.87,0.66,2.00,0.88
sub-verse152_vert-23-seg-vert_msk,0.87,0.77,2.00,0.92
sub-verse152_vert-24-seg-vert_msk,0.83,0.95,2.83,0.80
sub-verse068_vert-16-seg-vert_msk,0.84,0.69,2.00,0.86
sub-verse068_vert-17-seg-vert_msk,0.85,0.63,2.24,0.87
sub-verse068_vert-18-seg-vert_msk,0.85,0.63,2.83,0.82
sub-verse068_vert-19-seg-vert_msk,0.83,0.74,2.45,0.79
sub-verse068_vert-20-seg-vert_msk,0.75,0.95,3.00,0.70
sub-verse068_vert-21-seg-vert_msk,0.83,0.71,2.24,0.84
sub-verse068_vert-22-seg-vert_msk,0.85,0.74,2.24,0.83
sub-verse068_vert-23-seg-vert_msk,0.84,0.80,2.45,0.83
sub-verse068_vert-24-seg-vert_msk,0.81,0.86,3.32,0.72
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.75,0.97,3.32,0.76
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.69,1.42,3.74,0.67
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.66,1.94,5.83,0.63
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.64,2.00,5.39,0.59
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.67,1.80,5.39,0.62
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.68,1.95,6.40,0.63
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.74,1.33,4.36,0.70
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.69,1.65,5.66,0.61
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.70,1.91,7.00,0.57
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.72,1.63,5.92,0.59
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.72,1.55,6.40,0.55
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.64,1.38,8.06,0.48
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.68,1.16,6.16,0.51
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.67,1.42,4.69,0.50
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.73,1.30,5.00,0.55
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.84,0.52,2.00,0.90
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.86,0.55,1.95,0.92
sub-verse073_vert-20-seg-vert_msk,0.88,0.62,1.73,0.91
sub-verse073_vert-21-seg-vert_msk,0.88,0.62,2.00,0.90
sub-verse073_vert-22-seg-vert_msk,0.83,0.84,3.00,0.81
sub-verse073_vert-23-seg-vert_msk,0.84,0.85,2.24,0.82
sub-verse073_vert-24-seg-vert_msk,0.84,0.79,2.24,0.83
sub-verse095_vert-10-seg-vert_msk,0.86,0.46,1.41,0.94
sub-verse095_vert-11-seg-vert_msk,0.77,0.81,2.24,0.85
sub-verse095_vert-12-seg-vert_msk,0.85,0.55,1.41,0.95
sub-verse095_vert-13-seg-vert_msk,0.85,0.58,1.41,0.95
sub-verse095_vert-14-seg-vert_msk,0.87,0.53,1.41,0.94
sub-verse095_vert-15-seg-vert_msk,0.86,0.59,1.41,0.93
sub-verse095_vert-16-seg-vert_msk,0.87,0.57,1.41,0.94
sub-verse095_vert-17-seg-vert_msk,0.90,0.48,1.41,0.96
sub-verse095_vert-18-seg-vert_msk,0.90,0.53,1.41,0.96
sub-verse095_vert-19-seg-vert_msk,0.90,0.49,1.41,0.95
sub-verse095_vert-20-seg-vert_msk,0.90,0.48,1.49,0.92
sub-verse095_vert-21-seg-vert_msk,0.91,0.48,1.41,0.97
sub-verse095_vert-22-seg-vert_msk,0.90,0.55,1.41,0.96
sub-verse095_vert-23-seg-vert_msk,0.87,0.70,2.00,0.90
sub-verse095_vert-24-seg-vert_msk,0.88,0.61,1.73,0.91
sub-verse095_vert-8-seg-vert_msk,0.78,0.75,2.45,0.82
sub-verse095_vert-9-seg-vert_msk,0.84,0.60,1.41,0.93
sub-verse410_split-verse227_vert-1-seg-vert_msk,0.60,2.02,7.81,0.73
sub-verse410_split-verse227_vert-2-seg-vert_msk,0.75,1.35,4.19,0.82
sub-verse410_split-verse227_vert-3-seg-vert_msk,0.78,0.66,2.00,0.89
sub-verse410_split-verse227_vert-4-seg-vert_msk,0.75,0.80,2.00,0.90
sub-verse410_split-verse227_vert-5-seg-vert_msk,0.74,0.86,2.00,0.92
sub-verse410_split-verse227_vert-6-seg-vert_msk,0.76,0.82,2.24,0.91
sub-verse410_split-verse227_vert-7-seg-vert_msk,0.82,0.65,2.00,0.94
sub-verse410_split-verse227_vert-8-seg-vert_msk,0.88,0.48,1.41,0.98
sub-verse053_vert-20-seg-vert_msk,0.90,0.47,1.41,0.93
sub-verse053_vert-21-seg-vert_msk,0.78,0.82,4.24,0.69
sub-verse053_vert-22-seg-vert_msk,0.78,0.86,6.16,0.62
sub-verse053_vert-23-seg-vert_msk,0.71,1.19,6.71,0.51
sub-verse053_vert-24-seg-vert_msk,0.65,1.39,5.83,0.49
