id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse053_vert-21,1.490,74.430,25.440,25.620,17.720,31.930,4.890
sub-verse073_vert-20,0.230,3.940,0.790,0.030,1.170,5.470,0.210
sub-verse073_vert-23,1.000,15.910,2.940,1.350,1.080,0.510,1.210
sub-verse073_vert-21,0.660,4.430,0.940,1.560,2.910,0.090,0.230
sub-verse073_vert-22,0.590,10.960,0.140,0.420,1.380,5.500,0.320
sub-verse073_vert-24,2.720,8.050,1.300,0.260,2.380,2.220,1.180
sub-verse095_vert-10,4.310,6.960,1.780,0.120,0.850,1.050,0.100
sub-verse095_vert-11,1.630,17.760,2.720,1.940,0.090,0.540,0.180
sub-verse095_vert-14,4.970,3.600,0.280,0.740,2.970,1.610,1.250
sub-verse095_vert-13,2.410,4.920,1.260,0.090,5.580,0.730,1.030
sub-verse095_vert-12,0.940,10.730,0.490,0.600,2.130,2.660,0.450
sub-verse095_vert-15,0.610,61.860,0.030,1.190,0.060,0.600,0.980
sub-verse095_vert-16,1.120,85.870,1.380,0.030,0.150,1.490,0.150
sub-verse095_vert-17,2.480,87.590,0.310,0.520,1.180,5.150,0.300
sub-verse095_vert-18,1.440,85.160,0.800,1.340,1.450,0.860,0.620
sub-verse095_vert-19,0.040,79.050,0.860,0.010,0.360,2.880,1.140
sub-verse095_vert-20,0.630,8.360,0.280,0.280,0.190,0.170,0.380
sub-verse095_vert-21,0.570,3.660,0.290,1.040,0.930,0.270,0.050
sub-verse095_vert-22,1.980,10.440,0.020,0.460,0.130,0.940,0.940
sub-verse095_vert-23,3.790,25.370,1.170,2.620,1.130,0.500,0.600
sub-verse125_vert-11,4.380,8.240,0.300,1.230,0.540,0.650,0.820
sub-verse095_vert-9,2.390,2.400,1.610,2.100,2.210,1.740,0.110
sub-verse095_vert-8,0.890,108.830,2.580,1.990,0.080,6.290,1.120
sub-verse095_vert-24,0.800,1.260,0.830,0.860,3.790,3.060,0.370
sub-verse125_vert-10,1.340,8.500,1.280,1.130,1.730,0.090,0.950
sub-verse125_vert-12,9.530,2.200,0.770,0.130,1.830,0.510,0.630
sub-verse125_vert-14,9.320,1.330,1.420,0.550,0.420,0.960,0.210
sub-verse125_vert-13,12.880,5.860,1.080,1.490,6.360,3.280,1.320
sub-verse125_vert-17,0.170,1.830,0.840,0.800,0.320,1.050,0.890
sub-verse125_vert-16,0.820,1.360,3.320,1.130,1.580,0.190,0.130
sub-verse125_vert-18,1.020,7.310,0.830,0.770,0.770,0.180,0.170
sub-verse125_vert-15,2.050,0.720,1.000,1.560,0.050,1.270,0.510
sub-verse125_vert-19,0.420,91.430,2.670,0.250,0.420,1.840,0.780
sub-verse125_vert-20,1.070,1.410,1.000,0.240,2.340,2.070,0.560
sub-verse125_vert-9,4.680,2.780,0.560,2.720,0.570,1.510,0.090
sub-verse127_vert-10,1.700,16.310,0.760,0.520,0.420,1.270,0.530
sub-verse127_vert-11,1.810,4.840,0.670,0.430,0.660,2.570,0.050
sub-verse127_vert-12,2.610,1.330,2.470,2.020,1.850,0.630,0.490
sub-verse127_vert-13,1.100,0.620,1.790,1.950,0.640,0.920,0.280
sub-verse127_vert-14,0.580,0.580,2.110,0.050,3.750,1.620,2.160
sub-verse127_vert-16,1.280,67.260,3.690,0.600,0.470,0.820,0.150
sub-verse127_vert-15,3.320,11.530,2.440,1.090,2.710,1.120,0.280
sub-verse127_vert-18,1.960,103.610,1.660,0.490,1.010,0.390,1.640
sub-verse127_vert-17,0.980,4.230,1.830,1.010,0.270,0.470,0.780
sub-verse127_vert-19,0.740,0.900,1.370,1.800,1.310,1.610,1.210
sub-verse127_vert-20,0.010,5.760,1.310,0.470,0.460,1.770,0.130
sub-verse127_vert-22,1.160,2.950,0.990,0.580,2.980,1.630,0.030
sub-verse127_vert-23,0.190,1.110,0.200,0.490,1.750,0.660,0.090
sub-verse127_vert-21,1.230,11.190,0.610,1.270,0.690,1.680,1.230
sub-verse127_vert-8,4.780,27.820,0.080,0.440,2.780,1.880,0.540
sub-verse127_vert-24,0.970,144.280,1.030,2.380,0.330,0.110,0.140
sub-verse127_vert-9,0.980,15.600,2.020,2.230,2.740,1.220,0.250
sub-verse134_vert-20,1.260,1.600,2.170,1.830,0.490,0.900,1.430
sub-verse134_vert-21,0.360,1.890,2.220,4.060,1.660,3.360,1.540
sub-verse134_vert-22,0.240,3.240,1.670,2.950,1.190,0.180,1.010
sub-verse134_vert-23,0.990,27.650,2.180,1.290,0.290,2.860,1.330
sub-verse134_vert-24,0.440,117.080,0.350,0.670,0.660,1.160,0.510
sub-verse138_vert-17,2.940,8.930,1.610,0.750,0.980,0.890,1.640
sub-verse138_vert-16,0.430,72.210,4.060,1.610,2.210,1.930,0.980
sub-verse138_vert-18,1.390,1.520,1.030,0.050,2.230,1.780,0.890
sub-verse138_vert-20,1.390,3.210,0.020,0.790,2.250,0.290,4.150
sub-verse138_vert-19,0.640,110.990,0.520,2.080,0.850,3.150,1.110
sub-verse138_vert-21,1.300,0.680,1.300,0.990,5.410,2.310,3.210
sub-verse152_vert-19,1.510,3.430,1.340,0.660,0.490,1.970,0.120
sub-verse138_vert-23,0.990,5.860,4.600,0.280,0.010,1.210,1.110
sub-verse138_vert-22,0.480,0.310,0.270,0.290,1.500,3.780,0.980
sub-verse152_vert-20,1.260,143.680,0.350,0.690,0.410,2.520,0.070
sub-verse152_vert-21,1.300,6.210,1.750,1.960,1.360,1.740,0.650
sub-verse152_vert-22,6.100,26.810,0.060,1.270,0.040,0.490,1.140
sub-verse152_vert-23,1.270,12.310,0.360,0.410,1.010,0.980,0.930
sub-verse221_vert-1,9.040,63.020,1.910,0.880,8.180,0.310,5.540
sub-verse152_vert-24,0.760,0.260,0.750,0.490,3.490,1.670,0.060
sub-verse221_vert-3,5.470,87.840,3.680,4.110,1.030,0.350,0.390
sub-verse221_vert-2,0.680,15.630,3.210,1.890,12.670,10.050,0.480
sub-verse221_vert-4,0.200,2.510,0.710,2.090,2.250,3.000,0.720
sub-verse221_vert-6,2.670,4.390,0.890,2.340,2.140,3.900,1.270
sub-verse221_vert-5,1.160,8.580,2.180,4.170,7.110,1.360,0.100
sub-verse221_vert-7,1.040,13.150,2.200,1.450,2.610,0.730,0.300
sub-verse221_vert-9,1.460,0.890,1.530,2.300,2.030,2.220,1.330
sub-verse221_vert-8,1.010,1.900,1.660,2.000,0.830,0.650,0.020
sub-verse402_split-verse251_vert-10,0.720,0.510,1.850,2.250,0.470,2.170,0.790
sub-verse402_split-verse251_vert-12,7.370,15.490,0.230,0.950,0.820,0.270,0.650
sub-verse402_split-verse251_vert-13,6.980,12.790,1.180,1.030,0.050,0.820,0.940
sub-verse402_split-verse251_vert-11,0.160,4.960,2.320,1.850,0.050,0.300,0.820
sub-verse402_split-verse251_vert-14,5.500,17.520,1.320,1.620,1.360,2.040,0.240
sub-verse402_split-verse251_vert-16,0.340,87.000,0.510,0.850,1.130,3.590,0.750
sub-verse402_split-verse251_vert-15,4.940,10.130,0.070,1.860,1.830,3.500,0.190
sub-verse402_split-verse251_vert-18,2.990,119.500,0.560,0.130,0.080,0.440,0.620
sub-verse402_split-verse251_vert-17,0.160,106.290,0.470,1.110,2.280,1.340,0.550
