subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.88,0.57,1.73,0.92
sub-verse138_vert-17-seg-vert_msk,0.89,0.53,1.73,0.91
sub-verse138_vert-18-seg-vert_msk,0.88,0.58,2.00,0.90
sub-verse138_vert-19-seg-vert_msk,0.89,0.70,2.00,0.90
sub-verse138_vert-20-seg-vert_msk,0.89,0.53,2.00,0.88
sub-verse138_vert-21-seg-vert_msk,0.89,0.58,2.00,0.89
sub-verse138_vert-22-seg-vert_msk,0.90,0.56,1.73,0.92
sub-verse138_vert-23-seg-vert_msk,0.87,0.64,2.24,0.85
sub-verse138_vert-24-seg-vert_msk,0.84,0.84,3.32,0.73
sub-verse058_vert-19-seg-vert_msk,0.87,0.65,1.73,0.91
sub-verse058_vert-20-seg-vert_msk,0.89,0.58,1.41,0.94
sub-verse058_vert-21-seg-vert_msk,0.88,0.56,1.73,0.91
sub-verse058_vert-22-seg-vert_msk,0.87,0.58,2.00,0.88
sub-verse058_vert-23-seg-vert_msk,0.88,0.60,1.73,0.91
sub-verse058_vert-24-seg-vert_msk,0.86,0.70,2.24,0.84
sub-verse152_vert-19-seg-vert_msk,0.90,0.56,1.00,0.98
sub-verse152_vert-20-seg-vert_msk,0.86,0.69,2.00,0.90
sub-verse152_vert-21-seg-vert_msk,0.90,0.53,1.41,0.96
sub-verse152_vert-22-seg-vert_msk,0.89,0.63,1.41,0.94
sub-verse152_vert-23-seg-vert_msk,0.86,0.83,2.00,0.86
sub-verse152_vert-24-seg-vert_msk,0.83,0.89,3.00,0.77
sub-verse068_vert-16-seg-vert_msk,0.85,0.65,2.24,0.82
sub-verse068_vert-17-seg-vert_msk,0.86,0.60,2.24,0.86
sub-verse068_vert-18-seg-vert_msk,0.86,0.67,2.24,0.85
sub-verse068_vert-19-seg-vert_msk,0.86,0.64,2.24,0.82
sub-verse068_vert-20-seg-vert_msk,0.78,0.92,2.83,0.72
sub-verse068_vert-21-seg-vert_msk,0.84,0.67,2.24,0.82
sub-verse068_vert-22-seg-vert_msk,0.85,0.72,2.24,0.82
sub-verse068_vert-23-seg-vert_msk,0.87,0.61,2.00,0.86
sub-verse068_vert-24-seg-vert_msk,0.83,0.80,3.32,0.76
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.75,1.01,3.74,0.71
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.67,1.55,4.12,0.60
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.71,1.37,3.74,0.66
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.69,1.52,4.58,0.61
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.73,1.26,4.12,0.65
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.73,1.31,4.12,0.64
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.77,1.08,4.12,0.70
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.72,1.30,5.00,0.62
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.72,1.43,5.74,0.56
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.77,1.21,6.04,0.62
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.72,1.18,7.35,0.50
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.67,1.26,7.07,0.45
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.69,1.13,6.71,0.44
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.63,1.45,6.48,0.38
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.77,0.99,5.00,0.56
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.82,0.73,1.73,0.89
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.82,0.74,2.24,0.86
sub-verse073_vert-20-seg-vert_msk,0.85,0.81,2.24,0.87
sub-verse073_vert-21-seg-vert_msk,0.87,0.69,2.00,0.89
sub-verse073_vert-22-seg-vert_msk,0.80,1.00,3.00,0.71
sub-verse073_vert-23-seg-vert_msk,0.83,0.81,2.24,0.80
sub-verse073_vert-24-seg-vert_msk,0.86,0.73,2.24,0.83
sub-verse095_vert-10-seg-vert_msk,0.85,0.60,1.41,0.94
sub-verse095_vert-11-seg-vert_msk,0.75,0.95,2.24,0.80
sub-verse095_vert-12-seg-vert_msk,0.83,0.70,2.00,0.89
sub-verse095_vert-13-seg-vert_msk,0.82,0.74,2.00,0.90
sub-verse095_vert-14-seg-vert_msk,0.85,0.67,1.73,0.93
sub-verse095_vert-15-seg-vert_msk,0.85,0.69,2.00,0.92
sub-verse095_vert-16-seg-vert_msk,0.85,0.73,2.00,0.91
sub-verse095_vert-17-seg-vert_msk,0.87,0.66,2.00,0.91
sub-verse095_vert-18-seg-vert_msk,0.88,0.65,1.41,0.94
sub-verse095_vert-19-seg-vert_msk,0.90,0.55,1.41,0.94
sub-verse095_vert-20-seg-vert_msk,0.89,0.63,1.41,0.95
sub-verse095_vert-21-seg-vert_msk,0.90,0.53,1.41,0.96
