subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.87,2.12,5.74,0.48
s0859_femur_right_msk,0.84,1.96,13.49,0.54
s0592_femur_left_msk,0.95,0.68,2.24,0.92
s0592_femur_right_msk,0.95,0.72,2.24,0.91
s0375_femur_left_msk,0.95,0.70,2.24,0.93
s0375_femur_right_msk,0.95,0.76,2.45,0.90
s0918_femur_left_msk,0.83,2.22,8.12,0.44
s0918_femur_right_msk,0.95,0.85,2.83,0.88
s0776_femur_left_msk,0.95,0.67,2.00,0.93
s0776_femur_right_msk,0.95,0.72,2.24,0.92
s0074_femur_left_msk,0.93,0.99,3.00,0.82
s0074_femur_right_msk,0.94,0.97,2.83,0.88
s1247_femur_left_msk,0.95,0.70,2.24,0.94
s1247_femur_right_msk,0.94,0.75,2.24,0.90
s0648_femur_left_msk,0.95,0.71,2.00,0.94
s0648_femur_right_msk,0.94,0.96,2.83,0.88
s1069_femur_left_msk,0.94,0.86,2.45,0.87
s1069_femur_right_msk,0.95,0.80,2.24,0.90
s0210_femur_left_msk,0.94,0.84,2.45,0.88
s0210_femur_right_msk,0.92,1.10,3.61,0.76
s0885_femur_left_msk,0.93,0.98,4.00,0.81
s0885_femur_right_msk,0.93,0.95,3.74,0.81
s0212_femur_left_msk,0.95,0.80,2.24,0.90
s0212_femur_right_msk,0.96,0.64,2.00,0.94
s1130_femur_left_msk,0.96,0.65,2.00,0.94
s1130_femur_right_msk,0.95,0.74,2.24,0.91
s0988_femur_left_msk,0.93,1.04,3.00,0.78
s0988_femur_right_msk,0.86,2.12,6.40,0.46
s1143_femur_left_msk,0.95,0.83,2.45,0.88
s1143_femur_right_msk,0.94,0.95,3.00,0.84
s0502_femur_left_msk,0.94,0.90,2.83,0.83
s0502_femur_right_msk,0.95,0.84,2.45,0.87
s0141_femur_left_msk,0.94,0.81,2.24,0.91
s0141_femur_right_msk,0.95,0.77,2.24,0.92
s1238_femur_left_msk,0.92,1.33,4.58,0.77
s1238_femur_right_msk,0.94,1.00,3.00,0.83
s0509_femur_left_msk,0.74,4.92,14.90,0.36
s0509_femur_right_msk,0.90,1.51,4.58,0.67
s1348_femur_left_msk,0.94,0.82,4.12,0.81
s1348_femur_right_msk,0.94,0.87,4.12,0.80
s0174_femur_left_msk,0.93,0.92,2.45,0.89
s0174_femur_right_msk,0.92,0.98,2.83,0.82
s1149_femur_left_msk,0.92,1.04,4.58,0.80
s1149_femur_right_msk,0.92,1.04,3.61,0.77
