subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.86,2.36,6.08,0.48
s0859_femur_right_msk,0.88,1.86,8.25,0.59
s0592_femur_left_msk,0.94,0.81,2.24,0.88
s0592_femur_right_msk,0.94,0.80,2.45,0.87
s0375_femur_left_msk,0.95,0.78,2.24,0.89
s0375_femur_right_msk,0.95,0.78,2.24,0.89
s0918_femur_left_msk,0.86,1.94,5.20,0.51
s0918_femur_right_msk,0.94,1.00,2.83,0.82
s0776_femur_left_msk,0.95,0.77,2.83,0.86
s0776_femur_right_msk,0.95,0.74,2.24,0.89
s0074_femur_left_msk,0.95,0.71,2.00,0.93
s0074_femur_right_msk,0.95,0.70,2.00,0.93
s1247_femur_left_msk,0.95,0.74,2.24,0.90
s1247_femur_right_msk,0.94,0.79,2.24,0.88
s0648_femur_left_msk,0.95,0.85,2.24,0.89
s0648_femur_right_msk,0.94,0.90,2.24,0.86
s1069_femur_left_msk,0.95,0.82,2.24,0.88
s1069_femur_right_msk,0.95,0.77,2.24,0.89
s0210_femur_left_msk,0.94,0.90,2.83,0.84
s0210_femur_right_msk,0.87,4.61,40.77,0.59
s0885_femur_left_msk,0.94,0.93,3.74,0.82
s0885_femur_right_msk,0.93,0.95,3.32,0.81
s0212_femur_left_msk,0.93,1.03,2.83,0.82
s0212_femur_right_msk,0.95,0.83,2.24,0.89
s1130_femur_left_msk,0.94,0.92,3.00,0.86
s1130_femur_right_msk,0.94,0.90,3.00,0.84
s0988_femur_left_msk,0.93,1.22,3.61,0.76
s0988_femur_right_msk,0.87,1.93,6.00,0.52
s1143_femur_left_msk,0.89,1.69,5.00,0.57
s1143_femur_right_msk,0.88,1.88,5.74,0.52
s0502_femur_left_msk,0.93,1.03,3.00,0.79
s0502_femur_right_msk,0.95,0.83,2.24,0.88
s0141_femur_left_msk,0.92,1.12,3.16,0.81
s0141_femur_right_msk,0.92,1.11,3.00,0.82
s1238_femur_left_msk,0.93,1.18,3.16,0.76
s1238_femur_right_msk,0.94,0.98,3.00,0.83
s0509_femur_left_msk,0.67,6.54,23.45,0.30
s0509_femur_right_msk,0.89,1.75,5.74,0.59
s1348_femur_left_msk,0.92,1.16,5.10,0.70
s1348_femur_right_msk,0.92,1.18,4.90,0.70
s0174_femur_left_msk,0.92,1.08,3.00,0.79
s0174_femur_right_msk,0.89,1.75,5.83,0.70
s1149_femur_left_msk,0.92,1.27,3.74,0.75
s1149_femur_right_msk,0.88,1.78,5.83,0.57
s0768_femur_left_msk,0.93,0.92,2.45,0.86
s0768_femur_right_msk,0.94,0.84,2.83,0.87
s1276_femur_left_msk,0.95,0.74,2.24,0.90
s1276_femur_right_msk,0.94,0.76,2.24,0.89
s0072_femur_left_msk,0.90,1.27,5.74,0.68
s0072_femur_right_msk,0.87,1.61,5.74,0.60
s0880_femur_left_msk,0.87,1.95,6.16,0.49
s0880_femur_right_msk,0.92,1.26,3.16,0.75
s0428_femur_left_msk,0.91,1.28,3.32,0.74
s0428_femur_right_msk,0.94,0.84,2.24,0.89
s0614_femur_left_msk,0.95,0.76,2.24,0.90
s0614_femur_right_msk,0.94,0.87,2.45,0.86
s0171_femur_left_msk,0.94,0.84,2.45,0.88
s0171_femur_right_msk,0.93,1.02,3.16,0.82
s0519_femur_left_msk,0.95,0.84,2.24,0.88
s0519_femur_right_msk,0.95,0.72,2.00,0.91
s0992_femur_left_msk,0.96,0.58,2.00,0.95
s0992_femur_right_msk,0.95,0.65,2.00,0.93
s1099_femur_left_msk,0.92,1.11,3.00,0.80
s1099_femur_right_msk,0.94,0.81,2.24,0.89
s0667_femur_left_msk,0.95,1.13,2.24,0.88
s0667_femur_right_msk,0.95,0.81,2.45,0.87
s1228_femur_left_msk,0.93,0.92,2.83,0.85
s1228_femur_right_msk,0.93,0.91,2.83,0.85
s0702_femur_left_msk,0.92,1.24,3.32,0.73
s0702_femur_right_msk,0.94,0.94,2.83,0.83
s0339_femur_left_msk,0.94,0.83,2.45,0.86
s0339_femur_right_msk,0.94,0.84,2.24,0.88
