subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.84,2.57,6.40,0.40
s0859_femur_right_msk,0.82,2.50,11.36,0.41
s0592_femur_left_msk,0.92,1.09,3.16,0.74
s0592_femur_right_msk,0.91,1.27,3.61,0.70
s0375_femur_left_msk,0.95,0.78,2.24,0.90
s0375_femur_right_msk,0.93,1.06,3.16,0.81
s0918_femur_left_msk,0.71,3.40,13.38,0.33
s0918_femur_right_msk,0.93,1.05,3.32,0.77
s0776_femur_left_msk,0.89,1.59,4.69,0.59
s0776_femur_right_msk,0.91,1.33,4.12,0.68
s0074_femur_left_msk,0.92,1.15,3.00,0.74
s0074_femur_right_msk,0.90,2.76,13.37,0.67
s1247_femur_left_msk,0.92,1.00,3.16,0.79
s1247_femur_right_msk,0.91,1.19,4.24,0.70
s0648_femur_left_msk,0.92,1.19,4.12,0.77
s0648_femur_right_msk,0.89,1.55,5.39,0.65
s1069_femur_left_msk,0.92,1.13,3.61,0.79
s1069_femur_right_msk,0.93,1.04,3.61,0.81
s0210_femur_left_msk,0.91,1.15,4.12,0.68
s0210_femur_right_msk,0.86,1.72,8.12,0.54
s0885_femur_left_msk,0.91,1.24,3.74,0.68
s0885_femur_right_msk,0.91,1.23,3.74,0.67
s0212_femur_left_msk,0.91,1.28,4.12,0.71
s0212_femur_right_msk,0.95,0.73,2.24,0.90
s1130_femur_left_msk,0.93,1.00,3.16,0.77
s1130_femur_right_msk,0.92,1.03,3.74,0.75
s0988_femur_left_msk,0.88,1.90,5.83,0.54
s0988_femur_right_msk,0.81,2.76,8.06,0.33
s1143_femur_left_msk,0.89,1.56,4.58,0.59
s1143_femur_right_msk,0.88,1.84,4.58,0.52
s0502_femur_left_msk,0.92,1.17,3.61,0.70
s0502_femur_right_msk,0.91,1.25,3.61,0.65
s0141_femur_left_msk,0.91,1.17,4.12,0.70
s0141_femur_right_msk,0.92,1.02,3.74,0.79
s1238_femur_left_msk,0.90,1.43,4.58,0.65
s1238_femur_right_msk,0.91,1.34,4.24,0.69
s0509_femur_left_msk,0.57,8.57,25.98,0.20
s0509_femur_right_msk,0.86,2.16,6.16,0.50
s1348_femur_left_msk,0.91,1.19,4.47,0.67
s1348_femur_right_msk,0.91,1.21,5.10,0.66
s0174_femur_left_msk,0.88,1.68,4.00,0.63
s0174_femur_right_msk,0.85,1.88,5.10,0.51
s1149_femur_left_msk,0.88,1.68,6.40,0.58
s1149_femur_right_msk,0.85,2.03,6.00,0.44
s0768_femur_left_msk,0.88,1.57,5.20,0.58
s0768_femur_right_msk,0.91,1.03,3.61,0.74
s1276_femur_left_msk,0.92,0.94,3.16,0.77
s1276_femur_right_msk,0.92,0.91,3.00,0.79
s0072_femur_left_msk,0.82,2.15,7.48,0.42
s0072_femur_right_msk,0.82,2.22,6.78,0.42
