subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.85,2.35,6.78,0.47
s0859_femur_right_msk,0.86,1.92,11.05,0.56
s0592_femur_left_msk,0.95,0.71,2.24,0.90
s0592_femur_right_msk,0.94,0.82,2.45,0.87
s0375_femur_left_msk,0.94,0.90,3.00,0.86
s0375_femur_right_msk,0.94,0.92,3.00,0.85
s0918_femur_left_msk,0.81,2.46,7.81,0.42
s0918_femur_right_msk,0.93,1.08,3.16,0.80
s0776_femur_left_msk,0.92,1.11,3.61,0.74
s0776_femur_right_msk,0.94,0.86,3.00,0.84
s0074_femur_left_msk,0.91,1.67,3.61,0.73
s0074_femur_right_msk,0.91,2.72,14.87,0.78
s1247_femur_left_msk,0.93,0.96,3.00,0.82
s1247_femur_right_msk,0.94,0.77,2.83,0.87
s0648_femur_left_msk,0.93,1.03,3.00,0.85
s0648_femur_right_msk,0.92,1.19,3.16,0.77
s1069_femur_left_msk,0.94,0.92,2.83,0.84
s1069_femur_right_msk,0.94,0.84,2.45,0.88
s0210_femur_left_msk,0.93,1.00,3.00,0.78
s0210_femur_right_msk,0.88,2.51,5.83,0.62
s0885_femur_left_msk,0.93,1.04,3.74,0.77
s0885_femur_right_msk,0.93,0.96,3.32,0.79
s0212_femur_left_msk,0.93,1.04,2.83,0.82
s0212_femur_right_msk,0.95,0.80,2.24,0.88
s1130_femur_left_msk,0.94,1.00,3.32,0.82
s1130_femur_right_msk,0.93,1.04,3.32,0.82
s0988_femur_left_msk,0.92,1.31,4.12,0.70
s0988_femur_right_msk,0.83,2.51,8.06,0.43
s1143_femur_left_msk,0.92,1.44,4.47,0.76
s1143_femur_right_msk,0.91,1.86,9.22,0.76
s0502_femur_left_msk,0.93,0.97,3.00,0.80
s0502_femur_right_msk,0.95,0.78,2.24,0.90
s0141_femur_left_msk,0.93,0.93,2.83,0.86
s0141_femur_right_msk,0.93,1.02,3.32,0.82
s1238_femur_left_msk,0.91,1.36,5.00,0.71
s1238_femur_right_msk,0.94,1.02,3.46,0.82
s0509_femur_left_msk,0.73,4.68,14.76,0.32
s0509_femur_right_msk,0.82,2.73,8.06,0.44
s1348_femur_left_msk,0.92,1.12,4.90,0.73
s1348_femur_right_msk,0.91,1.23,4.90,0.69
s0174_femur_left_msk,0.92,1.00,2.83,0.85
s0174_femur_right_msk,0.91,1.09,3.16,0.80
s1149_femur_left_msk,0.91,1.34,4.47,0.73
s1149_femur_right_msk,0.89,1.76,5.39,0.65
s0768_femur_left_msk,0.92,1.46,4.47,0.79
s0768_femur_right_msk,0.92,2.10,10.73,0.81
s1276_femur_left_msk,0.94,0.78,2.45,0.89
s1276_femur_right_msk,0.94,0.77,2.45,0.87
s0072_femur_left_msk,0.90,1.09,8.77,0.70
s0072_femur_right_msk,0.89,1.25,7.21,0.66
s0880_femur_left_msk,0.86,2.17,7.07,0.58
s0880_femur_right_msk,0.94,0.93,3.16,0.83
s0428_femur_left_msk,0.92,1.21,3.61,0.74
