subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.88,1.97,5.92,0.58
s0859_femur_right_msk,0.90,1.56,5.10,0.60
s0592_femur_left_msk,0.94,0.80,2.24,0.89
s0592_femur_right_msk,0.95,0.63,2.00,0.94
s0375_femur_left_msk,0.95,0.78,2.24,0.91
s0375_femur_right_msk,0.95,0.78,2.45,0.89
s0918_femur_left_msk,0.81,2.29,13.08,0.46
s0918_femur_right_msk,0.95,0.82,2.45,0.89
s0776_femur_left_msk,0.94,0.92,3.00,0.84
s0776_femur_right_msk,0.95,0.70,2.24,0.92
s0074_femur_left_msk,0.94,0.88,2.45,0.87
s0074_femur_right_msk,0.95,0.75,2.24,0.91
s1247_femur_left_msk,0.95,0.67,2.24,0.93
s1247_femur_right_msk,0.95,0.70,2.24,0.91
s0648_femur_left_msk,0.95,0.76,2.24,0.92
s0648_femur_right_msk,0.94,0.83,2.24,0.91
s1069_femur_left_msk,0.95,0.81,2.24,0.90
s1069_femur_right_msk,0.95,0.78,2.24,0.91
s0210_femur_left_msk,0.94,0.84,2.45,0.86
s0210_femur_right_msk,0.91,1.20,5.00,0.73
s0885_femur_left_msk,0.93,1.03,4.12,0.79
s0885_femur_right_msk,0.93,1.05,3.74,0.78
s0212_femur_left_msk,0.93,1.06,3.00,0.81
s0212_femur_right_msk,0.95,0.73,2.24,0.93
s1130_femur_left_msk,0.95,0.81,2.45,0.89
s1130_femur_right_msk,0.95,0.72,2.24,0.91
s0988_femur_left_msk,0.94,0.91,3.00,0.82
s0988_femur_right_msk,0.90,1.53,4.36,0.61
s1143_femur_left_msk,0.95,0.81,2.24,0.90
s1143_femur_right_msk,0.95,0.85,2.45,0.89
s0502_femur_left_msk,0.94,0.95,3.00,0.80
s0502_femur_right_msk,0.95,0.74,2.24,0.91
s0141_femur_left_msk,0.94,0.83,2.45,0.88
s0141_femur_right_msk,0.95,0.67,2.00,0.95
s1238_femur_left_msk,0.92,1.21,4.24,0.79
s1238_femur_right_msk,0.95,0.77,2.24,0.91
s0509_femur_left_msk,0.64,6.92,24.29,0.27
s0509_femur_right_msk,0.92,1.30,3.61,0.71
s1348_femur_left_msk,0.93,0.99,4.36,0.76
s1348_femur_right_msk,0.93,0.99,4.90,0.77
s0174_femur_left_msk,0.91,1.20,3.16,0.79
s0174_femur_right_msk,0.92,1.05,3.00,0.81
s1149_femur_left_msk,0.93,1.08,3.61,0.80
s1149_femur_right_msk,0.92,1.18,4.00,0.72
s0768_femur_left_msk,0.94,0.79,2.45,0.88
s0768_femur_right_msk,0.95,0.72,2.45,0.89
s1276_femur_left_msk,0.95,0.68,2.24,0.92
s1276_femur_right_msk,0.95,0.71,2.24,0.92
s0072_femur_left_msk,0.91,1.01,8.06,0.74
s0072_femur_right_msk,0.90,1.02,8.83,0.72
s0880_femur_left_msk,0.83,2.64,9.43,0.47
s0880_femur_right_msk,0.94,0.84,2.45,0.88
s0428_femur_left_msk,0.93,0.91,2.83,0.84
s0428_femur_right_msk,0.95,0.71,2.24,0.92
s0614_femur_left_msk,0.94,0.82,2.24,0.89
s0614_femur_right_msk,0.94,0.88,2.45,0.88
s0171_femur_left_msk,0.95,0.67,2.24,0.91
s0171_femur_right_msk,0.94,0.82,2.83,0.86
s0519_femur_left_msk,0.95,0.74,2.24,0.90
s0519_femur_right_msk,0.95,0.68,2.24,0.93
s0992_femur_left_msk,0.96,0.58,2.00,0.95
s0992_femur_right_msk,0.96,0.60,2.00,0.95
s1099_femur_left_msk,0.94,0.81,2.24,0.89
s1099_femur_right_msk,0.95,0.66,2.00,0.94
s0667_femur_left_msk,0.94,0.92,3.00,0.83
s0667_femur_right_msk,0.94,0.94,3.00,0.84
s1228_femur_left_msk,0.94,0.84,2.45,0.87
s1228_femur_right_msk,0.94,0.80,2.24,0.90
s0702_femur_left_msk,0.95,0.71,2.24,0.91
s0702_femur_right_msk,0.96,0.68,2.24,0.92
s0339_femur_left_msk,0.95,0.68,2.24,0.93
s0339_femur_right_msk,0.94,0.74,2.24,0.92
s1085_femur_left_msk,0.95,0.83,2.83,0.85
s1085_femur_right_msk,0.95,0.82,2.83,0.89
s1057_femur_left_msk,0.91,1.27,5.00,0.71
s1057_femur_right_msk,0.93,1.03,3.00,0.78
s0635_femur_left_msk,0.94,0.79,2.24,0.91
s0635_femur_right_msk,0.96,0.63,2.00,0.94
s0950_femur_left_msk,0.94,0.77,3.32,0.85
s0950_femur_right_msk,0.93,0.82,3.32,0.84
s0682_femur_left_msk,0.95,0.81,2.24,0.90
s0682_femur_right_msk,0.94,0.86,2.83,0.86
s0680_femur_left_msk,0.95,0.78,2.45,0.89
s0680_femur_right_msk,0.95,0.71,2.24,0.92
s0104_femur_left_msk,0.93,0.86,3.00,0.84
s0104_femur_right_msk,0.93,0.85,2.83,0.87
s0015_femur_left_msk,0.96,0.62,2.00,0.96
s0015_femur_right_msk,0.96,0.60,1.73,0.96
s0937_femur_left_msk,0.85,1.69,13.89,0.54
s0937_femur_right_msk,0.92,0.99,7.14,0.72
s0053_femur_left_msk,0.95,0.79,2.24,0.90
s0053_femur_right_msk,0.94,0.87,2.83,0.85
s1383_femur_left_msk,0.96,0.64,2.24,0.93
s1383_femur_right_msk,0.96,0.59,2.00,0.94
s1111_femur_left_msk,0.95,0.74,2.45,0.88
s1111_femur_right_msk,0.94,0.91,3.00,0.82
s0192_femur_left_msk,0.96,0.58,1.73,0.97
s0192_femur_right_msk,0.95,0.65,2.00,0.95
s0016_femur_left_msk,0.95,0.75,2.24,0.90
s0016_femur_right_msk,0.96,0.66,2.00,0.93
s0664_femur_left_msk,0.94,0.89,2.83,0.86
s0664_femur_right_msk,0.96,0.63,2.00,0.94
s1347_femur_left_msk,0.95,0.77,2.24,0.90
s1347_femur_right_msk,0.95,0.80,2.45,0.89
s1045_femur_left_msk,0.95,0.74,2.24,0.92
s1045_femur_right_msk,0.95,0.77,2.24,0.93
s0120_femur_left_msk,0.94,0.98,3.16,0.82
