subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.86,1.97,6.48,0.49
s0859_femur_right_msk,0.84,2.13,8.37,0.45
s0592_femur_left_msk,0.94,0.78,2.45,0.87
s0592_femur_right_msk,0.94,0.74,2.24,0.90
s0375_femur_left_msk,0.95,0.68,2.00,0.94
s0375_femur_right_msk,0.95,0.72,2.24,0.93
s0918_femur_left_msk,0.82,2.20,7.48,0.41
s0918_femur_right_msk,0.95,0.77,2.45,0.90
s0776_femur_left_msk,0.95,0.73,2.24,0.90
s0776_femur_right_msk,0.95,0.70,2.24,0.92
s0074_femur_left_msk,0.94,0.78,2.45,0.87
s0074_femur_right_msk,0.95,0.69,2.24,0.91
s1247_femur_left_msk,0.95,0.67,2.24,0.93
s1247_femur_right_msk,0.95,0.69,2.24,0.91
s0648_femur_left_msk,0.96,0.63,1.73,0.96
s0648_femur_right_msk,0.95,0.80,2.24,0.93
s1069_femur_left_msk,0.94,0.83,2.24,0.89
s1069_femur_right_msk,0.95,0.73,2.24,0.92
s0210_femur_left_msk,0.94,0.79,2.45,0.88
s0210_femur_right_msk,0.91,1.13,4.12,0.72
s0885_femur_left_msk,0.92,1.08,5.00,0.77
s0885_femur_right_msk,0.93,0.96,3.74,0.79
s0212_femur_left_msk,0.95,0.74,2.24,0.93
s0212_femur_right_msk,0.96,0.63,2.00,0.95
s1130_femur_left_msk,0.95,0.81,2.45,0.88
s1130_femur_right_msk,0.95,0.74,2.45,0.89
s0988_femur_left_msk,0.94,0.91,2.83,0.83
s0988_femur_right_msk,0.77,3.03,14.04,0.34
s1143_femur_left_msk,0.94,0.95,3.00,0.84
s1143_femur_right_msk,0.94,1.01,3.00,0.80
s0502_femur_left_msk,0.93,1.08,3.46,0.75
s0502_femur_right_msk,0.95,0.75,2.45,0.89
s0141_femur_left_msk,0.95,0.67,2.00,0.94
s0141_femur_right_msk,0.95,0.69,2.24,0.93
s1238_femur_left_msk,0.93,1.12,3.74,0.78
s1238_femur_right_msk,0.95,0.75,2.24,0.92
s0509_femur_left_msk,0.69,4.19,13.04,0.28
s0509_femur_right_msk,0.89,1.64,5.74,0.59
s1348_femur_left_msk,0.92,1.01,4.90,0.76
s1348_femur_right_msk,0.93,0.94,4.77,0.79
s0174_femur_left_msk,0.93,0.87,2.45,0.88
s0174_femur_right_msk,0.92,1.61,3.00,0.81
s1149_femur_left_msk,0.92,1.10,4.00,0.77
s1149_femur_right_msk,0.90,2.90,25.50,0.73
s0768_femur_left_msk,0.94,0.80,2.83,0.85
s0768_femur_right_msk,0.94,1.38,2.45,0.87
s1276_femur_left_msk,0.94,0.72,2.24,0.93
s1276_femur_right_msk,0.94,0.74,2.24,0.90
s0072_femur_left_msk,0.92,0.82,5.10,0.79
s0072_femur_right_msk,0.92,0.88,5.48,0.78
s0880_femur_left_msk,0.87,1.72,6.40,0.56
s0880_femur_right_msk,0.95,0.78,2.83,0.88
s0428_femur_left_msk,0.93,0.95,2.83,0.86
s0428_femur_right_msk,0.94,0.85,2.45,0.88
s0614_femur_left_msk,0.95,0.77,2.24,0.91
s0614_femur_right_msk,0.95,0.78,2.24,0.92
s0171_femur_left_msk,0.94,0.79,2.83,0.87
s0171_femur_right_msk,0.94,1.32,2.45,0.89
s0519_femur_left_msk,0.94,0.84,2.45,0.87
s0519_femur_right_msk,0.95,0.71,2.24,0.93
s0992_femur_left_msk,0.95,0.60,2.00,0.95
s0992_femur_right_msk,0.96,0.54,1.73,0.96
s1099_femur_left_msk,0.94,0.81,2.24,0.90
s1099_femur_right_msk,0.94,0.70,2.24,0.90
s0667_femur_left_msk,0.94,0.85,3.00,0.83
s0667_femur_right_msk,0.95,0.81,2.83,0.87
s1228_femur_left_msk,0.94,0.84,2.45,0.87
s1228_femur_right_msk,0.94,0.78,2.45,0.90
s0702_femur_left_msk,0.95,0.84,3.00,0.86
s0702_femur_right_msk,0.95,0.78,2.45,0.89
s0339_femur_left_msk,0.94,0.73,2.24,0.91
s0339_femur_right_msk,0.94,0.77,2.45,0.89
s1085_femur_left_msk,0.94,0.90,3.16,0.80
s1085_femur_right_msk,0.95,0.81,2.83,0.88
s1057_femur_left_msk,0.89,1.39,5.10,0.63
s1057_femur_right_msk,0.93,0.90,3.00,0.82
s0635_femur_left_msk,0.96,0.60,1.73,0.96
s0635_femur_right_msk,0.95,0.62,2.00,0.94
s0950_femur_left_msk,0.93,0.78,3.46,0.84
s0950_femur_right_msk,0.93,0.81,3.16,0.83
s0682_femur_left_msk,0.95,0.86,2.45,0.89
s0682_femur_right_msk,0.95,0.74,2.45,0.90
s0680_femur_left_msk,0.96,0.71,2.24,0.93
s0680_femur_right_msk,0.96,0.63,2.24,0.93
s0104_femur_left_msk,0.94,0.78,2.45,0.89
s0104_femur_right_msk,0.93,0.90,3.46,0.82
s0015_femur_left_msk,0.96,0.69,2.24,0.93
s0015_femur_right_msk,0.95,0.70,2.24,0.93
s0937_femur_left_msk,0.81,2.15,13.15,0.57
s0937_femur_right_msk,0.92,1.01,5.46,0.72
s0053_femur_left_msk,0.95,0.81,2.45,0.89
s0053_femur_right_msk,0.93,1.01,3.00,0.81
s1383_femur_left_msk,0.96,0.66,2.24,0.92
s1383_femur_right_msk,0.96,0.68,2.24,0.92
s1111_femur_left_msk,0.95,0.78,2.45,0.88
s1111_femur_right_msk,0.94,0.93,3.00,0.83
s0192_femur_left_msk,0.96,0.59,1.73,0.96
s0192_femur_right_msk,0.95,0.62,2.00,0.95
s0016_femur_left_msk,0.95,0.70,2.24,0.91
s0016_femur_right_msk,0.96,0.58,2.00,0.95
s0664_femur_left_msk,0.93,1.00,2.83,0.84
s0664_femur_right_msk,0.95,0.77,2.45,0.90
