subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.51,0.95,5.00,0.44
s0334_rib_msk,0.63,0.65,2.83,0.55
s1372_rib_msk,0.49,0.80,3.74,0.47
s0447_rib_msk,0.55,0.66,2.45,0.59
s0582_rib_msk,0.52,0.72,6.16,0.49
s0392_rib_msk,0.60,0.72,2.45,0.57
s1018_rib_msk,0.45,0.88,4.69,0.45
s0798_rib_msk,0.54,0.95,5.00,0.59
s1058_rib_msk,0.34,1.32,3.74,0.40
s0111_rib_msk,0.50,0.97,4.58,0.44
s0065_rib_msk,0.62,0.66,2.45,0.60
s0641_rib_msk,0.48,0.79,3.74,0.49
s0499_rib_msk,0.61,0.65,2.45,0.62
s0425_rib_msk,0.65,0.65,2.24,0.61
s0737_rib_msk,0.49,0.89,3.32,0.55
s0918_rib_msk,0.62,0.67,2.45,0.55
s0743_rib_msk,0.56,0.92,2.83,0.55
s0919_rib_msk,0.49,0.93,4.58,0.51
s0095_rib_msk,0.34,2.13,5.92,0.33
s1380_rib_msk,0.58,0.65,3.46,0.60
s1330_rib_msk,0.64,0.70,2.45,0.56
s0386_rib_msk,0.33,5.04,16.49,0.50
s0945_rib_msk,0.58,0.66,2.24,0.61
s1089_rib_msk,0.58,0.78,3.61,0.53
s0982_rib_msk,0.23,2.19,11.31,0.20
s1029_rib_msk,0.58,0.76,3.61,0.54
s1042_rib_msk,0.44,1.21,6.32,0.44
s1305_rib_msk,0.33,1.30,8.72,0.36
s0344_rib_msk,0.59,0.81,3.00,0.53
s0556_rib_msk,0.61,0.73,2.45,0.59
s0975_rib_msk,0.52,0.87,3.74,0.46
s0046_rib_msk,0.54,0.77,4.00,0.50
s1337_rib_msk,0.60,0.76,2.45,0.58
s1161_rib_msk,0.58,0.89,3.61,0.51
s0550_rib_msk,0.58,0.83,2.83,0.52
s0502_rib_msk,0.63,0.67,2.24,0.60
s0845_rib_msk,0.55,0.69,3.74,0.57
s0115_rib_msk,0.55,1.00,4.12,0.49
s0939_rib_msk,0.62,0.66,3.00,0.57
s0531_rib_msk,0.56,0.71,3.16,0.60
s1120_rib_msk,0.59,0.62,2.83,0.60
s0869_rib_msk,0.60,0.74,3.74,0.56
s0394_rib_msk,0.52,0.76,4.58,0.46
s0461_rib_msk,0.54,0.80,2.45,0.53
s0669_rib_msk,0.51,1.05,3.61,0.53
s0775_rib_msk,0.60,0.77,2.24,0.56
s0698_rib_msk,0.43,1.06,4.12,0.43
s0191_rib_msk,0.45,0.86,7.81,0.41
s0880_rib_msk,0.51,0.95,3.32,0.53
s1228_rib_msk,0.48,0.96,3.16,0.52
s0598_rib_msk,0.56,0.86,3.16,0.52
s1090_rib_msk,0.57,0.75,3.00,0.52
s1387_rib_msk,0.49,0.91,5.00,0.38
s0752_rib_msk,0.38,1.37,6.40,0.35
s0833_rib_msk,0.50,0.93,4.12,0.50
s0613_rib_msk,0.63,0.63,3.16,0.58
s1174_rib_msk,0.55,0.92,3.74,0.51
s0123_rib_msk,0.69,0.51,2.00,0.67
s0999_rib_msk,0.46,0.86,3.74,0.48
s0625_rib_msk,0.47,1.13,3.32,0.49
s1070_rib_msk,0.46,1.03,3.61,0.50
s0952_rib_msk,0.30,1.39,21.73,0.23
s0896_rib_msk,0.55,0.72,2.24,0.65
s0446_rib_msk,0.63,0.63,2.24,0.62
s1012_rib_msk,0.59,0.75,4.12,0.54
s1111_rib_msk,0.62,0.72,2.24,0.60
s1178_rib_msk,0.36,1.38,7.35,0.38
s1233_rib_msk,0.58,0.73,3.32,0.58
s0444_rib_msk,0.53,0.80,3.74,0.58
s0720_rib_msk,0.62,0.69,3.00,0.57
s0437_rib_msk,0.65,0.64,2.24,0.61
s0332_rib_msk,0.64,0.61,3.00,0.60
s0913_rib_msk,0.67,0.59,1.73,0.65
