subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.24,2.05,21.28,0.21
s0334_rib_msk,0.39,1.52,14.59,0.34
s1372_rib_msk,0.37,1.46,14.14,0.35
s0447_rib_msk,0.27,1.62,14.31,0.32
s0582_rib_msk,0.24,1.78,19.42,0.27
s0392_rib_msk,0.37,1.38,17.35,0.31
s1018_rib_msk,0.21,1.82,17.12,0.28
s0798_rib_msk,0.24,1.79,22.36,0.30
s1058_rib_msk,0.17,2.21,18.38,0.20
s0111_rib_msk,0.20,2.43,20.66,0.23
s0065_rib_msk,0.36,1.39,19.39,0.33
s0641_rib_msk,0.31,1.70,14.63,0.31
s0499_rib_msk,0.39,1.41,15.00,0.40
s0425_rib_msk,0.37,1.57,12.37,0.35
s0737_rib_msk,0.24,1.75,16.19,0.30
s0918_rib_msk,0.34,1.68,12.73,0.32
s0743_rib_msk,0.21,2.20,23.28,0.24
s0919_rib_msk,0.24,1.77,21.28,0.28
s0095_rib_msk,0.26,2.20,16.97,0.27
s1380_rib_msk,0.30,1.45,18.41,0.31
s1330_rib_msk,0.36,1.61,14.35,0.31
s0386_rib_msk,0.00,25.91,42.08,0.03
s0945_rib_msk,0.27,1.62,18.81,0.30
s1089_rib_msk,0.36,1.49,16.40,0.32
s0982_rib_msk,0.18,2.95,22.14,0.14
s1029_rib_msk,0.40,1.46,15.01,0.37
s1042_rib_msk,0.21,2.14,24.02,0.24
s1305_rib_msk,0.18,2.07,15.75,0.27
s0344_rib_msk,0.32,1.70,13.42,0.31
s0556_rib_msk,0.36,1.61,14.49,0.33
s0975_rib_msk,0.14,2.50,16.43,0.19
s0046_rib_msk,0.32,1.71,13.75,0.31
s1337_rib_msk,0.26,1.97,15.30,0.28
s1161_rib_msk,0.23,2.09,16.14,0.24
s0550_rib_msk,0.34,1.67,13.45,0.30
s0502_rib_msk,0.32,1.73,12.15,0.32
s0845_rib_msk,0.27,1.54,13.49,0.32
s0115_rib_msk,0.30,2.00,13.45,0.27
s0939_rib_msk,0.30,1.73,16.06,0.32
s0531_rib_msk,0.23,1.98,17.35,0.28
s1120_rib_msk,0.32,1.55,15.62,0.34
s0869_rib_msk,0.33,1.65,14.45,0.33
s0394_rib_msk,0.32,1.63,16.64,0.29
s0461_rib_msk,0.25,1.94,14.87,0.29
s0669_rib_msk,0.31,1.65,16.25,0.33
s0775_rib_msk,0.27,1.72,10.45,0.30
s0698_rib_msk,0.27,1.81,19.95,0.24
s0191_rib_msk,0.00,20.73,36.66,0.02
s0880_rib_msk,0.27,1.75,16.79,0.29
s1228_rib_msk,0.21,1.96,19.65,0.28
s0598_rib_msk,0.31,1.84,16.31,0.28
s1090_rib_msk,0.28,1.73,14.18,0.30
s1387_rib_msk,0.35,1.68,14.87,0.29
s0752_rib_msk,0.27,1.97,15.23,0.26
s0833_rib_msk,0.34,1.45,13.89,0.36
s0613_rib_msk,0.33,1.65,13.75,0.32
s1174_rib_msk,0.30,1.81,15.30,0.29
s0123_rib_msk,0.40,1.47,13.75,0.38
s0999_rib_msk,0.21,2.21,15.26,0.26
s0625_rib_msk,0.16,2.27,17.23,0.26
s1070_rib_msk,0.23,1.79,13.60,0.31
s0952_rib_msk,0.00,16.90,31.59,0.00
s0896_rib_msk,0.24,1.84,13.04,0.34
s0446_rib_msk,0.32,1.60,14.21,0.32
s1012_rib_msk,0.19,2.29,18.35,0.23
s1111_rib_msk,0.32,1.61,17.03,0.31
s1178_rib_msk,0.17,2.02,22.13,0.18
s1233_rib_msk,0.28,1.76,14.14,0.31
s0444_rib_msk,0.23,1.83,14.16,0.32
s0720_rib_msk,0.33,1.69,16.69,0.32
s0437_rib_msk,0.33,1.67,11.18,0.34
s0332_rib_msk,0.31,1.72,14.44,0.31
s0913_rib_msk,0.35,1.66,14.07,0.34
