subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.47,1.11,9.22,0.38
s0334_rib_msk,0.58,0.79,4.58,0.49
s1372_rib_msk,0.43,1.12,4.58,0.41
s0447_rib_msk,0.41,1.13,3.61,0.47
s0582_rib_msk,0.48,0.84,8.25,0.44
s0392_rib_msk,0.63,0.72,3.32,0.60
s1018_rib_msk,0.47,1.00,5.92,0.48
s0798_rib_msk,0.47,1.20,5.83,0.52
s1058_rib_msk,0.36,1.19,10.05,0.35
s0111_rib_msk,0.51,1.02,9.56,0.44
s0065_rib_msk,0.56,0.83,3.00,0.54
s0641_rib_msk,0.46,1.00,3.16,0.48
s0499_rib_msk,0.59,0.80,3.00,0.57
s0425_rib_msk,0.54,0.97,2.83,0.50
s0737_rib_msk,0.43,1.24,3.61,0.52
s0918_rib_msk,0.53,0.95,4.00,0.45
s0743_rib_msk,0.57,0.92,4.12,0.54
s0919_rib_msk,0.41,1.28,5.00,0.45
s0095_rib_msk,0.38,1.90,5.73,0.37
s1380_rib_msk,0.55,0.90,3.74,0.57
s1330_rib_msk,0.64,0.73,2.83,0.55
s0386_rib_msk,0.42,1.32,11.59,0.41
s0945_rib_msk,0.57,0.83,3.00,0.59
s1089_rib_msk,0.60,0.80,4.12,0.54
s0982_rib_msk,0.19,2.56,18.14,0.16
s1029_rib_msk,0.55,0.92,4.24,0.47
s1042_rib_msk,0.36,1.48,7.21,0.37
s1305_rib_msk,0.35,1.16,10.89,0.40
s0344_rib_msk,0.56,0.88,4.58,0.50
s0556_rib_msk,0.57,0.88,3.61,0.51
s0975_rib_msk,0.53,0.94,5.48,0.44
s0046_rib_msk,0.49,1.01,5.48,0.45
s1337_rib_msk,0.58,0.88,2.83,0.54
s1161_rib_msk,0.55,0.97,4.36,0.47
s0550_rib_msk,0.57,0.82,4.58,0.49
s0502_rib_msk,0.60,0.82,2.24,0.56
s0845_rib_msk,0.61,0.72,3.00,0.62
s0115_rib_msk,0.48,1.20,4.47,0.42
s0939_rib_msk,0.59,0.84,6.08,0.52
s0531_rib_msk,0.49,1.05,5.10,0.50
s1120_rib_msk,0.56,0.82,3.00,0.57
s0869_rib_msk,0.58,0.83,3.46,0.53
s0394_rib_msk,0.48,1.01,7.55,0.42
s0461_rib_msk,0.52,0.93,2.83,0.50
s0669_rib_msk,0.48,1.07,3.32,0.49
s0775_rib_msk,0.61,0.92,2.83,0.58
s0698_rib_msk,0.49,1.13,4.12,0.48
s0191_rib_msk,0.42,0.93,12.81,0.36
s0880_rib_msk,0.41,1.37,5.00,0.44
s1228_rib_msk,0.53,0.98,3.16,0.55
s0598_rib_msk,0.62,0.80,5.10,0.54
s1090_rib_msk,0.58,0.82,3.61,0.52
s1387_rib_msk,0.59,0.77,7.14,0.45
s0752_rib_msk,0.45,1.25,5.53,0.41
s0833_rib_msk,0.47,1.07,4.36,0.48
s0613_rib_msk,0.55,0.90,4.00,0.49
s1174_rib_msk,0.60,0.87,3.74,0.55
s0123_rib_msk,0.68,0.63,2.24,0.63
s0999_rib_msk,0.44,1.12,4.11,0.46
s0625_rib_msk,0.40,1.39,4.90,0.44
s1070_rib_msk,0.36,1.40,3.74,0.42
s0952_rib_msk,0.18,1.95,14.53,0.17
s0896_rib_msk,0.53,0.98,3.00,0.58
s0446_rib_msk,0.56,0.86,2.45,0.54
s1012_rib_msk,0.52,0.98,6.40,0.47
s1111_rib_msk,0.60,0.87,2.45,0.57
s1178_rib_msk,0.44,1.22,7.87,0.41
s1233_rib_msk,0.51,1.02,3.74,0.51
s0444_rib_msk,0.44,1.10,2.83,0.53
s0720_rib_msk,0.58,0.82,3.16,0.52
s0437_rib_msk,0.65,0.73,2.45,0.61
s0332_rib_msk,0.60,0.81,3.16,0.56
s0913_rib_msk,0.58,0.87,2.83,0.57
