subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.43,1.36,5.00,0.36
s0334_rib_msk,0.61,0.79,3.00,0.52
s1372_rib_msk,0.44,1.10,4.12,0.41
s0447_rib_msk,0.51,0.87,2.45,0.54
s0582_rib_msk,0.45,1.09,9.95,0.43
s0392_rib_msk,0.49,1.06,3.00,0.46
s1018_rib_msk,0.43,1.24,3.46,0.46
s0798_rib_msk,0.46,1.15,5.20,0.50
s1058_rib_msk,0.35,1.34,8.31,0.35
s0111_rib_msk,0.47,1.53,4.90,0.43
s0065_rib_msk,0.56,0.90,3.32,0.53
s0641_rib_msk,0.44,1.10,3.61,0.47
s0499_rib_msk,0.62,0.78,2.24,0.62
s0425_rib_msk,0.58,0.91,2.83,0.52
s0737_rib_msk,0.42,1.26,3.32,0.50
s0918_rib_msk,0.58,0.91,3.16,0.51
s0743_rib_msk,0.51,1.12,3.00,0.52
s0919_rib_msk,0.45,1.21,4.12,0.47
s0095_rib_msk,0.36,2.23,7.28,0.36
s1380_rib_msk,0.53,0.96,3.61,0.54
s1330_rib_msk,0.56,0.95,2.45,0.47
s0386_rib_msk,0.19,11.32,32.76,0.36
s0945_rib_msk,0.46,1.08,3.74,0.48
s1089_rib_msk,0.58,0.87,3.16,0.53
s0982_rib_msk,0.21,2.77,14.21,0.19
s1029_rib_msk,0.52,1.01,3.32,0.48
s1042_rib_msk,0.39,1.39,8.25,0.37
s1305_rib_msk,0.30,1.55,5.39,0.36
s0344_rib_msk,0.50,1.09,3.58,0.48
s0556_rib_msk,0.56,0.97,2.83,0.53
s0975_rib_msk,0.54,1.00,3.74,0.47
s0046_rib_msk,0.46,1.08,5.83,0.41
s1337_rib_msk,0.56,0.97,2.83,0.54
s1161_rib_msk,0.53,1.21,4.00,0.47
s0550_rib_msk,0.56,0.97,3.00,0.51
s0502_rib_msk,0.61,0.89,2.45,0.58
s0845_rib_msk,0.56,0.88,3.61,0.57
s0115_rib_msk,0.48,1.28,3.74,0.42
s0939_rib_msk,0.59,0.86,2.45,0.54
s0531_rib_msk,0.46,1.16,3.61,0.51
s1120_rib_msk,0.54,0.88,3.46,0.55
s0869_rib_msk,0.58,0.85,3.00,0.54
s0394_rib_msk,0.52,0.88,8.31,0.44
s0461_rib_msk,0.48,1.06,3.00,0.48
s0669_rib_msk,0.50,1.06,3.16,0.52
s0775_rib_msk,0.60,0.91,2.45,0.57
s0698_rib_msk,0.34,1.60,5.10,0.34
s0191_rib_msk,0.30,2.94,10.72,0.30
s0880_rib_msk,0.53,1.29,3.16,0.54
s1228_rib_msk,0.41,1.36,3.61,0.46
s0598_rib_msk,0.53,1.05,3.32,0.49
s1090_rib_msk,0.56,0.89,2.45,0.52
s1387_rib_msk,0.46,1.01,9.79,0.35
s0752_rib_msk,0.38,1.55,6.40,0.35
s0833_rib_msk,0.49,1.12,4.12,0.49
s0613_rib_msk,0.58,0.89,3.00,0.53
s1174_rib_msk,0.57,0.92,2.45,0.53
s0123_rib_msk,0.65,0.72,2.00,0.61
s0999_rib_msk,0.41,1.28,4.00,0.46
s0625_rib_msk,0.44,1.37,4.12,0.46
s1070_rib_msk,0.46,1.08,3.00,0.50
s0952_rib_msk,0.18,6.40,21.75,0.20
s0896_rib_msk,0.49,1.01,2.45,0.56
s0446_rib_msk,0.58,0.86,2.24,0.57
s1012_rib_msk,0.55,0.88,10.05,0.48
s1111_rib_msk,0.59,0.93,2.83,0.56
s1178_rib_msk,0.32,2.16,7.81,0.34
s1233_rib_msk,0.50,1.36,4.12,0.50
s0444_rib_msk,0.49,1.10,3.00,0.55
s0720_rib_msk,0.65,0.74,2.45,0.59
s0437_rib_msk,0.62,0.78,2.24,0.57
s0332_rib_msk,0.60,0.82,2.45,0.55
s0913_rib_msk,0.63,0.79,2.24,0.61
