subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.89,0.50,1.41,0.94
sub-verse138_vert-17-seg-vert_msk,0.89,0.49,1.73,0.92
sub-verse138_vert-18-seg-vert_msk,0.89,0.53,1.41,0.93
sub-verse138_vert-19-seg-vert_msk,0.88,0.63,2.00,0.89
sub-verse138_vert-20-seg-vert_msk,0.88,0.59,1.73,0.90
sub-verse138_vert-21-seg-vert_msk,0.90,0.49,1.41,0.93
sub-verse138_vert-22-seg-vert_msk,0.92,0.43,1.41,0.94
sub-verse138_vert-23-seg-vert_msk,0.89,0.60,2.00,0.90
sub-verse138_vert-24-seg-vert_msk,0.84,0.85,3.46,0.74
sub-verse058_vert-19-seg-vert_msk,0.90,0.48,1.41,0.94
sub-verse058_vert-20-seg-vert_msk,0.89,0.51,1.41,0.93
sub-verse058_vert-21-seg-vert_msk,0.90,0.44,1.41,0.95
sub-verse058_vert-22-seg-vert_msk,0.90,0.46,1.73,0.92
sub-verse058_vert-23-seg-vert_msk,0.88,0.66,1.81,0.92
sub-verse058_vert-24-seg-vert_msk,0.86,0.70,2.24,0.84
sub-verse152_vert-19-seg-vert_msk,0.91,0.48,1.41,0.97
sub-verse152_vert-20-seg-vert_msk,0.88,0.55,1.73,0.93
sub-verse152_vert-21-seg-vert_msk,0.90,0.54,1.73,0.95
sub-verse152_vert-22-seg-vert_msk,0.89,0.60,1.73,0.93
sub-verse152_vert-23-seg-vert_msk,0.89,0.63,1.73,0.93
sub-verse152_vert-24-seg-vert_msk,0.86,0.70,2.24,0.84
sub-verse068_vert-16-seg-vert_msk,0.85,0.59,2.24,0.87
sub-verse068_vert-17-seg-vert_msk,0.88,0.53,1.73,0.92
sub-verse068_vert-18-seg-vert_msk,0.87,0.54,2.24,0.87
sub-verse068_vert-19-seg-vert_msk,0.86,0.61,2.24,0.85
sub-verse068_vert-20-seg-vert_msk,0.79,0.85,2.45,0.76
sub-verse068_vert-21-seg-vert_msk,0.84,0.71,2.24,0.84
sub-verse068_vert-22-seg-vert_msk,0.86,0.66,2.24,0.85
sub-verse068_vert-23-seg-vert_msk,0.87,0.57,2.24,0.87
sub-verse068_vert-24-seg-vert_msk,0.85,0.71,2.83,0.81
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.79,0.76,4.58,0.79
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.67,1.50,4.24,0.62
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.65,1.55,4.47,0.59
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.66,2.11,7.29,0.61
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.64,2.38,7.81,0.58
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.68,2.02,6.40,0.61
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.75,1.35,4.47,0.70
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.73,1.34,4.90,0.63
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.72,1.85,6.71,0.59
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.76,1.33,5.10,0.63
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.77,1.16,4.90,0.64
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.70,1.39,6.16,0.52
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.67,1.16,7.28,0.46
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.63,1.53,5.83,0.40
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.74,1.13,4.47,0.51
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.84,0.58,1.73,0.91
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.83,0.62,2.41,0.88
sub-verse073_vert-20-seg-vert_msk,0.87,0.70,2.00,0.91
sub-verse073_vert-21-seg-vert_msk,0.90,0.52,1.41,0.94
sub-verse073_vert-22-seg-vert_msk,0.85,0.76,2.45,0.85
sub-verse073_vert-23-seg-vert_msk,0.86,0.72,2.24,0.84
sub-verse073_vert-24-seg-vert_msk,0.86,0.69,2.24,0.85
sub-verse095_vert-10-seg-vert_msk,0.88,0.43,1.41,0.96
sub-verse095_vert-11-seg-vert_msk,0.78,0.80,2.24,0.86
sub-verse095_vert-12-seg-vert_msk,0.86,0.53,1.41,0.95
sub-verse095_vert-13-seg-vert_msk,0.84,0.58,1.73,0.91
sub-verse095_vert-14-seg-vert_msk,0.86,0.56,1.41,0.94
sub-verse095_vert-15-seg-vert_msk,0.87,0.58,1.41,0.96
sub-verse095_vert-16-seg-vert_msk,0.89,0.52,1.41,0.96
sub-verse095_vert-17-seg-vert_msk,0.89,0.50,1.41,0.95
sub-verse095_vert-18-seg-vert_msk,0.90,0.51,1.41,0.96
sub-verse095_vert-19-seg-vert_msk,0.91,0.45,1.41,0.96
sub-verse095_vert-20-seg-vert_msk,0.91,0.49,1.41,0.97
sub-verse095_vert-21-seg-vert_msk,0.91,0.43,1.00,0.97
sub-verse095_vert-22-seg-vert_msk,0.91,0.48,1.41,0.96
sub-verse095_vert-23-seg-vert_msk,0.87,0.70,2.00,0.90
sub-verse095_vert-24-seg-vert_msk,0.89,0.56,1.73,0.92
sub-verse095_vert-8-seg-vert_msk,0.81,0.63,2.45,0.84
sub-verse095_vert-9-seg-vert_msk,0.86,0.54,1.41,0.95
sub-verse410_split-verse227_vert-1-seg-vert_msk,0.57,2.25,7.00,0.67
sub-verse410_split-verse227_vert-2-seg-vert_msk,0.82,0.67,2.00,0.90
sub-verse410_split-verse227_vert-3-seg-vert_msk,0.81,0.60,1.73,0.91
sub-verse410_split-verse227_vert-4-seg-vert_msk,0.77,0.72,1.73,0.91
sub-verse410_split-verse227_vert-5-seg-vert_msk,0.77,0.79,2.00,0.94
sub-verse410_split-verse227_vert-6-seg-vert_msk,0.82,0.54,1.41,0.96
sub-verse410_split-verse227_vert-7-seg-vert_msk,0.85,0.53,1.41,0.96
sub-verse410_split-verse227_vert-8-seg-vert_msk,0.88,0.47,1.41,0.97
sub-verse053_vert-20-seg-vert_msk,0.90,0.46,1.41,0.92
sub-verse053_vert-21-seg-vert_msk,0.83,0.62,3.00,0.81
sub-verse053_vert-22-seg-vert_msk,0.85,0.69,3.00,0.79
sub-verse053_vert-23-seg-vert_msk,0.78,1.09,6.16,0.64
sub-verse053_vert-24-seg-vert_msk,0.69,1.14,6.16,0.49
sub-verse404_split-verse256_vert-10-seg-vert_msk,0.89,0.43,1.41,0.95
sub-verse404_split-verse256_vert-11-seg-vert_msk,0.87,0.48,1.41,0.94
sub-verse404_split-verse256_vert-12-seg-vert_msk,0.88,0.42,1.41,0.94
sub-verse404_split-verse256_vert-13-seg-vert_msk,0.89,0.41,1.41,0.94
sub-verse404_split-verse256_vert-14-seg-vert_msk,0.88,0.47,2.00,0.91
sub-verse404_split-verse256_vert-15-seg-vert_msk,0.87,0.54,1.73,0.91
sub-verse404_split-verse256_vert-16-seg-vert_msk,0.87,0.57,2.00,0.90
