subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.86,0.59,2.00,0.89
sub-verse138_vert-17-seg-vert_msk,0.88,0.52,2.00,0.89
sub-verse138_vert-18-seg-vert_msk,0.88,0.62,1.73,0.91
sub-verse138_vert-19-seg-vert_msk,0.89,0.63,1.73,0.92
sub-verse138_vert-20-seg-vert_msk,0.87,0.69,2.00,0.88
sub-verse138_vert-21-seg-vert_msk,0.88,0.64,2.00,0.90
sub-verse138_vert-22-seg-vert_msk,0.90,0.50,1.41,0.93
sub-verse138_vert-23-seg-vert_msk,0.84,0.83,2.45,0.79
sub-verse138_vert-24-seg-vert_msk,0.82,0.99,3.74,0.71
sub-verse058_vert-19-seg-vert_msk,0.87,0.64,2.00,0.90
sub-verse058_vert-20-seg-vert_msk,0.86,0.66,2.24,0.86
sub-verse058_vert-21-seg-vert_msk,0.90,0.45,1.73,0.92
sub-verse058_vert-22-seg-vert_msk,0.88,0.54,2.24,0.89
sub-verse058_vert-23-seg-vert_msk,0.88,0.59,2.00,0.91
sub-verse058_vert-24-seg-vert_msk,0.84,0.80,2.45,0.80
sub-verse152_vert-19-seg-vert_msk,0.88,0.62,1.73,0.93
sub-verse152_vert-20-seg-vert_msk,0.86,0.66,1.73,0.92
sub-verse152_vert-21-seg-vert_msk,0.91,0.50,1.41,0.96
sub-verse152_vert-22-seg-vert_msk,0.90,0.50,1.41,0.94
sub-verse152_vert-23-seg-vert_msk,0.86,0.82,2.24,0.85
sub-verse152_vert-24-seg-vert_msk,0.80,0.98,3.32,0.72
sub-verse068_vert-16-seg-vert_msk,0.83,0.68,2.24,0.82
sub-verse068_vert-17-seg-vert_msk,0.85,0.64,2.24,0.85
sub-verse068_vert-18-seg-vert_msk,0.85,0.59,3.00,0.79
sub-verse068_vert-19-seg-vert_msk,0.84,0.63,3.00,0.78
sub-verse068_vert-20-seg-vert_msk,0.73,0.95,4.69,0.62
sub-verse068_vert-21-seg-vert_msk,0.82,0.74,2.45,0.77
sub-verse068_vert-22-seg-vert_msk,0.87,0.61,2.24,0.87
sub-verse068_vert-23-seg-vert_msk,0.86,0.65,2.45,0.84
sub-verse068_vert-24-seg-vert_msk,0.81,0.72,4.12,0.70
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.74,0.97,5.00,0.72
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.69,1.16,3.74,0.62
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.72,1.21,3.74,0.66
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.69,1.50,4.42,0.61
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.69,1.49,9.88,0.61
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.73,1.43,4.99,0.68
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.75,1.21,5.39,0.67
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.72,1.49,5.00,0.60
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.76,1.19,5.49,0.62
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.74,1.18,6.71,0.53
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.74,1.05,11.53,0.52
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.70,1.26,4.58,0.51
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.73,1.04,5.48,0.53
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.60,1.43,7.16,0.34
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.69,1.13,7.07,0.42
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.79,0.69,2.83,0.80
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.79,0.70,3.71,0.78
sub-verse073_vert-20-seg-vert_msk,0.85,0.79,2.00,0.89
sub-verse073_vert-21-seg-vert_msk,0.87,0.62,2.24,0.88
sub-verse073_vert-22-seg-vert_msk,0.86,0.76,2.24,0.87
sub-verse073_vert-23-seg-vert_msk,0.86,0.72,2.24,0.85
sub-verse073_vert-24-seg-vert_msk,0.83,0.87,2.24,0.81
sub-verse095_vert-10-seg-vert_msk,0.85,0.55,1.41,0.93
sub-verse095_vert-11-seg-vert_msk,0.76,0.83,2.24,0.82
sub-verse095_vert-12-seg-vert_msk,0.84,0.61,1.73,0.91
sub-verse095_vert-13-seg-vert_msk,0.79,0.83,2.24,0.86
sub-verse095_vert-14-seg-vert_msk,0.83,0.72,2.00,0.91
sub-verse095_vert-15-seg-vert_msk,0.85,0.68,2.00,0.92
sub-verse095_vert-16-seg-vert_msk,0.85,0.66,2.00,0.90
sub-verse095_vert-17-seg-vert_msk,0.86,0.66,2.00,0.89
sub-verse095_vert-18-seg-vert_msk,0.89,0.58,1.73,0.93
sub-verse095_vert-19-seg-vert_msk,0.89,0.56,1.73,0.91
sub-verse095_vert-20-seg-vert_msk,0.90,0.49,1.41,0.94
