subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.86,0.60,1.73,0.90
sub-verse138_vert-17-seg-vert_msk,0.85,0.62,2.24,0.85
sub-verse138_vert-18-seg-vert_msk,0.87,0.63,2.00,0.89
sub-verse138_vert-19-seg-vert_msk,0.88,0.57,2.24,0.87
sub-verse138_vert-20-seg-vert_msk,0.88,0.59,2.00,0.88
sub-verse138_vert-21-seg-vert_msk,0.90,0.52,2.00,0.91
sub-verse138_vert-22-seg-vert_msk,0.90,0.51,1.73,0.93
sub-verse138_vert-23-seg-vert_msk,0.87,0.67,2.24,0.86
sub-verse138_vert-24-seg-vert_msk,0.84,0.86,3.61,0.71
sub-verse058_vert-19-seg-vert_msk,0.89,0.55,1.73,0.91
sub-verse058_vert-20-seg-vert_msk,0.89,0.53,1.73,0.92
sub-verse058_vert-21-seg-vert_msk,0.90,0.46,1.41,0.94
sub-verse058_vert-22-seg-vert_msk,0.88,0.56,2.00,0.88
sub-verse058_vert-23-seg-vert_msk,0.87,0.70,2.00,0.88
sub-verse058_vert-24-seg-vert_msk,0.85,0.76,2.24,0.84
sub-verse152_vert-19-seg-vert_msk,0.90,0.54,1.41,0.97
sub-verse152_vert-20-seg-vert_msk,0.86,0.68,1.73,0.91
sub-verse152_vert-21-seg-vert_msk,0.90,0.55,1.41,0.95
sub-verse152_vert-22-seg-vert_msk,0.88,0.63,2.00,0.90
sub-verse152_vert-23-seg-vert_msk,0.88,0.68,1.73,0.90
sub-verse152_vert-24-seg-vert_msk,0.85,0.82,2.24,0.82
sub-verse068_vert-16-seg-vert_msk,0.86,0.63,1.73,0.90
sub-verse068_vert-17-seg-vert_msk,0.87,0.58,1.73,0.90
sub-verse068_vert-18-seg-vert_msk,0.88,0.55,2.24,0.86
sub-verse068_vert-19-seg-vert_msk,0.85,0.63,2.83,0.81
sub-verse068_vert-20-seg-vert_msk,0.80,0.79,2.45,0.75
sub-verse068_vert-21-seg-vert_msk,0.86,0.60,2.00,0.87
sub-verse068_vert-22-seg-vert_msk,0.87,0.58,2.24,0.87
sub-verse068_vert-23-seg-vert_msk,0.88,0.65,2.00,0.89
sub-verse068_vert-24-seg-vert_msk,0.84,0.72,3.16,0.77
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.82,0.63,4.12,0.84
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.79,0.77,3.46,0.79
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.73,1.12,4.24,0.71
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.65,1.64,5.66,0.57
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.69,1.60,6.40,0.63
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.72,1.40,5.74,0.64
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.72,1.52,5.39,0.67
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.68,1.78,6.71,0.57
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.67,1.98,6.40,0.53
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.78,1.23,4.36,0.67
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.81,0.90,4.12,0.69
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.76,1.02,4.12,0.61
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.78,0.92,4.15,0.62
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.70,1.32,4.39,0.48
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.80,0.92,3.61,0.65
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.83,0.61,2.00,0.89
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.82,0.68,2.45,0.86
sub-verse073_vert-20-seg-vert_msk,0.86,0.77,2.00,0.89
sub-verse073_vert-21-seg-vert_msk,0.88,0.60,1.73,0.92
sub-verse073_vert-22-seg-vert_msk,0.87,0.66,2.00,0.88
sub-verse073_vert-23-seg-vert_msk,0.88,0.60,2.00,0.90
sub-verse073_vert-24-seg-vert_msk,0.86,0.71,2.00,0.87
sub-verse095_vert-10-seg-vert_msk,0.88,0.45,1.41,0.95
sub-verse095_vert-11-seg-vert_msk,0.82,0.69,1.41,0.92
sub-verse095_vert-12-seg-vert_msk,0.87,0.51,1.41,0.96
sub-verse095_vert-13-seg-vert_msk,0.83,0.69,2.00,0.92
sub-verse095_vert-14-seg-vert_msk,0.85,0.59,1.41,0.93
sub-verse095_vert-15-seg-vert_msk,0.85,0.67,1.73,0.93
sub-verse095_vert-16-seg-vert_msk,0.88,0.53,1.41,0.93
sub-verse095_vert-17-seg-vert_msk,0.88,0.58,1.41,0.93
sub-verse095_vert-18-seg-vert_msk,0.89,0.57,1.41,0.93
sub-verse095_vert-19-seg-vert_msk,0.88,0.59,1.73,0.91
sub-verse095_vert-20-seg-vert_msk,0.88,0.63,1.73,0.92
sub-verse095_vert-21-seg-vert_msk,0.89,0.56,1.41,0.94
sub-verse095_vert-22-seg-vert_msk,0.90,0.52,1.41,0.95
sub-verse095_vert-23-seg-vert_msk,0.88,0.62,1.73,0.91
sub-verse095_vert-24-seg-vert_msk,0.87,0.65,2.00,0.88
sub-verse095_vert-8-seg-vert_msk,0.79,0.64,3.00,0.79
sub-verse095_vert-9-seg-vert_msk,0.86,0.54,1.41,0.96
sub-verse410_split-verse227_vert-1-seg-vert_msk,0.69,0.97,4.24,0.74
sub-verse410_split-verse227_vert-2-seg-vert_msk,0.82,0.63,1.73,0.91
sub-verse410_split-verse227_vert-3-seg-vert_msk,0.77,0.73,2.24,0.88
sub-verse410_split-verse227_vert-4-seg-vert_msk,0.76,0.75,2.00,0.91
sub-verse410_split-verse227_vert-5-seg-vert_msk,0.78,0.65,1.41,0.94
sub-verse410_split-verse227_vert-6-seg-vert_msk,0.80,0.58,1.41,0.95
sub-verse410_split-verse227_vert-7-seg-vert_msk,0.84,0.59,1.41,0.95
sub-verse410_split-verse227_vert-8-seg-vert_msk,0.86,0.56,1.41,0.95
sub-verse053_vert-20-seg-vert_msk,0.90,0.47,1.73,0.92
sub-verse053_vert-21-seg-vert_msk,0.86,0.58,2.24,0.85
sub-verse053_vert-22-seg-vert_msk,0.82,0.93,3.46,0.73
sub-verse053_vert-23-seg-vert_msk,0.76,1.15,5.00,0.64
sub-verse053_vert-24-seg-vert_msk,0.67,1.23,5.20,0.47
sub-verse404_split-verse256_vert-10-seg-vert_msk,0.87,0.53,1.41,0.94
sub-verse404_split-verse256_vert-11-seg-vert_msk,0.87,0.53,1.41,0.94
sub-verse404_split-verse256_vert-12-seg-vert_msk,0.87,0.51,1.41,0.94
sub-verse404_split-verse256_vert-13-seg-vert_msk,0.89,0.40,1.41,0.94
sub-verse404_split-verse256_vert-14-seg-vert_msk,0.89,0.43,1.41,0.94
sub-verse404_split-verse256_vert-15-seg-vert_msk,0.90,0.43,1.41,0.96
