subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.87,0.57,1.73,0.91
sub-verse138_vert-17-seg-vert_msk,0.89,0.50,1.73,0.91
sub-verse138_vert-18-seg-vert_msk,0.88,0.60,2.00,0.90
sub-verse138_vert-19-seg-vert_msk,0.86,0.69,2.24,0.86
sub-verse138_vert-20-seg-vert_msk,0.88,0.63,1.73,0.91
sub-verse138_vert-21-seg-vert_msk,0.90,0.53,1.73,0.92
sub-verse138_vert-22-seg-vert_msk,0.89,0.57,2.00,0.91
sub-verse138_vert-23-seg-vert_msk,0.88,0.72,1.92,0.90
sub-verse138_vert-24-seg-vert_msk,0.83,1.00,3.61,0.75
sub-verse058_vert-19-seg-vert_msk,0.87,0.68,2.00,0.93
sub-verse058_vert-20-seg-vert_msk,0.88,0.57,2.00,0.90
sub-verse058_vert-21-seg-vert_msk,0.90,0.45,1.41,0.94
sub-verse058_vert-22-seg-vert_msk,0.87,0.63,2.00,0.90
sub-verse058_vert-23-seg-vert_msk,0.87,0.67,1.73,0.92
sub-verse058_vert-24-seg-vert_msk,0.84,0.82,2.24,0.84
sub-verse152_vert-19-seg-vert_msk,0.90,0.53,1.41,0.97
sub-verse152_vert-20-seg-vert_msk,0.87,0.64,1.73,0.92
sub-verse152_vert-21-seg-vert_msk,0.90,0.52,1.41,0.95
sub-verse152_vert-22-seg-vert_msk,0.86,0.69,2.24,0.86
sub-verse152_vert-23-seg-vert_msk,0.87,0.78,2.00,0.92
sub-verse152_vert-24-seg-vert_msk,0.82,1.03,3.00,0.75
sub-verse068_vert-16-seg-vert_msk,0.85,0.66,2.00,0.88
sub-verse068_vert-17-seg-vert_msk,0.86,0.61,2.24,0.88
sub-verse068_vert-18-seg-vert_msk,0.85,0.66,2.45,0.84
sub-verse068_vert-19-seg-vert_msk,0.84,0.76,2.24,0.82
sub-verse068_vert-20-seg-vert_msk,0.75,0.97,3.00,0.69
sub-verse068_vert-21-seg-vert_msk,0.84,0.69,2.24,0.84
sub-verse068_vert-22-seg-vert_msk,0.84,0.76,2.24,0.82
sub-verse068_vert-23-seg-vert_msk,0.85,0.76,2.24,0.84
