subject-id,DSC,ASD,HD95,NSD,model
s0859_femur_left_msk,0.87,1.93,5.83,0.58,UNETR
s0859_femur_left_msk,0.86,2.36,6.08,0.48,MultiScale2DPermuteConcat
s0859_femur_left_msk,0.88,2.0,5.92,0.58,TwoDPermuteConcat
s0859_femur_left_msk,0.86,1.97,6.48,0.49,UNet
s0859_femur_left_msk,0.82,2.83,8.06,0.37,OneDConcat
s0859_femur_left_msk,0.87,2.12,5.74,0.48,AttentionUnet
s0859_femur_left_msk,0.84,2.38,6.78,0.41,TLPredictor
s0859_femur_right_msk,0.88,1.86,8.25,0.59,MultiScale2DPermuteConcat
s0859_femur_right_msk,0.9,1.45,4.47,0.63,TwoDPermuteConcat
s0859_femur_right_msk,0.81,2.69,12.77,0.4,OneDConcat
s0859_femur_right_msk,0.84,1.96,13.49,0.54,AttentionUnet
s0859_femur_right_msk,0.82,2.29,11.69,0.45,TLPredictor
s0859_femur_right_msk,0.84,2.13,8.37,0.45,UNet
s0859_femur_right_msk,0.87,1.95,6.0,0.52,UNETR
s0592_femur_left_msk,0.94,0.78,2.45,0.87,UNet
s0592_femur_left_msk,0.94,0.82,2.45,0.87,TLPredictor
s0592_femur_left_msk,0.94,0.75,2.24,0.89,TwoDPermuteConcat
s0592_femur_left_msk,0.93,0.93,2.83,0.82,OneDConcat
s0592_femur_left_msk,0.94,0.81,2.24,0.88,MultiScale2DPermuteConcat
s0592_femur_left_msk,0.95,0.68,2.24,0.92,AttentionUnet
s0592_femur_left_msk,0.94,0.78,2.83,0.84,UNETR
s0592_femur_right_msk,0.91,1.2,3.22,0.75,OneDConcat
s0592_femur_right_msk,0.95,0.6,2.0,0.94,TwoDPermuteConcat
s0592_femur_right_msk,0.94,0.74,2.24,0.9,UNet
s0592_femur_right_msk,0.95,0.7,2.24,0.89,UNETR
s0592_femur_right_msk,0.95,0.72,2.24,0.91,AttentionUnet
s0592_femur_right_msk,0.93,0.96,3.0,0.83,TLPredictor
s0592_femur_right_msk,0.94,0.8,2.45,0.87,MultiScale2DPermuteConcat
s0375_femur_left_msk,0.93,1.13,2.83,0.79,OneDConcat
s0375_femur_left_msk,0.95,0.7,2.24,0.93,AttentionUnet
s0375_femur_left_msk,0.95,0.78,2.24,0.89,MultiScale2DPermuteConcat
s0375_femur_left_msk,0.94,0.83,2.45,0.88,UNETR
s0375_femur_left_msk,0.95,0.76,2.24,0.91,TwoDPermuteConcat
s0375_femur_left_msk,0.94,0.9,2.83,0.86,TLPredictor
s0375_femur_left_msk,0.95,0.68,2.0,0.94,UNet
s0375_femur_right_msk,0.95,0.78,2.45,0.9,TwoDPermuteConcat
s0375_femur_right_msk,0.93,1.0,3.0,0.83,TLPredictor
s0375_femur_right_msk,0.94,0.9,3.0,0.87,UNETR
s0375_femur_right_msk,0.91,1.31,3.32,0.72,OneDConcat
s0375_femur_right_msk,0.95,0.78,2.24,0.89,MultiScale2DPermuteConcat
s0375_femur_right_msk,0.95,0.72,2.24,0.93,UNet
