subject-id,DSC,ASD,HD95,NSD,model
s0624_hip_msk,0.9,0.66,1.73,0.63,SwinUNETR
s0624_hip_msk,0.83,0.95,3.32,0.4,OneDConcat
s0624_hip_msk,0.89,0.59,2.24,0.61,TwoDPermuteConcat
s0624_hip_msk,0.89,0.66,2.24,0.58,MultiScale2DPermuteConcat
s0624_hip_msk,0.88,0.69,2.45,0.56,UNet
s0624_hip_msk,0.9,0.59,1.73,0.64,AttentionUnet
s0624_hip_msk,0.88,0.68,2.45,0.54,UNETR
s0624_hip_msk,0.86,0.78,2.45,0.5,TLPredictor
s0139_hip_msk,0.87,0.66,2.24,0.57,AttentionUnet
s0139_hip_msk,0.88,0.69,2.24,0.58,SwinUNETR
s0139_hip_msk,0.8,1.02,3.0,0.36,OneDConcat
s0139_hip_msk,0.86,0.71,2.83,0.52,MultiScale2DPermuteConcat
s0139_hip_msk,0.82,0.95,3.74,0.38,TLPredictor
s0139_hip_msk,0.89,0.6,2.24,0.6,TwoDPermuteConcat
s0139_hip_msk,0.87,0.76,2.83,0.52,UNETR
s0139_hip_msk,0.88,0.69,2.83,0.55,UNet
s0232_hip_msk,0.76,1.45,3.74,0.33,OneDConcat
s0232_hip_msk,0.86,0.74,2.45,0.53,TwoDPermuteConcat
s0232_hip_msk,0.86,0.81,2.45,0.53,SwinUNETR
s0232_hip_msk,0.86,0.72,2.24,0.52,AttentionUnet
s0232_hip_msk,0.75,1.47,4.36,0.34,TLPredictor
s0232_hip_msk,0.85,1.01,2.83,0.49,MultiScale2DPermuteConcat
s0232_hip_msk,0.83,0.92,3.0,0.43,UNETR
s0232_hip_msk,0.86,0.81,2.83,0.5,UNet
s0040_hip_msk,0.89,0.58,2.24,0.62,MultiScale2DPermuteConcat
s0040_hip_msk,0.88,0.62,2.45,0.59,UNETR
s0040_hip_msk,0.89,0.6,2.0,0.6,TwoDPermuteConcat
s0040_hip_msk,0.87,0.71,2.83,0.54,UNet
s0040_hip_msk,0.84,0.8,2.83,0.49,OneDConcat
s0040_hip_msk,0.9,0.57,1.73,0.66,SwinUNETR
s0040_hip_msk,0.83,0.94,3.0,0.43,TLPredictor
s0040_hip_msk,0.88,0.59,2.0,0.61,AttentionUnet
s0473_hip_msk,0.8,1.1,3.16,0.36,OneDConcat
s0473_hip_msk,0.85,0.82,2.83,0.5,MultiScale2DPermuteConcat
s0473_hip_msk,0.82,1.13,3.0,0.49,SwinUNETR
s0473_hip_msk,0.82,0.93,3.0,0.49,AttentionUnet
s0473_hip_msk,0.79,1.1,3.61,0.42,UNETR
s0473_hip_msk,0.8,1.19,3.61,0.41,UNet
s0473_hip_msk,0.83,1.0,2.83,0.46,TwoDPermuteConcat
s0473_hip_msk,0.82,1.04,3.32,0.4,TLPredictor
s0607_hip_msk,0.89,0.63,2.24,0.58,TwoDPermuteConcat
s0607_hip_msk,0.88,0.68,2.45,0.57,MultiScale2DPermuteConcat
s0607_hip_msk,0.83,0.94,3.16,0.42,TLPredictor
s0607_hip_msk,0.89,0.69,2.45,0.56,UNet
s0607_hip_msk,0.9,0.65,2.0,0.62,SwinUNETR
s0607_hip_msk,0.89,0.62,2.0,0.6,AttentionUnet
