subject-id,DSC,ASD,HD95,NSD,model
s1110_rib_msk,0.36,1.9,9.95,0.3,UNETR
s1110_rib_msk,0.43,1.36,5.0,0.36,UNet
s1110_rib_msk,0.23,2.34,12.33,0.18,TLPredictor
s1110_rib_msk,0.51,0.95,5.0,0.44,AttentionUnet
s1110_rib_msk,0.48,1.17,9.25,0.41,MultiScale2DPermuteConcat
s1110_rib_msk,0.24,2.05,21.28,0.21,OneDConcat
s1110_rib_msk,0.48,1.19,5.74,0.4,TwoDPermuteConcat
s0334_rib_msk,0.6,0.81,3.46,0.51,TwoDPermuteConcat
s0334_rib_msk,0.6,0.79,6.66,0.51,MultiScale2DPermuteConcat
s0334_rib_msk,0.39,1.52,14.59,0.34,OneDConcat
s0334_rib_msk,0.63,0.65,2.83,0.55,AttentionUnet
s0334_rib_msk,0.39,1.48,5.48,0.34,TLPredictor
s0334_rib_msk,0.61,0.79,3.0,0.52,UNet
s0334_rib_msk,0.51,1.0,7.35,0.42,UNETR
s1372_rib_msk,0.47,1.07,4.12,0.45,TwoDPermuteConcat
s1372_rib_msk,0.44,1.1,4.12,0.41,UNet
s1372_rib_msk,0.44,1.07,7.07,0.43,MultiScale2DPermuteConcat
s1372_rib_msk,0.34,1.4,6.63,0.34,TLPredictor
s1372_rib_msk,0.49,0.8,3.74,0.47,AttentionUnet
s1372_rib_msk,0.34,1.42,4.69,0.35,UNETR
s1372_rib_msk,0.37,1.46,14.14,0.35,OneDConcat
s0447_rib_msk,0.4,1.18,3.16,0.47,TwoDPermuteConcat
s0447_rib_msk,0.39,1.17,3.74,0.45,UNETR
s0447_rib_msk,0.39,1.29,5.39,0.42,TLPredictor
s0447_rib_msk,0.27,1.62,14.31,0.32,OneDConcat
s0447_rib_msk,0.44,1.09,4.9,0.48,MultiScale2DPermuteConcat
s0447_rib_msk,0.51,0.87,2.45,0.54,UNet
s0447_rib_msk,0.55,0.66,2.45,0.59,AttentionUnet
s0582_rib_msk,0.52,0.72,6.16,0.49,AttentionUnet
s0582_rib_msk,0.24,1.78,19.42,0.27,OneDConcat
s0582_rib_msk,0.5,0.93,8.49,0.46,TwoDPermuteConcat
s0582_rib_msk,0.45,1.0,12.88,0.42,MultiScale2DPermuteConcat
s0582_rib_msk,0.45,1.09,9.95,0.43,UNet
s0582_rib_msk,0.26,1.85,7.87,0.28,TLPredictor
s0582_rib_msk,0.37,1.25,7.35,0.37,UNETR
s0392_rib_msk,0.6,0.72,2.45,0.57,AttentionUnet
s0392_rib_msk,0.59,0.8,3.0,0.56,TwoDPermuteConcat
s0392_rib_msk,0.37,1.38,17.35,0.31,OneDConcat
s0392_rib_msk,0.39,1.29,5.39,0.37,TLPredictor
s0392_rib_msk,0.49,1.06,3.0,0.46,UNet
s0392_rib_msk,0.56,0.87,3.61,0.53,MultiScale2DPermuteConcat
s0392_rib_msk,0.4,1.38,5.74,0.37,UNETR
s1018_rib_msk,0.51,0.88,10.77,0.49,MultiScale2DPermuteConcat
s1018_rib_msk,0.28,1.68,9.94,0.31,TLPredictor
s1018_rib_msk,0.44,1.07,6.78,0.45,TwoDPermuteConcat
s1018_rib_msk,0.45,0.88,4.69,0.45,AttentionUnet
s1018_rib_msk,0.43,1.24,3.46,0.46,UNet
s1018_rib_msk,0.21,1.82,17.12,0.28,OneDConcat
s1018_rib_msk,0.34,1.45,7.35,0.37,UNETR
s0798_rib_msk,0.49,1.12,5.66,0.56,MultiScale2DPermuteConcat
s0798_rib_msk,0.54,0.95,5.0,0.59,AttentionUnet
s0798_rib_msk,0.46,1.15,5.2,0.5,UNet
s0798_rib_msk,0.24,1.79,22.36,0.3,OneDConcat
s0798_rib_msk,0.35,1.58,6.08,0.42,UNETR
s0798_rib_msk,0.48,1.16,5.1,0.52,TwoDPermuteConcat
s0798_rib_msk,0.29,1.69,4.24,0.39,TLPredictor
s1058_rib_msk,0.34,1.32,3.74,0.4,AttentionUnet
s1058_rib_msk,0.35,1.34,8.31,0.35,UNet
s1058_rib_msk,0.17,2.21,18.38,0.2,OneDConcat
s1058_rib_msk,0.16,2.64,9.0,0.22,TLPredictor
s1058_rib_msk,0.31,1.48,7.87,0.33,UNETR
s1058_rib_msk,0.32,1.46,6.56,0.38,MultiScale2DPermuteConcat
s1058_rib_msk,0.35,1.32,5.39,0.38,TwoDPermuteConcat
s0111_rib_msk,0.23,2.23,12.96,0.21,TLPredictor
s0111_rib_msk,0.5,0.97,4.58,0.44,AttentionUnet
s0111_rib_msk,0.51,1.06,8.94,0.45,MultiScale2DPermuteConcat
s0111_rib_msk,0.47,1.53,4.9,0.43,UNet
s0111_rib_msk,0.51,1.11,4.69,0.46,TwoDPermuteConcat
s0111_rib_msk,0.35,1.79,7.55,0.34,UNETR
s0111_rib_msk,0.2,2.43,20.66,0.23,OneDConcat
s0065_rib_msk,0.43,1.3,5.74,0.4,UNETR
s0065_rib_msk,0.62,0.66,2.45,0.6,AttentionUnet
s0065_rib_msk,0.55,0.9,4.12,0.54,MultiScale2DPermuteConcat
s0065_rib_msk,0.55,0.94,3.0,0.52,TwoDPermuteConcat
s0065_rib_msk,0.36,1.39,19.39,0.33,OneDConcat
s0065_rib_msk,0.56,0.9,3.32,0.53,UNet
s0065_rib_msk,0.41,1.28,9.9,0.35,TLPredictor
s0641_rib_msk,0.46,1.03,3.0,0.49,TwoDPermuteConcat
s0641_rib_msk,0.44,1.1,3.61,0.47,UNet
s0641_rib_msk,0.31,1.7,14.63,0.31,OneDConcat
s0641_rib_msk,0.47,1.07,5.1,0.48,MultiScale2DPermuteConcat
s0641_rib_msk,0.39,1.3,6.63,0.39,UNETR
s0641_rib_msk,0.48,0.79,3.74,0.49,AttentionUnet
s0641_rib_msk,0.31,1.75,7.48,0.34,TLPredictor
s0499_rib_msk,0.59,0.8,6.0,0.57,MultiScale2DPermuteConcat
s0499_rib_msk,0.56,0.86,3.32,0.54,UNETR
s0499_rib_msk,0.62,0.78,2.24,0.62,UNet
s0499_rib_msk,0.49,1.14,3.16,0.48,TLPredictor
s0499_rib_msk,0.61,0.65,2.45,0.62,AttentionUnet
s0499_rib_msk,0.39,1.41,15.0,0.4,OneDConcat
s0499_rib_msk,0.59,0.81,3.0,0.57,TwoDPermuteConcat
s0425_rib_msk,0.65,0.65,2.24,0.61,AttentionUnet
s0425_rib_msk,0.49,1.2,4.58,0.44,UNETR
s0425_rib_msk,0.57,0.94,2.45,0.53,TwoDPermuteConcat
s0425_rib_msk,0.43,1.33,4.9,0.39,TLPredictor
s0425_rib_msk,0.58,0.91,2.83,0.52,UNet
s0425_rib_msk,0.53,1.01,5.74,0.48,MultiScale2DPermuteConcat
s0425_rib_msk,0.37,1.57,12.37,0.35,OneDConcat
s0737_rib_msk,0.22,2.08,5.83,0.32,TLPredictor
s0737_rib_msk,0.45,1.19,5.17,0.51,MultiScale2DPermuteConcat
s0737_rib_msk,0.24,1.75,16.19,0.3,OneDConcat
s0737_rib_msk,0.49,0.89,3.32,0.55,AttentionUnet
s0737_rib_msk,0.45,1.15,3.0,0.55,TwoDPermuteConcat
s0737_rib_msk,0.42,1.26,3.32,0.5,UNet
s0737_rib_msk,0.39,1.32,5.83,0.46,UNETR
s0918_rib_msk,0.56,0.92,3.32,0.48,TwoDPermuteConcat
s0918_rib_msk,0.41,1.35,4.12,0.37,TLPredictor
s0918_rib_msk,0.47,1.21,5.2,0.41,MultiScale2DPermuteConcat
s0918_rib_msk,0.58,0.91,3.16,0.51,UNet
s0918_rib_msk,0.34,1.68,12.73,0.32,OneDConcat
s0918_rib_msk,0.62,0.67,2.45,0.55,AttentionUnet
s0918_rib_msk,0.48,1.14,5.39,0.4,UNETR
s0743_rib_msk,0.51,1.12,3.0,0.52,UNet
s0743_rib_msk,0.56,0.94,8.49,0.52,MultiScale2DPermuteConcat
s0743_rib_msk,0.56,0.92,2.83,0.55,AttentionUnet
s0743_rib_msk,0.56,0.97,3.16,0.53,TwoDPermuteConcat
