subject-id,DSC,ASD,HD95,NSD,model
sub-verse138_vert-16-seg-vert_msk,0.88,0.5,1.73,0.91,SwinUNETR
sub-verse138_vert-16-seg-vert_msk,0.89,0.5,1.41,0.94,AttentionUnet
sub-verse138_vert-16-seg-vert_msk,0.86,0.58,2.0,0.89,UNETR
sub-verse138_vert-16-seg-vert_msk,0.85,0.69,2.24,0.85,TLPredictor
sub-verse138_vert-16-seg-vert_msk,0.86,0.6,1.73,0.9,TwoDPermuteConcat
sub-verse138_vert-16-seg-vert_msk,0.88,0.57,1.41,0.93,UNet
sub-verse138_vert-16-seg-vert_msk,0.84,0.64,2.45,0.83,OneDConcat
sub-verse138_vert-16-seg-vert_msk,0.86,0.59,2.0,0.89,MultiScale2DPermuteConcat
sub-verse138_vert-17-seg-vert_msk,0.89,0.49,1.73,0.92,AttentionUnet
sub-verse138_vert-17-seg-vert_msk,0.87,0.55,2.0,0.89,UNETR
sub-verse138_vert-17-seg-vert_msk,0.86,0.65,2.24,0.85,TLPredictor
sub-verse138_vert-17-seg-vert_msk,0.89,0.53,1.73,0.91,UNet
sub-verse138_vert-17-seg-vert_msk,0.86,0.58,2.24,0.85,OneDConcat
sub-verse138_vert-17-seg-vert_msk,0.88,0.52,2.0,0.89,MultiScale2DPermuteConcat
sub-verse138_vert-17-seg-vert_msk,0.85,0.62,2.24,0.85,TwoDPermuteConcat
sub-verse138_vert-17-seg-vert_msk,0.87,0.62,2.0,0.89,SwinUNETR
sub-verse138_vert-18-seg-vert_msk,0.89,0.58,1.73,0.92,SwinUNETR
sub-verse138_vert-18-seg-vert_msk,0.89,0.53,1.41,0.93,AttentionUnet
sub-verse138_vert-18-seg-vert_msk,0.88,0.62,1.73,0.91,MultiScale2DPermuteConcat
sub-verse138_vert-18-seg-vert_msk,0.86,0.68,2.24,0.84,OneDConcat
sub-verse138_vert-18-seg-vert_msk,0.88,0.6,2.0,0.9,UNETR
sub-verse138_vert-18-seg-vert_msk,0.87,0.63,2.0,0.89,TwoDPermuteConcat
sub-verse138_vert-18-seg-vert_msk,0.88,0.6,1.73,0.9,UNet
sub-verse138_vert-18-seg-vert_msk,0.85,0.72,2.24,0.83,TLPredictor
sub-verse138_vert-19-seg-vert_msk,0.88,0.57,2.24,0.87,TwoDPermuteConcat
sub-verse138_vert-19-seg-vert_msk,0.84,0.77,2.45,0.8,OneDConcat
sub-verse138_vert-19-seg-vert_msk,0.86,0.68,2.24,0.85,UNETR
sub-verse138_vert-19-seg-vert_msk,0.89,0.63,1.73,0.92,MultiScale2DPermuteConcat
sub-verse138_vert-19-seg-vert_msk,0.9,0.53,1.73,0.92,SwinUNETR
sub-verse138_vert-19-seg-vert_msk,0.88,0.63,2.0,0.89,AttentionUnet
sub-verse138_vert-19-seg-vert_msk,0.85,0.8,2.24,0.82,TLPredictor
sub-verse138_vert-19-seg-vert_msk,0.89,0.7,2.0,0.9,UNet
sub-verse138_vert-20-seg-vert_msk,0.88,0.59,2.0,0.88,TwoDPermuteConcat
sub-verse138_vert-20-seg-vert_msk,0.86,0.68,2.24,0.84,TLPredictor
sub-verse138_vert-20-seg-vert_msk,0.87,0.65,1.73,0.9,UNETR
sub-verse138_vert-20-seg-vert_msk,0.87,0.69,2.0,0.88,MultiScale2DPermuteConcat
sub-verse138_vert-20-seg-vert_msk,0.88,0.65,2.24,0.9,SwinUNETR
sub-verse138_vert-20-seg-vert_msk,0.83,0.76,4.12,0.73,OneDConcat
sub-verse138_vert-20-seg-vert_msk,0.88,0.59,1.73,0.9,AttentionUnet
sub-verse138_vert-20-seg-vert_msk,0.89,0.53,2.0,0.89,UNet
sub-verse138_vert-21-seg-vert_msk,0.89,0.57,2.0,0.9,SwinUNETR
sub-verse138_vert-21-seg-vert_msk,0.88,0.64,2.0,0.9,MultiScale2DPermuteConcat
sub-verse138_vert-21-seg-vert_msk,0.89,0.59,2.0,0.9,UNet
sub-verse138_vert-21-seg-vert_msk,0.85,0.73,2.45,0.8,OneDConcat
sub-verse138_vert-21-seg-vert_msk,0.89,0.57,2.0,0.9,UNETR
sub-verse138_vert-21-seg-vert_msk,0.88,0.69,2.0,0.9,TLPredictor
sub-verse138_vert-21-seg-vert_msk,0.9,0.49,1.41,0.93,AttentionUnet
sub-verse138_vert-21-seg-vert_msk,0.9,0.52,2.0,0.91,TwoDPermuteConcat
sub-verse138_vert-22-seg-vert_msk,0.89,0.61,2.0,0.9,TLPredictor
sub-verse138_vert-22-seg-vert_msk,0.9,0.58,1.73,0.91,UNETR
sub-verse138_vert-22-seg-vert_msk,0.9,0.5,1.41,0.93,MultiScale2DPermuteConcat
sub-verse138_vert-22-seg-vert_msk,0.88,0.62,2.0,0.89,OneDConcat
sub-verse138_vert-22-seg-vert_msk,0.9,0.51,1.73,0.93,TwoDPermuteConcat
sub-verse138_vert-22-seg-vert_msk,0.92,0.43,1.41,0.94,AttentionUnet
sub-verse138_vert-22-seg-vert_msk,0.9,0.54,1.73,0.93,UNet
sub-verse138_vert-22-seg-vert_msk,0.91,0.46,1.41,0.93,SwinUNETR
sub-verse138_vert-23-seg-vert_msk,0.86,0.78,2.24,0.84,OneDConcat
sub-verse138_vert-23-seg-vert_msk,0.9,0.58,1.73,0.93,SwinUNETR
sub-verse138_vert-23-seg-vert_msk,0.87,0.67,2.24,0.86,TwoDPermuteConcat
sub-verse138_vert-23-seg-vert_msk,0.87,0.73,2.0,0.89,UNETR
sub-verse138_vert-23-seg-vert_msk,0.87,0.65,2.24,0.85,UNet
sub-verse138_vert-23-seg-vert_msk,0.84,0.83,2.45,0.79,MultiScale2DPermuteConcat
sub-verse138_vert-23-seg-vert_msk,0.89,0.6,2.0,0.9,AttentionUnet
sub-verse138_vert-23-seg-vert_msk,0.86,0.76,2.83,0.81,TLPredictor
sub-verse138_vert-24-seg-vert_msk,0.85,0.85,3.32,0.79,SwinUNETR
sub-verse138_vert-24-seg-vert_msk,0.83,0.85,3.32,0.72,UNet
sub-verse138_vert-24-seg-vert_msk,0.82,0.99,3.74,0.71,MultiScale2DPermuteConcat
sub-verse138_vert-24-seg-vert_msk,0.81,1.05,3.61,0.69,OneDConcat
sub-verse138_vert-24-seg-vert_msk,0.84,0.86,3.61,0.71,TwoDPermuteConcat
sub-verse138_vert-24-seg-vert_msk,0.83,0.96,3.61,0.74,UNETR
sub-verse138_vert-24-seg-vert_msk,0.8,1.01,4.24,0.65,TLPredictor
sub-verse138_vert-24-seg-vert_msk,0.84,0.85,3.46,0.74,AttentionUnet
sub-verse058_vert-19-seg-vert_msk,0.89,0.55,1.73,0.91,TwoDPermuteConcat
sub-verse058_vert-19-seg-vert_msk,0.87,0.66,2.0,0.88,OneDConcat
sub-verse058_vert-19-seg-vert_msk,0.87,0.64,2.0,0.9,MultiScale2DPermuteConcat
