subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.85,2.46,6.32,0.47
s0859_femur_right_msk,0.88,1.80,7.07,0.60
s0592_femur_left_msk,0.94,0.78,2.24,0.89
s0592_femur_right_msk,0.94,0.77,2.24,0.88
s0375_femur_left_msk,0.94,0.95,3.00,0.84
s0375_femur_right_msk,0.94,0.97,2.45,0.84
s0918_femur_left_msk,0.85,2.11,5.83,0.47
s0918_femur_right_msk,0.94,1.04,3.00,0.81
s0776_femur_left_msk,0.95,0.79,2.45,0.86
s0776_femur_right_msk,0.95,0.73,2.24,0.90
s0074_femur_left_msk,0.95,0.78,2.24,0.90
s0074_femur_right_msk,0.95,0.81,2.24,0.88
s1247_femur_left_msk,0.93,0.94,2.83,0.84
s1247_femur_right_msk,0.93,0.88,2.45,0.85
s0648_femur_left_msk,0.93,1.13,3.16,0.79
s0648_femur_right_msk,0.93,1.04,2.83,0.82
s1069_femur_left_msk,0.94,0.93,2.83,0.84
s1069_femur_right_msk,0.94,0.93,3.00,0.85
s0210_femur_left_msk,0.93,0.99,2.83,0.82
s0210_femur_right_msk,0.88,3.67,6.32,0.59
s0885_femur_left_msk,0.93,1.05,4.12,0.79
s0885_femur_right_msk,0.93,1.01,3.61,0.78
s0212_femur_left_msk,0.94,0.95,2.83,0.85
s0212_femur_right_msk,0.95,0.73,2.00,0.92
s1130_femur_left_msk,0.94,1.01,3.00,0.82
s1130_femur_right_msk,0.91,1.30,4.00,0.70
s0988_femur_left_msk,0.92,1.28,3.74,0.73
s0988_femur_right_msk,0.87,1.93,5.92,0.52
s1143_femur_left_msk,0.88,1.76,5.00,0.56
s1143_femur_right_msk,0.87,2.02,6.16,0.51
s0502_femur_left_msk,0.93,1.05,3.00,0.79
s0502_femur_right_msk,0.95,0.77,2.24,0.89
s0141_femur_left_msk,0.92,1.23,3.16,0.78
s0141_femur_right_msk,0.91,1.31,3.61,0.76
s1238_femur_left_msk,0.92,1.25,3.61,0.74
s1238_femur_right_msk,0.94,0.99,3.00,0.82
s0509_femur_left_msk,0.68,6.53,23.76,0.31
s0509_femur_right_msk,0.88,1.89,6.00,0.56
s1348_femur_left_msk,0.89,1.53,6.56,0.62
s1348_femur_right_msk,0.90,1.49,5.48,0.63
s0174_femur_left_msk,0.91,1.21,3.32,0.76
s0174_femur_right_msk,0.89,1.75,5.39,0.69
s1149_femur_left_msk,0.91,1.37,4.00,0.73
s1149_femur_right_msk,0.88,1.85,5.83,0.58
s0768_femur_left_msk,0.93,0.97,2.83,0.84
s0768_femur_right_msk,0.94,0.90,2.83,0.85
s1276_femur_left_msk,0.94,0.84,2.24,0.87
s1276_femur_right_msk,0.93,0.88,2.83,0.84
s0072_femur_left_msk,0.89,1.36,5.00,0.66
s0072_femur_right_msk,0.86,1.89,5.10,0.54
s0880_femur_left_msk,0.86,2.07,6.16,0.46
s0880_femur_right_msk,0.92,1.26,3.16,0.75
s0428_femur_left_msk,0.91,1.23,3.16,0.75
s0428_femur_right_msk,0.92,1.14,3.16,0.78
s0614_femur_left_msk,0.93,1.12,3.16,0.79
s0614_femur_right_msk,0.94,0.98,3.00,0.83
s0171_femur_left_msk,0.93,1.06,3.00,0.81
s0171_femur_right_msk,0.93,1.05,3.16,0.81
s0519_femur_left_msk,0.94,0.97,2.83,0.84
s0519_femur_right_msk,0.93,1.04,3.00,0.79
s0992_femur_left_msk,0.95,0.75,2.24,0.90
s0992_femur_right_msk,0.94,0.82,2.45,0.86
s1099_femur_left_msk,0.91,1.21,3.16,0.77
s1099_femur_right_msk,0.93,0.96,2.83,0.82
s0667_femur_left_msk,0.95,1.14,2.83,0.86
s0667_femur_right_msk,0.95,0.89,3.00,0.84
s1228_femur_left_msk,0.91,1.19,3.16,0.75
s1228_femur_right_msk,0.92,1.08,3.00,0.79
s0702_femur_left_msk,0.91,1.37,3.61,0.68
s0702_femur_right_msk,0.91,1.41,4.00,0.67
s0339_femur_left_msk,0.93,0.88,2.83,0.84
s0339_femur_right_msk,0.93,0.99,2.83,0.82
s1085_femur_left_msk,0.92,1.16,3.61,0.72
s1085_femur_right_msk,0.94,1.04,3.00,0.79
s1057_femur_left_msk,0.89,2.08,5.10,0.64
s1057_femur_right_msk,0.91,1.36,4.12,0.70
s0635_femur_left_msk,0.90,1.37,4.00,0.70
s0635_femur_right_msk,0.94,0.86,2.24,0.88
s0950_femur_left_msk,0.90,1.23,5.00,0.69
s0950_femur_right_msk,0.92,1.04,4.00,0.75
s0682_femur_left_msk,0.94,1.00,2.83,0.83
s0682_femur_right_msk,0.95,0.80,2.24,0.89
s0680_femur_left_msk,0.95,0.81,2.24,0.89
s0680_femur_right_msk,0.95,0.89,2.45,0.87
s0104_femur_left_msk,0.89,1.49,5.00,0.69
s0104_femur_right_msk,0.87,1.84,6.08,0.61
s0015_femur_left_msk,0.94,1.02,2.83,0.83
s0015_femur_right_msk,0.93,1.12,3.16,0.77
s0937_femur_left_msk,0.74,3.95,14.25,0.31
s0937_femur_right_msk,0.85,2.21,7.62,0.50
s0053_femur_left_msk,0.95,0.92,2.45,0.86
s0053_femur_right_msk,0.94,1.06,3.00,0.82
s1383_femur_left_msk,0.95,0.85,2.45,0.87
s1383_femur_right_msk,0.94,0.95,3.00,0.81
