subject-id,DSC,ASD,HD95,NSD
s0859,0.85,2.41,6.40,0.43
s0859,0.88,1.90,6.08,0.51
s0592,0.94,0.82,2.45,0.81
s0592,0.94,0.93,3.00,0.79
s0375,0.96,0.55,2.00,0.92
s0375,0.96,0.61,2.00,0.90
s0918,0.83,2.21,9.11,0.47
s0918,0.94,0.97,2.83,0.77
s0776,0.94,0.90,3.00,0.76
s0776,0.94,0.83,2.45,0.80
s0074,0.95,0.76,2.24,0.85
s0074,0.96,0.65,2.00,0.90
s1247,0.95,0.75,2.24,0.84
s1247,0.94,0.78,2.24,0.82
s0648,0.96,0.68,2.00,0.89
s0648,0.95,0.72,2.00,0.87
s1069,0.95,0.74,2.00,0.87
s1069,0.95,0.75,2.00,0.87
s0210,0.94,1.04,2.45,0.80
s0210,0.87,1.70,6.08,0.48
s0885,0.94,0.94,4.12,0.76
s0885,0.94,0.92,3.16,0.76
s0212,0.95,0.83,2.24,0.83
s0212,0.96,0.65,2.00,0.89
s1130,0.94,0.92,2.83,0.80
s1130,0.94,0.85,3.00,0.79
s0988,0.93,1.11,3.00,0.72
s0988,0.85,2.49,8.00,0.43
s1143,0.92,1.41,3.74,0.64
s1143,0.91,1.42,4.12,0.61
s0502,0.94,0.96,2.45,0.75
s0502,0.95,0.78,2.24,0.83
s0141,0.94,0.87,2.24,0.85
s0141,0.93,1.01,3.00,0.78
s1238,0.92,1.25,3.16,0.66
s1238,0.95,0.81,2.24,0.83
s0509,0.75,5.71,19.92,0.35
s0509,0.89,2.80,7.81,0.57
s1348,0.92,1.11,5.83,0.67
s1348,0.94,0.86,4.24,0.74
s0174,0.91,1.16,3.00,0.70
s0174,0.87,2.04,6.40,0.56
s1149,0.93,1.00,3.00,0.74
s1149,0.91,1.39,4.00,0.62
s0768,0.93,0.99,3.00,0.77
s0768,0.94,0.87,2.83,0.80
s1276,0.94,0.79,2.24,0.82
s1276,0.94,0.74,2.24,0.84
s0072,0.89,1.28,6.40,0.62
s0072,0.88,1.42,6.48,0.57
s0880,0.87,1.91,6.00,0.48
s0880,0.93,1.02,3.00,0.75
s0428,0.93,1.00,2.83,0.76
s0428,0.95,0.70,2.24,0.88
s0614,0.95,0.75,2.24,0.84
s0614,0.94,0.93,2.45,0.80
s0171,0.94,0.92,3.00,0.79
s0171,0.94,0.89,2.83,0.80
s0519,0.95,0.73,2.24,0.86
s0519,0.95,0.73,2.24,0.86
s0992,0.96,0.55,2.00,0.92
s0992,0.95,0.62,2.00,0.88
s1099,0.94,0.86,2.83,0.82
s1099,0.94,0.75,2.24,0.83
s0667,0.96,0.73,2.24,0.85
s0667,0.95,0.82,2.83,0.82
s1228,0.94,0.77,2.24,0.83
s1228,0.94,0.78,2.24,0.83
s0702,0.93,1.14,3.16,0.69
s0702,0.94,0.93,2.83,0.77
s0339,0.94,0.74,2.45,0.83
