subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.82,2.83,8.06,0.37
s0859_femur_right_msk,0.81,2.69,12.77,0.40
s0592_femur_left_msk,0.93,0.93,2.83,0.82
s0592_femur_right_msk,0.91,1.20,3.22,0.75
s0375_femur_left_msk,0.93,1.13,2.83,0.79
s0375_femur_right_msk,0.91,1.31,3.32,0.72
s0918_femur_left_msk,0.69,3.89,13.93,0.32
s0918_femur_right_msk,0.92,1.26,3.32,0.72
s0776_femur_left_msk,0.87,1.96,5.39,0.51
s0776_femur_right_msk,0.91,1.40,4.00,0.66
s0074_femur_left_msk,0.92,1.13,3.16,0.77
s0074_femur_right_msk,0.89,4.54,33.54,0.73
s1247_femur_left_msk,0.92,1.12,3.00,0.77
s1247_femur_right_msk,0.90,1.27,4.24,0.69
s0648_femur_left_msk,0.93,1.13,2.83,0.79
s0648_femur_right_msk,0.90,1.49,3.74,0.65
s1069_femur_left_msk,0.92,1.25,3.46,0.78
s1069_femur_right_msk,0.93,1.11,3.46,0.80
s0210_femur_left_msk,0.88,1.69,5.39,0.55
s0210_femur_right_msk,0.80,2.79,8.77,0.36
s0885_femur_left_msk,0.90,1.43,4.58,0.62
s0885_femur_right_msk,0.91,1.27,3.61,0.68
s0212_femur_left_msk,0.92,1.25,3.16,0.73
s0212_femur_right_msk,0.94,0.97,2.45,0.85
s1130_femur_left_msk,0.93,1.08,3.00,0.78
s1130_femur_right_msk,0.93,1.08,3.61,0.76
s0988_femur_left_msk,0.86,2.34,6.40,0.46
s0988_femur_right_msk,0.81,2.73,7.81,0.33
s1143_femur_left_msk,0.91,1.37,4.12,0.67
s1143_femur_right_msk,0.90,1.58,4.36,0.66
s0502_femur_left_msk,0.92,1.14,3.61,0.72
s0502_femur_right_msk,0.93,1.07,3.00,0.75
s0141_femur_left_msk,0.91,1.20,4.00,0.71
s0141_femur_right_msk,0.92,1.07,3.61,0.80
s1238_femur_left_msk,0.92,1.25,4.24,0.73
s1238_femur_right_msk,0.92,1.20,3.74,0.73
s0509_femur_left_msk,0.59,8.57,26.40,0.22
s0509_femur_right_msk,0.89,1.77,4.90,0.58
s1348_femur_left_msk,0.91,1.16,5.74,0.71
s1348_femur_right_msk,0.91,1.24,5.66,0.66
s0174_femur_left_msk,0.84,2.31,5.00,0.45
s0174_femur_right_msk,0.83,2.29,5.10,0.44
s1149_femur_left_msk,0.86,2.10,6.15,0.49
s1149_femur_right_msk,0.85,2.26,6.16,0.45
s0768_femur_left_msk,0.86,1.87,4.90,0.51
s0768_femur_right_msk,0.90,1.29,3.74,0.71
s1276_femur_left_msk,0.93,0.94,2.83,0.82
s1276_femur_right_msk,0.93,0.88,2.45,0.86
s0072_femur_left_msk,0.82,2.25,7.28,0.40
s0072_femur_right_msk,0.81,2.45,6.78,0.39
s0880_femur_left_msk,0.75,4.54,13.56,0.34
s0880_femur_right_msk,0.87,2.16,6.00,0.54
s0428_femur_left_msk,0.91,1.35,4.12,0.72
s0428_femur_right_msk,0.89,1.58,4.47,0.66
s0614_femur_left_msk,0.92,1.14,3.00,0.76
s0614_femur_right_msk,0.92,1.19,3.00,0.77
s0171_femur_left_msk,0.90,1.45,4.24,0.64
s0171_femur_right_msk,0.92,1.06,3.00,0.78
s0519_femur_left_msk,0.92,1.16,3.32,0.74
s0519_femur_right_msk,0.90,1.49,4.24,0.62
s0992_femur_left_msk,0.93,0.85,2.45,0.84
s0992_femur_right_msk,0.93,0.95,3.00,0.79
s1099_femur_left_msk,0.90,1.31,3.16,0.71
s1099_femur_right_msk,0.90,1.37,3.61,0.67
s0667_femur_left_msk,0.93,1.02,3.00,0.78
s0667_femur_right_msk,0.94,0.99,3.00,0.79
s1228_femur_left_msk,0.92,1.01,3.32,0.79
s1228_femur_right_msk,0.91,1.31,3.61,0.74
s0702_femur_left_msk,0.93,1.16,3.46,0.77
s0702_femur_right_msk,0.92,1.29,3.74,0.70
s0339_femur_left_msk,0.92,0.96,3.00,0.80
s0339_femur_right_msk,0.90,1.37,4.12,0.73
s1085_femur_left_msk,0.92,1.30,3.74,0.69
s1085_femur_right_msk,0.92,1.29,3.61,0.72
s1057_femur_left_msk,0.85,2.33,7.00,0.52
s1057_femur_right_msk,0.89,1.71,4.47,0.61
s0635_femur_left_msk,0.91,1.21,3.74,0.72
s0635_femur_right_msk,0.93,0.99,3.00,0.80
s0950_femur_left_msk,0.91,1.29,4.12,0.66
s0950_femur_right_msk,0.92,1.04,3.74,0.73
s0682_femur_left_msk,0.90,1.57,4.47,0.64
s0682_femur_right_msk,0.94,1.01,3.00,0.80
s0680_femur_left_msk,0.93,1.17,3.61,0.75
s0680_femur_right_msk,0.92,1.22,3.61,0.72
s0104_femur_left_msk,0.85,2.28,7.14,0.56
s0104_femur_right_msk,0.86,2.26,8.25,0.60
s0015_femur_left_msk,0.94,0.97,3.00,0.80
s0015_femur_right_msk,0.93,0.97,3.00,0.80
s0937_femur_left_msk,0.64,6.45,19.90,0.22
s0937_femur_right_msk,0.80,2.38,19.00,0.30
s0053_femur_left_msk,0.90,1.70,4.58,0.62
s0053_femur_right_msk,0.86,2.31,5.48,0.48
s1383_femur_left_msk,0.92,1.22,3.61,0.71
s1383_femur_right_msk,0.93,1.06,3.00,0.78
s1111_femur_left_msk,0.93,1.03,3.16,0.76
s1111_femur_right_msk,0.92,1.19,3.46,0.72
s0192_femur_left_msk,0.92,1.05,3.00,0.76
s0192_femur_right_msk,0.93,0.97,3.00,0.80
s0016_femur_left_msk,0.92,1.24,3.32,0.73
s0016_femur_right_msk,0.90,1.47,4.12,0.63
s0664_femur_left_msk,0.88,1.74,4.90,0.58
s0664_femur_right_msk,0.95,0.79,2.24,0.89
s1347_femur_left_msk,0.94,0.90,2.83,0.84
s1347_femur_right_msk,0.94,0.96,2.83,0.84
s1045_femur_left_msk,0.93,1.20,3.00,0.77
s1045_femur_right_msk,0.94,0.99,2.83,0.85
s0120_femur_left_msk,0.88,1.98,5.39,0.54
s0120_femur_right_msk,0.94,1.00,2.83,0.83
s0143_femur_left_msk,0.93,1.10,3.00,0.79
s0143_femur_right_msk,0.92,1.24,3.32,0.73
s0109_femur_left_msk,0.93,1.04,3.00,0.84
s0109_femur_right_msk,0.91,1.28,3.61,0.73
s0807_femur_left_msk,0.94,0.93,2.83,0.82
s0807_femur_right_msk,0.94,0.92,3.00,0.84
s0723_femur_left_msk,0.88,1.71,4.12,0.62
s0723_femur_right_msk,0.89,1.60,4.00,0.67
s1291_femur_left_msk,0.91,1.22,3.32,0.74
s1291_femur_right_msk,0.92,1.05,3.00,0.77
s0593_femur_left_msk,0.93,1.02,3.00,0.82
s0593_femur_right_msk,0.94,0.74,2.24,0.90
s0229_femur_left_msk,0.83,2.52,6.40,0.38
s0229_femur_right_msk,0.82,2.59,8.94,0.45
s1293_femur_left_msk,0.92,1.08,3.61,0.75
s1293_femur_right_msk,0.92,1.10,3.00,0.76
s0095_femur_left_msk,0.88,1.85,5.39,0.52
s0095_femur_right_msk,0.84,2.13,7.95,0.44
s0133_femur_left_msk,0.92,1.35,3.74,0.69
s0133_femur_right_msk,0.93,1.19,3.32,0.74
s0166_femur_left_msk,0.87,1.69,5.48,0.52
s0166_femur_right_msk,0.89,1.60,4.00,0.63
s0657_femur_left_msk,0.91,1.45,4.00,0.63
s0657_femur_right_msk,0.90,1.68,4.90,0.57
s0341_femur_left_msk,0.90,1.60,4.00,0.58
s0341_femur_right_msk,0.90,1.57,4.12,0.60
s0794_femur_left_msk,0.92,1.23,3.32,0.72
s0794_femur_right_msk,0.93,1.03,3.00,0.80
s0334_femur_left_msk,0.93,1.06,3.16,0.77
s0334_femur_right_msk,0.92,1.25,3.46,0.73
s0921_femur_left_msk,0.88,1.94,5.48,0.54
s0921_femur_right_msk,0.90,1.51,4.36,0.61
