subject-id,DSC,ASD,HD95,NSD
s0859,0.84,2.35,6.40,0.34
s0859,0.84,2.18,8.37,0.37
s0592,0.92,1.05,3.16,0.65
s0592,0.92,1.09,3.16,0.67
s0375,0.93,1.01,3.00,0.72
s0375,0.92,1.08,3.16,0.68
s0918,0.65,4.42,16.43,0.22
s0918,0.92,1.16,3.16,0.64
s0776,0.91,1.35,4.12,0.59
s0776,0.92,1.13,3.74,0.64
s0074,0.93,1.01,2.83,0.72
s0074,0.92,2.17,5.74,0.68
s1247,0.92,1.00,3.00,0.70
s1247,0.91,1.21,4.00,0.60
s0648,0.93,1.00,3.00,0.73
s0648,0.91,1.21,3.74,0.66
s1069,0.93,1.03,3.16,0.75
s1069,0.93,1.04,3.32,0.72
s0210,0.89,1.54,4.47,0.50
s0210,0.84,2.16,8.54,0.42
s0885,0.91,1.31,4.24,0.55
s0885,0.92,1.11,3.61,0.64
s0212,0.91,1.23,4.12,0.63
s0212,0.94,0.96,3.00,0.72
s1130,0.92,1.16,4.00,0.63
s1130,0.93,1.02,3.61,0.67
s0988,0.86,2.18,6.71,0.43
s0988,0.83,2.37,7.21,0.33
s1143,0.90,1.48,4.24,0.50
s1143,0.88,1.66,6.40,0.46
s0502,0.93,1.08,3.46,0.67
s0502,0.93,1.07,3.32,0.66
s0141,0.91,1.15,4.00,0.65
s0141,0.92,1.04,3.61,0.72
s1238,0.90,1.47,4.47,0.51
s1238,0.92,1.16,3.61,0.65
s0509,0.59,7.15,19.80,0.15
s0509,0.86,2.06,7.48,0.42
s1348,0.89,1.37,7.81,0.57
s1348,0.91,1.22,5.74,0.59
s0174,0.88,1.56,4.12,0.54
s0174,0.82,2.06,6.63,0.39
s1149,0.91,1.37,3.74,0.58
s1149,0.88,1.72,5.10,0.49
s0768,0.88,1.53,4.12,0.50
s0768,0.92,1.05,3.00,0.69
s1276,0.93,0.86,2.45,0.77
s1276,0.94,0.85,2.83,0.79
s0072,0.81,2.34,7.35,0.34
s0072,0.82,2.42,7.00,0.37
s0880,0.81,2.81,7.68,0.31
s0880,0.89,1.59,4.90,0.53
s0428,0.91,1.24,3.61,0.65
s0428,0.93,1.04,3.00,0.70
s0614,0.94,0.90,2.83,0.77
s0614,0.93,1.07,3.00,0.71
s0171,0.91,1.22,4.00,0.62
s0171,0.93,0.96,3.00,0.71
s0519,0.93,1.00,3.74,0.71
s0519,0.92,1.10,3.16,0.64
s0992,0.94,0.81,2.24,0.82
s0992,0.93,0.89,3.00,0.73
s1099,0.91,1.18,3.00,0.64
s1099,0.91,1.05,3.61,0.67
s0667,0.92,1.18,3.16,0.60
s0667,0.94,0.99,3.02,0.70
s1228,0.93,0.92,3.00,0.74
s1228,0.91,1.06,3.74,0.64
s0702,0.93,1.09,3.16,0.64
s0702,0.92,1.26,3.61,0.59
s0339,0.92,0.95,3.00,0.71
s0339,0.92,0.97,3.00,0.72
s1085,0.93,1.18,3.32,0.66
s1085,0.93,1.15,3.32,0.70
s1057,0.83,2.37,7.00,0.35
s1057,0.89,1.56,5.10,0.51
s0635,0.92,1.11,3.61,0.67
s0635,0.94,0.81,2.83,0.79
s0950,0.91,1.13,4.24,0.63
s0950,0.92,1.00,3.61,0.66
s0682,0.92,1.29,3.61,0.57
s0682,0.93,1.05,3.00,0.68
s0680,0.93,1.02,3.00,0.70
s0680,0.92,1.20,3.74,0.62
s0104,0.88,1.63,4.90,0.54
s0104,0.90,1.28,4.12,0.62
s0015,0.94,0.88,2.45,0.77
s0015,0.94,0.91,3.00,0.74
s0937,0.67,6.04,18.87,0.23
s0937,0.83,1.94,14.87,0.36
s0053,0.92,1.46,4.58,0.62
