subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.87,2.16,6.08,0.54
s0859_femur_right_msk,0.84,2.28,11.75,0.54
s0592_femur_left_msk,0.95,0.67,2.24,0.90
s0592_femur_right_msk,0.94,0.72,2.45,0.87
s0375_femur_left_msk,0.95,0.76,2.24,0.90
s0375_femur_right_msk,0.95,0.74,2.24,0.89
s0918_femur_left_msk,0.81,2.33,9.06,0.46
s0918_femur_right_msk,0.94,0.89,3.00,0.83
s0776_femur_left_msk,0.94,0.84,2.83,0.84
s0776_femur_right_msk,0.95,0.73,2.24,0.89
s0074_femur_left_msk,0.94,0.89,2.45,0.83
s0074_femur_right_msk,0.94,1.62,3.00,0.89
s1247_femur_left_msk,0.94,0.76,2.24,0.89
s1247_femur_right_msk,0.94,0.77,3.00,0.87
s0648_femur_left_msk,0.96,0.61,2.00,0.95
s0648_femur_right_msk,0.94,0.90,2.83,0.85
s1069_femur_left_msk,0.95,0.73,2.24,0.92
s1069_femur_right_msk,0.95,0.68,2.24,0.92
s0210_femur_left_msk,0.94,0.82,2.83,0.85
s0210_femur_right_msk,0.90,1.36,5.00,0.64
s0885_femur_left_msk,0.93,0.93,4.24,0.80
s0885_femur_right_msk,0.94,0.85,3.74,0.83
s0212_femur_left_msk,0.93,1.04,3.00,0.79
s0212_femur_right_msk,0.95,0.69,2.24,0.90
s1130_femur_left_msk,0.95,0.72,2.24,0.91
s1130_femur_right_msk,0.96,0.64,2.24,0.92
s0988_femur_left_msk,0.94,0.89,2.83,0.84
s0988_femur_right_msk,0.88,1.74,5.39,0.57
s1143_femur_left_msk,0.94,0.96,3.00,0.85
s1143_femur_right_msk,0.94,1.08,3.61,0.85
s0502_femur_left_msk,0.95,0.80,2.45,0.86
s0502_femur_right_msk,0.96,0.62,2.00,0.94
s0141_femur_left_msk,0.95,0.70,2.00,0.92
s0141_femur_right_msk,0.95,0.69,2.24,0.92
s1238_femur_left_msk,0.92,1.19,3.74,0.75
s1238_femur_right_msk,0.96,0.70,2.24,0.92
s0509_femur_left_msk,0.75,5.52,22.16,0.40
s0509_femur_right_msk,0.86,1.97,6.71,0.56
s1348_femur_left_msk,0.93,0.93,5.00,0.78
s1348_femur_right_msk,0.93,0.89,5.10,0.78
s0174_femur_left_msk,0.93,0.87,2.83,0.86
s0174_femur_right_msk,0.91,1.10,3.61,0.77
s1149_femur_left_msk,0.91,1.25,5.00,0.75
s1149_femur_right_msk,0.90,1.44,4.12,0.67
s0768_femur_left_msk,0.93,0.87,2.45,0.86
s0768_femur_right_msk,0.95,0.72,2.24,0.90
s1276_femur_left_msk,0.94,0.76,2.83,0.87
s1276_femur_right_msk,0.94,0.73,2.24,0.89
s0072_femur_left_msk,0.91,0.97,7.00,0.74
s0072_femur_right_msk,0.91,0.99,7.07,0.75
s0880_femur_left_msk,0.87,1.96,6.48,0.57
s0880_femur_right_msk,0.95,0.78,2.83,0.87
s0428_femur_left_msk,0.95,0.74,2.24,0.90
s0428_femur_right_msk,0.94,0.84,2.83,0.87
s0614_femur_left_msk,0.95,0.74,2.45,0.90
s0614_femur_right_msk,0.95,0.72,2.00,0.94
s0171_femur_left_msk,0.94,0.75,3.00,0.84
s0171_femur_right_msk,0.95,0.67,2.24,0.91
s0519_femur_left_msk,0.95,0.66,2.00,0.93
s0519_femur_right_msk,0.96,0.65,2.24,0.92
s0992_femur_left_msk,0.95,0.63,2.24,0.91
s0992_femur_right_msk,0.95,0.61,2.24,0.92
s1099_femur_left_msk,0.94,0.73,2.24,0.90
s1099_femur_right_msk,0.95,0.59,2.00,0.94
s0667_femur_left_msk,0.94,0.85,3.46,0.83
s0667_femur_right_msk,0.94,0.93,3.00,0.85
s1228_femur_left_msk,0.93,0.89,3.00,0.85
s1228_femur_right_msk,0.94,0.75,2.24,0.91
s0702_femur_left_msk,0.94,0.84,3.00,0.83
s0702_femur_right_msk,0.96,0.65,2.24,0.92
s0339_femur_left_msk,0.94,0.73,2.24,0.88
s0339_femur_right_msk,0.95,0.68,2.24,0.91
s1085_femur_left_msk,0.95,0.77,2.83,0.85
s1085_femur_right_msk,0.95,0.70,2.24,0.90
s1057_femur_left_msk,0.91,1.25,5.48,0.71
s1057_femur_right_msk,0.93,0.91,3.00,0.81
s0635_femur_left_msk,0.94,0.76,2.45,0.88
s0635_femur_right_msk,0.95,0.63,2.00,0.93
s0950_femur_left_msk,0.94,0.75,3.61,0.83
s0950_femur_right_msk,0.94,0.69,3.00,0.85
s0682_femur_left_msk,0.94,0.90,2.83,0.83
s0682_femur_right_msk,0.94,0.89,3.00,0.85
s0680_femur_left_msk,0.96,0.68,2.24,0.92
s0680_femur_right_msk,0.96,0.64,2.24,0.93
s0104_femur_left_msk,0.94,0.77,3.00,0.86
s0104_femur_right_msk,0.93,0.87,3.16,0.83
s0015_femur_left_msk,0.96,0.56,2.00,0.96
s0015_femur_right_msk,0.96,0.54,1.73,0.97
s0937_femur_left_msk,0.81,3.92,19.21,0.59
s0937_femur_right_msk,0.88,2.00,9.43,0.67
s0053_femur_left_msk,0.95,0.77,2.45,0.88
s0053_femur_right_msk,0.94,0.91,2.83,0.84
s1383_femur_left_msk,0.96,0.60,2.00,0.93
s1383_femur_right_msk,0.96,0.61,2.00,0.94
s1111_femur_left_msk,0.95,0.75,2.83,0.86
s1111_femur_right_msk,0.95,0.85,2.83,0.85
s0192_femur_left_msk,0.94,0.72,2.45,0.86
s0192_femur_right_msk,0.95,0.65,2.24,0.92
s0016_femur_left_msk,0.95,0.73,2.24,0.88
s0016_femur_right_msk,0.96,0.55,2.00,0.94
s0664_femur_left_msk,0.94,0.84,2.83,0.88
s0664_femur_right_msk,0.96,0.58,2.00,0.93
s1347_femur_left_msk,0.96,0.65,2.00,0.93
s1347_femur_right_msk,0.96,0.53,1.73,0.96
s1045_femur_left_msk,0.95,0.71,2.24,0.91
s1045_femur_right_msk,0.96,0.67,2.00,0.93
s0120_femur_left_msk,0.95,0.81,2.83,0.88
s0120_femur_right_msk,0.96,0.73,2.00,0.92
s0143_femur_left_msk,0.96,0.66,2.24,0.92
s0143_femur_right_msk,0.96,0.61,2.00,0.93
s0109_femur_left_msk,0.93,1.12,3.61,0.83
s0109_femur_right_msk,0.95,0.78,2.24,0.91
s0807_femur_left_msk,0.95,0.74,2.24,0.88
s0807_femur_right_msk,0.95,0.80,2.83,0.86
s0723_femur_left_msk,0.94,0.76,2.24,0.92
