subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.85,2.32,6.56,0.42
s0859_femur_right_msk,0.82,2.35,12.17,0.44
s0592_femur_left_msk,0.93,0.95,3.00,0.83
s0592_femur_right_msk,0.92,1.09,3.00,0.79
s0375_femur_left_msk,0.92,1.21,3.74,0.78
s0375_femur_right_msk,0.91,1.37,4.12,0.74
s0918_femur_left_msk,0.64,4.30,14.70,0.21
s0918_femur_right_msk,0.92,1.23,3.16,0.74
s0776_femur_left_msk,0.91,1.27,3.46,0.71
s0776_femur_right_msk,0.93,1.00,3.16,0.79
s0074_femur_left_msk,0.93,1.12,3.16,0.80
s0074_femur_right_msk,0.91,2.06,4.12,0.70
s1247_femur_left_msk,0.92,1.11,3.61,0.77
s1247_femur_right_msk,0.92,1.07,3.61,0.76
s0648_femur_left_msk,0.91,1.28,3.00,0.74
s0648_femur_right_msk,0.92,1.13,3.00,0.79
s1069_femur_left_msk,0.93,1.09,3.00,0.82
s1069_femur_right_msk,0.93,1.12,3.00,0.82
s0210_femur_left_msk,0.91,1.18,4.12,0.74
s0210_femur_right_msk,0.83,4.56,29.02,0.46
s0885_femur_left_msk,0.91,1.32,4.90,0.68
s0885_femur_right_msk,0.91,1.31,4.12,0.68
s0212_femur_left_msk,0.92,1.19,3.46,0.77
s0212_femur_right_msk,0.93,1.04,2.83,0.84
s1130_femur_left_msk,0.92,1.16,3.61,0.74
s1130_femur_right_msk,0.91,1.41,4.12,0.64
s0988_femur_left_msk,0.90,1.69,4.69,0.61
s0988_femur_right_msk,0.79,2.92,9.90,0.34
s1143_femur_left_msk,0.88,1.77,5.00,0.55
s1143_femur_right_msk,0.88,1.86,5.39,0.54
s0502_femur_left_msk,0.92,1.15,4.12,0.73
s0502_femur_right_msk,0.94,0.91,3.00,0.83
s0141_femur_left_msk,0.91,1.29,3.61,0.74
s0141_femur_right_msk,0.90,1.46,4.12,0.69
s1238_femur_left_msk,0.90,1.49,5.39,0.68
s1238_femur_right_msk,0.91,1.34,4.12,0.70
s0509_femur_left_msk,0.56,6.44,16.06,0.20
s0509_femur_right_msk,0.79,3.22,8.60,0.32
s1348_femur_left_msk,0.89,1.54,7.07,0.60
s1348_femur_right_msk,0.91,1.27,5.00,0.66
s0174_femur_left_msk,0.85,1.83,4.69,0.56
s0174_femur_right_msk,0.82,2.20,5.66,0.42
s1149_femur_left_msk,0.88,1.75,5.10,0.54
s1149_femur_right_msk,0.86,2.05,5.74,0.49
s0768_femur_left_msk,0.89,1.49,3.74,0.63
s0768_femur_right_msk,0.90,1.33,4.00,0.71
s1276_femur_left_msk,0.92,1.16,3.16,0.77
s1276_femur_right_msk,0.91,1.22,3.32,0.75
s0072_femur_left_msk,0.84,2.05,7.07,0.46
s0072_femur_right_msk,0.81,2.67,6.40,0.38
s0880_femur_left_msk,0.83,2.55,8.06,0.43
s0880_femur_right_msk,0.89,1.65,4.24,0.60
s0428_femur_left_msk,0.91,1.23,3.32,0.75
s0428_femur_right_msk,0.88,1.65,4.12,0.60
s0614_femur_left_msk,0.91,1.28,3.32,0.72
s0614_femur_right_msk,0.90,1.52,3.46,0.69
s0171_femur_left_msk,0.90,1.29,4.12,0.69
s0171_femur_right_msk,0.93,0.92,2.83,0.83
s0519_femur_left_msk,0.93,1.07,3.32,0.78
s0519_femur_right_msk,0.92,1.14,3.74,0.75
s0992_femur_left_msk,0.92,1.09,2.83,0.81
s0992_femur_right_msk,0.91,1.31,4.00,0.75
s1099_femur_left_msk,0.90,1.31,3.32,0.72
s1099_femur_right_msk,0.91,1.08,3.00,0.78
s0667_femur_left_msk,0.94,0.97,3.00,0.80
s0667_femur_right_msk,0.94,0.92,3.00,0.83
s1228_femur_left_msk,0.89,1.57,4.58,0.66
s1228_femur_right_msk,0.92,1.06,2.83,0.81
s0702_femur_left_msk,0.91,1.41,4.24,0.69
s0702_femur_right_msk,0.89,1.76,5.00,0.59
s0339_femur_left_msk,0.91,1.12,3.32,0.77
s0339_femur_right_msk,0.90,1.38,4.00,0.68
s1085_femur_left_msk,0.90,1.60,4.36,0.59
s1085_femur_right_msk,0.93,1.14,3.61,0.78
s1057_femur_left_msk,0.85,2.14,8.06,0.52
s1057_femur_right_msk,0.90,1.58,4.12,0.63
s0635_femur_left_msk,0.92,1.07,3.16,0.78
s0635_femur_right_msk,0.93,1.08,2.83,0.79
s0950_femur_left_msk,0.90,1.35,4.12,0.64
s0950_femur_right_msk,0.90,1.34,4.36,0.64
s0682_femur_left_msk,0.92,1.26,3.61,0.76
s0682_femur_right_msk,0.93,1.11,3.32,0.75
s0680_femur_left_msk,0.94,0.95,2.83,0.84
s0680_femur_right_msk,0.93,1.06,3.00,0.80
s0104_femur_left_msk,0.88,1.58,5.00,0.66
s0104_femur_right_msk,0.88,1.57,4.69,0.63
s0015_femur_left_msk,0.93,1.02,3.00,0.82
s0015_femur_right_msk,0.92,1.18,3.46,0.73
s0937_femur_left_msk,0.53,7.70,21.54,0.22
s0937_femur_right_msk,0.80,3.67,14.59,0.44
s0053_femur_left_msk,0.92,1.27,3.74,0.75
s0053_femur_right_msk,0.90,1.79,5.10,0.65
s1383_femur_left_msk,0.94,1.00,2.83,0.82
s1383_femur_right_msk,0.93,1.04,3.16,0.78
s1111_femur_left_msk,0.92,1.22,3.74,0.72
