subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.84,2.38,6.78,0.41
s0859_femur_right_msk,0.82,2.29,11.69,0.45
s0592_femur_left_msk,0.94,0.82,2.45,0.87
s0592_femur_right_msk,0.93,0.96,3.00,0.83
s0375_femur_left_msk,0.94,0.90,2.83,0.86
s0375_femur_right_msk,0.93,1.00,3.00,0.83
s0918_femur_left_msk,0.65,4.13,15.07,0.24
s0918_femur_right_msk,0.93,1.10,3.00,0.79
s0776_femur_left_msk,0.91,1.30,3.46,0.69
s0776_femur_right_msk,0.93,1.08,3.16,0.77
s0074_femur_left_msk,0.94,0.96,2.45,0.86
s0074_femur_right_msk,0.92,1.16,3.32,0.77
s1247_femur_left_msk,0.93,0.94,2.83,0.83
s1247_femur_right_msk,0.92,0.98,3.16,0.79
s0648_femur_left_msk,0.93,1.00,2.83,0.86
s0648_femur_right_msk,0.93,1.05,3.00,0.83
s1069_femur_left_msk,0.94,0.97,3.00,0.86
s1069_femur_right_msk,0.93,1.12,3.00,0.81
s0210_femur_left_msk,0.92,1.09,3.32,0.78
s0210_femur_right_msk,0.83,3.13,8.66,0.44
s0885_femur_left_msk,0.90,1.38,5.10,0.67
s0885_femur_right_msk,0.91,1.31,4.12,0.68
s0212_femur_left_msk,0.93,1.13,3.61,0.79
s0212_femur_right_msk,0.95,0.82,2.24,0.90
s1130_femur_left_msk,0.93,0.99,3.00,0.81
s1130_femur_right_msk,0.93,1.04,3.16,0.81
s0988_femur_left_msk,0.90,1.63,4.58,0.61
s0988_femur_right_msk,0.81,2.78,9.27,0.37
s1143_femur_left_msk,0.90,1.51,4.12,0.60
s1143_femur_right_msk,0.89,1.60,5.10,0.63
s0502_femur_left_msk,0.91,1.27,4.12,0.69
s0502_femur_right_msk,0.92,1.14,3.32,0.72
s0141_femur_left_msk,0.92,1.05,2.83,0.84
s0141_femur_right_msk,0.92,1.12,3.00,0.82
s1238_femur_left_msk,0.91,1.40,4.24,0.65
s1238_femur_right_msk,0.92,1.25,3.74,0.72
s0509_femur_left_msk,0.55,7.62,21.02,0.18
s0509_femur_right_msk,0.80,3.22,8.37,0.34
s1348_femur_left_msk,0.90,1.28,5.83,0.67
s1348_femur_right_msk,0.93,1.00,4.24,0.75
s0174_femur_left_msk,0.85,1.82,5.20,0.58
s0174_femur_right_msk,0.83,2.20,5.48,0.44
s1149_femur_left_msk,0.89,1.57,5.10,0.60
s1149_femur_right_msk,0.87,1.83,5.66,0.51
s0768_femur_left_msk,0.90,1.38,3.61,0.68
s0768_femur_right_msk,0.92,1.12,3.16,0.78
s1276_femur_left_msk,0.93,0.99,2.83,0.84
s1276_femur_right_msk,0.93,0.96,2.83,0.85
s0072_femur_left_msk,0.85,1.86,8.06,0.50
s0072_femur_right_msk,0.83,2.39,7.00,0.45
s0880_femur_left_msk,0.83,2.48,8.06,0.43
s0880_femur_right_msk,0.90,1.50,4.12,0.64
s0428_femur_left_msk,0.91,1.25,3.32,0.74
s0428_femur_right_msk,0.91,1.25,3.46,0.76
s0614_femur_left_msk,0.92,1.11,3.00,0.79
s0614_femur_right_msk,0.92,1.28,3.00,0.77
s0171_femur_left_msk,0.92,1.05,3.32,0.78
s0171_femur_right_msk,0.94,0.84,2.45,0.86
s0519_femur_left_msk,0.94,0.84,2.45,0.88
s0519_femur_right_msk,0.92,1.19,4.00,0.74
s0992_femur_left_msk,0.94,0.85,2.24,0.90
s0992_femur_right_msk,0.93,0.99,3.00,0.86
s1099_femur_left_msk,0.91,1.23,3.00,0.75
s1099_femur_right_msk,0.92,1.03,2.83,0.82
s0667_femur_left_msk,0.93,1.05,3.61,0.76
s0667_femur_right_msk,0.94,0.97,3.00,0.83
s1228_femur_left_msk,0.89,1.49,4.47,0.68
s1228_femur_right_msk,0.92,1.05,3.00,0.80
s0702_femur_left_msk,0.94,1.02,3.16,0.82
s0702_femur_right_msk,0.92,1.32,4.12,0.69
s0339_femur_left_msk,0.92,1.01,3.00,0.83
s0339_femur_right_msk,0.92,1.05,3.00,0.80
s1085_femur_left_msk,0.93,1.17,3.46,0.76
s1085_femur_right_msk,0.94,0.94,2.83,0.86
s1057_femur_left_msk,0.86,1.88,7.21,0.55
s1057_femur_right_msk,0.90,1.51,4.00,0.64
s0635_femur_left_msk,0.93,1.00,3.16,0.80
s0635_femur_right_msk,0.94,0.88,2.24,0.88
s0950_femur_left_msk,0.92,1.07,3.32,0.75
s0950_femur_right_msk,0.93,0.91,3.61,0.79
s0682_femur_left_msk,0.93,1.13,3.32,0.76
s0682_femur_right_msk,0.93,1.00,3.16,0.80
s0680_femur_left_msk,0.94,0.86,2.83,0.85
s0680_femur_right_msk,0.94,0.91,2.83,0.84
s0104_femur_left_msk,0.90,1.30,4.00,0.72
s0104_femur_right_msk,0.88,1.53,4.36,0.65
s0015_femur_left_msk,0.95,0.77,2.24,0.91
s0015_femur_right_msk,0.95,0.79,2.45,0.88
s0937_femur_left_msk,0.47,8.28,24.68,0.22
s0937_femur_right_msk,0.77,4.21,14.49,0.43
s0053_femur_left_msk,0.93,1.10,3.00,0.80
s0053_femur_right_msk,0.90,1.61,4.69,0.66
s1383_femur_left_msk,0.95,0.82,2.45,0.88
s1383_femur_right_msk,0.95,0.82,2.83,0.86
s1111_femur_left_msk,0.94,0.92,3.00,0.83
s1111_femur_right_msk,0.92,1.22,3.61,0.75
s0192_femur_left_msk,0.93,0.92,2.83,0.85
s0192_femur_right_msk,0.92,1.14,3.16,0.78
s0016_femur_left_msk,0.95,0.79,2.24,0.91
s0016_femur_right_msk,0.95,0.71,2.24,0.93
s0664_femur_left_msk,0.86,2.04,5.39,0.55
s0664_femur_right_msk,0.93,1.01,3.00,0.84
s1347_femur_left_msk,0.95,0.78,2.24,0.91
s1347_femur_right_msk,0.94,0.93,3.00,0.85
s1045_femur_left_msk,0.94,1.01,2.83,0.84
s1045_femur_right_msk,0.94,0.96,2.45,0.88
s0120_femur_left_msk,0.87,2.03,6.00,0.52
s0120_femur_right_msk,0.94,1.03,2.83,0.84
s0143_femur_left_msk,0.93,1.20,3.00,0.77
s0143_femur_right_msk,0.92,1.24,3.16,0.74
s0109_femur_left_msk,0.91,1.40,3.61,0.72
s0109_femur_right_msk,0.91,1.36,3.32,0.72
s0807_femur_left_msk,0.92,1.25,3.74,0.72
s0807_femur_right_msk,0.93,1.07,3.46,0.79
s0723_femur_left_msk,0.90,1.26,3.32,0.75
s0723_femur_right_msk,0.91,1.17,3.61,0.78
s1291_femur_left_msk,0.91,1.18,3.16,0.76
s1291_femur_right_msk,0.91,1.19,3.16,0.76
s0593_femur_left_msk,0.92,1.08,2.83,0.83
s0593_femur_right_msk,0.95,0.70,2.00,0.94
s0229_femur_left_msk,0.81,2.85,8.19,0.36
s0229_femur_right_msk,0.81,3.57,13.00,0.42
s1293_femur_left_msk,0.94,0.80,2.24,0.88
s1293_femur_right_msk,0.93,1.03,3.00,0.80
s0095_femur_left_msk,0.87,1.69,6.63,0.52
s0095_femur_right_msk,0.80,2.58,8.60,0.37
s0133_femur_left_msk,0.94,0.98,2.83,0.83
s0133_femur_right_msk,0.92,1.27,3.32,0.68
s0166_femur_left_msk,0.92,1.15,3.00,0.73
s0166_femur_right_msk,0.92,1.11,3.16,0.78
s0657_femur_left_msk,0.92,1.24,3.61,0.71
s0657_femur_right_msk,0.92,1.24,4.12,0.72
s0341_femur_left_msk,0.92,1.22,3.74,0.74
s0341_femur_right_msk,0.92,1.31,4.00,0.68
