subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.88,2.04,6.16,0.58
s0859_femur_right_msk,0.91,1.45,4.43,0.63
s0592_femur_left_msk,0.94,0.75,2.24,0.90
s0592_femur_right_msk,0.95,0.62,2.00,0.94
s0375_femur_left_msk,0.95,0.79,2.24,0.90
s0375_femur_right_msk,0.95,0.76,2.24,0.91
s0918_femur_left_msk,0.74,2.37,20.12,0.38
s0918_femur_right_msk,0.94,0.91,2.45,0.85
s0776_femur_left_msk,0.93,1.03,4.00,0.80
s0776_femur_right_msk,0.95,0.76,2.24,0.90
s0074_femur_left_msk,0.93,0.96,3.00,0.83
s0074_femur_right_msk,0.93,4.05,40.80,0.86
s1247_femur_left_msk,0.95,0.68,2.00,0.94
s1247_femur_right_msk,0.94,0.72,2.24,0.90
s0648_femur_left_msk,0.95,0.75,2.24,0.92
s0648_femur_right_msk,0.94,0.85,2.24,0.90
s1069_femur_left_msk,0.94,0.84,2.24,0.89
s1069_femur_right_msk,0.95,0.80,2.24,0.90
s0210_femur_left_msk,0.94,0.85,2.45,0.86
s0210_femur_right_msk,0.93,0.93,3.32,0.78
s0885_femur_left_msk,0.92,1.19,5.10,0.74
s0885_femur_right_msk,0.91,1.22,4.87,0.71
s0212_femur_left_msk,0.93,1.06,3.00,0.83
s0212_femur_right_msk,0.96,0.66,2.00,0.95
s1130_femur_left_msk,0.94,0.90,3.00,0.87
s1130_femur_right_msk,0.95,0.76,2.24,0.91
s0988_femur_left_msk,0.94,0.90,2.83,0.83
s0988_femur_right_msk,0.82,2.06,17.03,0.46
s1143_femur_left_msk,0.95,0.83,2.24,0.89
s1143_femur_right_msk,0.95,0.83,2.45,0.88
s0502_femur_left_msk,0.94,0.91,3.00,0.82
s0502_femur_right_msk,0.95,1.04,2.24,0.93
s0141_femur_left_msk,0.94,0.85,2.83,0.87
s0141_femur_right_msk,0.95,0.76,2.24,0.92
s1238_femur_left_msk,0.92,1.59,3.74,0.76
s1238_femur_right_msk,0.95,0.87,2.83,0.87
s0509_femur_left_msk,0.58,7.29,23.77,0.22
s0509_femur_right_msk,0.91,1.41,4.47,0.66
s1348_femur_left_msk,0.92,1.00,5.00,0.77
s1348_femur_right_msk,0.92,1.06,5.39,0.76
s0174_femur_left_msk,0.90,1.29,3.46,0.73
s0174_femur_right_msk,0.90,1.24,3.61,0.76
s1149_femur_left_msk,0.93,1.00,3.00,0.80
s1149_femur_right_msk,0.91,1.17,3.74,0.71
s0768_femur_left_msk,0.93,0.84,2.83,0.85
s0768_femur_right_msk,0.94,0.77,2.83,0.87
s1276_femur_left_msk,0.95,0.67,2.00,0.94
s1276_femur_right_msk,0.95,0.65,2.00,0.93
s0072_femur_left_msk,0.92,0.97,4.24,0.76
s0072_femur_right_msk,0.90,0.98,8.66,0.73
s0880_femur_left_msk,0.82,2.63,8.25,0.44
s0880_femur_right_msk,0.94,0.92,3.00,0.83
s0428_femur_left_msk,0.93,1.00,3.32,0.81
s0428_femur_right_msk,0.94,0.82,2.83,0.87
s0614_femur_left_msk,0.94,0.83,2.24,0.88
s0614_femur_right_msk,0.94,0.92,2.45,0.87
s0171_femur_left_msk,0.94,0.78,2.83,0.87
s0171_femur_right_msk,0.94,0.76,2.45,0.88
s0519_femur_left_msk,0.95,0.72,2.24,0.91
s0519_femur_right_msk,0.95,0.68,2.00,0.93
s0992_femur_left_msk,0.95,0.66,2.24,0.92
s0992_femur_right_msk,0.95,0.62,2.00,0.95
s1099_femur_left_msk,0.95,0.67,2.24,0.93
s1099_femur_right_msk,0.95,0.60,2.00,0.95
s0667_femur_left_msk,0.94,0.92,3.61,0.82
s0667_femur_right_msk,0.94,0.95,3.00,0.83
s1228_femur_left_msk,0.93,0.98,3.00,0.83
s1228_femur_right_msk,0.93,0.88,2.83,0.86
s0702_femur_left_msk,0.95,0.79,2.83,0.88
s0702_femur_right_msk,0.95,0.74,2.24,0.90
s0339_femur_left_msk,0.95,0.68,2.24,0.92
s0339_femur_right_msk,0.95,0.69,2.24,0.92
s1085_femur_left_msk,0.94,0.85,3.00,0.82
s1085_femur_right_msk,0.95,0.86,2.83,0.88
