subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.88,2.00,5.92,0.58
s0859_femur_right_msk,0.90,1.45,4.47,0.63
s0592_femur_left_msk,0.94,0.75,2.24,0.89
s0592_femur_right_msk,0.95,0.60,2.00,0.94
s0375_femur_left_msk,0.95,0.76,2.24,0.91
s0375_femur_right_msk,0.95,0.78,2.45,0.90
s0918_femur_left_msk,0.74,2.37,20.12,0.38
s0918_femur_right_msk,0.94,0.93,2.83,0.84
s0776_femur_left_msk,0.93,1.06,4.00,0.79
s0776_femur_right_msk,0.95,0.75,2.24,0.91
s0074_femur_left_msk,0.93,0.98,3.00,0.82
s0074_femur_right_msk,0.93,3.91,40.30,0.87
s1247_femur_left_msk,0.95,0.69,2.00,0.93
s1247_femur_right_msk,0.94,0.72,2.24,0.90
s0648_femur_left_msk,0.95,0.73,2.00,0.93
s0648_femur_right_msk,0.94,0.84,2.24,0.91
s1069_femur_left_msk,0.95,0.82,2.24,0.90
s1069_femur_right_msk,0.95,0.79,2.24,0.90
s0210_femur_left_msk,0.94,0.85,2.45,0.86
s0210_femur_right_msk,0.93,0.95,3.61,0.77
s0885_femur_left_msk,0.92,1.17,5.10,0.74
s0885_femur_right_msk,0.92,1.20,4.58,0.72
s0212_femur_left_msk,0.93,1.10,3.00,0.81
s0212_femur_right_msk,0.95,0.69,2.00,0.94
s1130_femur_left_msk,0.94,0.89,2.83,0.87
s1130_femur_right_msk,0.95,0.75,2.24,0.91
s0988_femur_left_msk,0.95,0.86,2.83,0.84
s0988_femur_right_msk,0.82,2.09,17.26,0.45
s1143_femur_left_msk,0.95,0.86,2.45,0.88
s1143_femur_right_msk,0.95,0.85,2.83,0.87
s0502_femur_left_msk,0.94,0.91,3.00,0.82
s0502_femur_right_msk,0.95,1.10,2.24,0.93
s0141_femur_left_msk,0.94,0.85,2.83,0.87
s0141_femur_right_msk,0.95,0.73,2.24,0.93
s1238_femur_left_msk,0.92,1.60,3.74,0.76
s1238_femur_right_msk,0.95,0.85,2.45,0.88
s0509_femur_left_msk,0.56,7.44,23.26,0.20
s0509_femur_right_msk,0.91,1.38,4.12,0.67
s1348_femur_left_msk,0.93,0.99,5.00,0.77
s1348_femur_right_msk,0.92,1.04,5.39,0.76
s0174_femur_left_msk,0.90,1.29,3.32,0.73
s0174_femur_right_msk,0.90,1.24,3.61,0.76
s1149_femur_left_msk,0.93,1.00,3.00,0.81
s1149_femur_right_msk,0.91,1.17,4.00,0.71
