subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.88,1.92,5.83,0.59
s0859_femur_right_msk,0.87,1.94,6.00,0.52
s0592_femur_left_msk,0.94,0.76,2.45,0.87
s0592_femur_right_msk,0.94,0.73,2.24,0.90
s0375_femur_left_msk,0.94,0.80,2.45,0.89
s0375_femur_right_msk,0.94,0.88,2.83,0.87
s0918_femur_left_msk,0.83,2.39,7.99,0.47
s0918_femur_right_msk,0.93,1.12,3.00,0.78
s0776_femur_left_msk,0.93,0.94,3.00,0.83
s0776_femur_right_msk,0.94,0.94,3.00,0.85
s0074_femur_left_msk,0.92,1.11,3.00,0.78
s0074_femur_right_msk,0.92,3.72,28.45,0.82
s1247_femur_left_msk,0.94,0.79,2.83,0.89
s1247_femur_right_msk,0.92,1.02,3.32,0.77
s0648_femur_left_msk,0.93,0.99,3.00,0.83
s0648_femur_right_msk,0.94,0.89,2.45,0.88
s1069_femur_left_msk,0.94,0.93,3.00,0.84
s1069_femur_right_msk,0.93,1.05,3.00,0.81
s0210_femur_left_msk,0.92,1.11,3.46,0.76
s0210_femur_right_msk,0.86,1.90,6.16,0.56
s0885_femur_left_msk,0.92,1.18,4.24,0.74
s0885_femur_right_msk,0.93,1.02,3.61,0.80
s0212_femur_left_msk,0.92,1.43,3.32,0.79
s0212_femur_right_msk,0.94,0.87,2.45,0.86
s1130_femur_left_msk,0.94,0.96,2.83,0.84
s1130_femur_right_msk,0.93,0.98,3.00,0.82
s0988_femur_left_msk,0.92,1.24,3.32,0.71
s0988_femur_right_msk,0.82,3.27,10.30,0.43
s1143_femur_left_msk,0.93,1.09,3.16,0.80
s1143_femur_right_msk,0.92,1.21,4.00,0.78
s0502_femur_left_msk,0.93,1.12,3.16,0.78
s0502_femur_right_msk,0.94,0.87,2.45,0.88
s0141_femur_left_msk,0.93,0.93,3.00,0.84
s0141_femur_right_msk,0.92,1.04,3.46,0.81
s1238_femur_left_msk,0.92,1.29,4.36,0.73
s1238_femur_right_msk,0.94,1.03,3.00,0.83
s0509_femur_left_msk,0.70,6.06,22.47,0.37
s0509_femur_right_msk,0.84,2.54,8.31,0.53
s1348_femur_left_msk,0.92,1.12,5.00,0.70
s1348_femur_right_msk,0.92,1.14,5.10,0.71
s0174_femur_left_msk,0.91,1.11,2.83,0.81
s0174_femur_right_msk,0.91,1.09,3.00,0.79
s1149_femur_left_msk,0.91,1.35,4.90,0.72
s1149_femur_right_msk,0.89,2.12,5.10,0.62
s0768_femur_left_msk,0.91,1.26,3.32,0.79
s0768_femur_right_msk,0.92,1.03,3.32,0.80
s1276_femur_left_msk,0.93,0.91,2.83,0.84
s1276_femur_right_msk,0.93,0.80,2.83,0.86
s0072_femur_left_msk,0.90,1.11,7.00,0.71
s0072_femur_right_msk,0.88,1.27,7.14,0.66
s0880_femur_left_msk,0.83,2.71,8.60,0.49
s0880_femur_right_msk,0.93,1.04,3.00,0.81
s0428_femur_left_msk,0.91,1.34,4.12,0.74
s0428_femur_right_msk,0.92,1.08,3.16,0.80
s0614_femur_left_msk,0.94,0.96,2.83,0.86
s0614_femur_right_msk,0.94,0.92,2.24,0.88
s0171_femur_left_msk,0.93,0.92,3.32,0.83
s0171_femur_right_msk,0.93,0.93,3.16,0.84
s0519_femur_left_msk,0.93,1.02,3.00,0.82
s0519_femur_right_msk,0.95,0.71,2.24,0.93
s0992_femur_left_msk,0.95,0.65,2.24,0.93
s0992_femur_right_msk,0.94,0.76,2.45,0.90
s1099_femur_left_msk,0.93,1.00,3.00,0.84
s1099_femur_right_msk,0.93,0.86,3.00,0.84
s0667_femur_left_msk,0.93,1.01,3.74,0.77
s0667_femur_right_msk,0.94,1.05,3.61,0.85
s1228_femur_left_msk,0.93,0.92,2.83,0.86
s1228_femur_right_msk,0.92,0.99,2.83,0.83
s0702_femur_left_msk,0.93,1.07,4.00,0.77
s0702_femur_right_msk,0.92,1.18,5.00,0.75
s0339_femur_left_msk,0.93,0.92,3.00,0.82
s0339_femur_right_msk,0.93,0.90,2.83,0.84
s1085_femur_left_msk,0.93,1.01,3.61,0.78
s1085_femur_right_msk,0.94,0.86,2.83,0.86
s1057_femur_left_msk,0.90,1.33,5.74,0.69
s1057_femur_right_msk,0.92,1.13,3.16,0.75
s0635_femur_left_msk,0.93,0.95,3.00,0.84
s0635_femur_right_msk,0.95,0.63,2.00,0.94
s0950_femur_left_msk,0.93,0.90,3.61,0.79
s0950_femur_right_msk,0.93,0.81,3.16,0.83
s0682_femur_left_msk,0.94,0.97,2.83,0.83
s0682_femur_right_msk,0.93,1.12,3.00,0.78
s0680_femur_left_msk,0.94,0.93,3.16,0.84
s0680_femur_right_msk,0.95,0.73,2.24,0.91
s0104_femur_left_msk,0.93,0.89,3.00,0.86
s0104_femur_right_msk,0.91,1.17,3.74,0.78
s0015_femur_left_msk,0.95,0.83,2.24,0.90
s0015_femur_right_msk,0.94,0.84,2.45,0.88
s0937_femur_left_msk,0.86,2.60,13.89,0.63
s0937_femur_right_msk,0.88,1.80,7.81,0.66
s0053_femur_left_msk,0.94,1.20,3.16,0.81
s0053_femur_right_msk,0.93,1.20,4.00,0.77
s1383_femur_left_msk,0.95,0.72,2.24,0.90
s1383_femur_right_msk,0.94,0.84,3.00,0.84
s1111_femur_left_msk,0.93,1.12,3.74,0.77
s1111_femur_right_msk,0.90,1.49,4.47,0.67
s0192_femur_left_msk,0.94,0.79,2.83,0.85
s0192_femur_right_msk,0.94,0.85,2.24,0.87
s0016_femur_left_msk,0.95,0.75,2.24,0.90
s0016_femur_right_msk,0.94,0.89,2.83,0.84
s0664_femur_left_msk,0.92,1.24,3.32,0.76
s0664_femur_right_msk,0.94,0.83,2.45,0.89
s1347_femur_left_msk,0.94,1.16,2.93,0.85
s1347_femur_right_msk,0.94,0.95,2.83,0.84
s1045_femur_left_msk,0.95,0.81,2.24,0.89
s1045_femur_right_msk,0.95,0.79,2.24,0.91
s0120_femur_left_msk,0.94,0.90,2.83,0.86
s0120_femur_right_msk,0.94,0.91,2.45,0.88
s0143_femur_left_msk,0.94,0.91,3.00,0.85
s0143_femur_right_msk,0.94,0.94,2.83,0.84
s0109_femur_left_msk,0.93,1.21,3.16,0.81
s0109_femur_right_msk,0.93,1.00,3.00,0.83
s0807_femur_left_msk,0.94,0.91,3.61,0.82
s0807_femur_right_msk,0.92,1.21,4.00,0.76
s0723_femur_left_msk,0.93,0.99,2.83,0.86
s0723_femur_right_msk,0.94,0.87,2.24,0.91
s1291_femur_left_msk,0.93,0.89,2.83,0.85
s1291_femur_right_msk,0.90,1.66,4.58,0.74
s0593_femur_left_msk,0.92,1.16,3.61,0.83
s0593_femur_right_msk,0.95,0.75,2.24,0.93
s0229_femur_left_msk,0.86,2.23,6.32,0.52
s0229_femur_right_msk,0.82,4.78,21.95,0.51
s1293_femur_left_msk,0.94,0.76,2.45,0.87
s1293_femur_right_msk,0.93,0.99,3.32,0.81
s0095_femur_left_msk,0.93,0.95,3.32,0.80
s0095_femur_right_msk,0.90,1.33,5.39,0.64
s0133_femur_left_msk,0.94,0.87,2.83,0.85
s0133_femur_right_msk,0.93,1.06,3.00,0.77
s0166_femur_left_msk,0.94,0.87,2.45,0.86
s0166_femur_right_msk,0.94,0.83,2.24,0.90
s0657_femur_left_msk,0.92,1.28,4.12,0.73
s0657_femur_right_msk,0.93,1.13,3.61,0.75
s0341_femur_left_msk,0.92,1.24,4.36,0.72
s0341_femur_right_msk,0.93,1.17,3.74,0.76
s0794_femur_left_msk,0.94,0.85,2.83,0.86
s0794_femur_right_msk,0.95,0.76,2.45,0.89
s0334_femur_left_msk,0.95,0.78,2.24,0.91
s0334_femur_right_msk,0.94,0.79,2.24,0.89
s0921_femur_left_msk,0.91,1.60,6.00,0.72
s0921_femur_right_msk,0.94,0.94,2.83,0.82
