subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.86,1.90,6.71,0.51
s0859_femur_right_msk,0.85,2.13,8.12,0.44
s0592_femur_left_msk,0.90,1.38,3.74,0.66
s0592_femur_right_msk,0.89,1.48,4.58,0.63
s0375_femur_left_msk,0.91,1.33,3.61,0.70
s0375_femur_right_msk,0.91,1.36,4.00,0.71
s0918_femur_left_msk,0.80,2.65,8.06,0.38
s0918_femur_right_msk,0.90,1.51,4.69,0.67
s0776_femur_left_msk,0.93,0.96,3.00,0.82
s0776_femur_right_msk,0.91,1.43,4.24,0.68
s0074_femur_left_msk,0.92,1.20,4.00,0.76
s0074_femur_right_msk,0.91,1.30,4.00,0.71
s1247_femur_left_msk,0.92,1.04,3.32,0.78
s1247_femur_right_msk,0.91,1.12,4.24,0.76
s0648_femur_left_msk,0.89,1.50,4.90,0.68
s0648_femur_right_msk,0.93,1.06,3.00,0.83
s1069_femur_left_msk,0.92,1.22,3.16,0.74
s1069_femur_right_msk,0.92,1.16,3.16,0.76
s0210_femur_left_msk,0.92,1.09,3.32,0.76
s0210_femur_right_msk,0.89,1.65,5.66,0.63
s0885_femur_left_msk,0.89,1.52,5.92,0.62
s0885_femur_right_msk,0.90,1.44,5.00,0.65
s0212_femur_left_msk,0.92,1.30,4.24,0.79
s0212_femur_right_msk,0.91,1.31,3.61,0.69
s1130_femur_left_msk,0.90,1.49,4.12,0.61
s1130_femur_right_msk,0.89,1.60,5.00,0.61
s0988_femur_left_msk,0.90,1.65,5.10,0.60
s0988_femur_right_msk,0.78,2.78,13.34,0.35
s1143_femur_left_msk,0.91,1.38,4.24,0.67
s1143_femur_right_msk,0.90,1.49,5.39,0.67
s0502_femur_left_msk,0.91,1.32,4.12,0.68
s0502_femur_right_msk,0.91,1.30,4.12,0.70
s0141_femur_left_msk,0.92,1.14,3.61,0.79
s0141_femur_right_msk,0.90,1.40,4.24,0.73
s1238_femur_left_msk,0.88,1.81,5.92,0.59
s1238_femur_right_msk,0.91,1.45,4.12,0.68
s0509_femur_left_msk,0.73,4.23,11.75,0.28
s0509_femur_right_msk,0.80,3.07,9.27,0.33
s1348_femur_left_msk,0.89,1.55,6.32,0.59
s1348_femur_right_msk,0.89,1.65,6.32,0.56
s0174_femur_left_msk,0.91,1.14,3.00,0.77
s0174_femur_right_msk,0.87,2.03,5.74,0.64
s1149_femur_left_msk,0.91,1.29,4.36,0.74
s1149_femur_right_msk,0.89,1.55,4.58,0.61
s0768_femur_left_msk,0.92,1.15,3.00,0.78
s0768_femur_right_msk,0.92,1.03,3.32,0.76
s1276_femur_left_msk,0.91,1.22,3.61,0.75
s1276_femur_right_msk,0.89,1.41,3.61,0.63
s0072_femur_left_msk,0.90,1.24,4.12,0.69
s0072_femur_right_msk,0.87,1.59,5.00,0.55
s0880_femur_left_msk,0.85,2.19,6.78,0.48
s0880_femur_right_msk,0.92,1.23,3.74,0.75
s0428_femur_left_msk,0.92,1.11,3.00,0.80
s0428_femur_right_msk,0.89,1.56,5.10,0.69
s0614_femur_left_msk,0.90,1.41,4.00,0.68
s0614_femur_right_msk,0.90,1.52,4.00,0.66
s0171_femur_left_msk,0.90,1.42,4.24,0.70
s0171_femur_right_msk,0.90,1.87,5.20,0.72
s0519_femur_left_msk,0.90,1.55,4.24,0.64
s0519_femur_right_msk,0.90,1.47,4.12,0.65
s0992_femur_left_msk,0.90,1.30,3.61,0.72
s0992_femur_right_msk,0.91,1.17,3.61,0.75
s1099_femur_left_msk,0.89,1.40,4.00,0.65
s1099_femur_right_msk,0.89,1.34,4.12,0.66
s0667_femur_left_msk,0.92,1.26,4.36,0.69
s0667_femur_right_msk,0.92,1.22,3.61,0.71
s1228_femur_left_msk,0.90,1.30,4.12,0.72
s1228_femur_right_msk,0.90,1.26,4.12,0.72
s0702_femur_left_msk,0.88,1.90,5.39,0.54
s0702_femur_right_msk,0.88,1.80,7.00,0.55
s0339_femur_left_msk,0.89,1.35,4.12,0.66
s0339_femur_right_msk,0.88,1.47,5.39,0.67
s1085_femur_left_msk,0.86,1.93,8.77,0.50
s1085_femur_right_msk,0.90,1.42,5.00,0.63
s1057_femur_left_msk,0.87,1.70,6.32,0.56
s1057_femur_right_msk,0.89,1.51,5.39,0.63
s0635_femur_left_msk,0.92,1.15,3.74,0.77
s0635_femur_right_msk,0.91,1.31,3.61,0.68
