subject-id,DSC,ASD,HD95,NSD
s0657,0.86,0.81,3.00,0.50
s0019,0.84,0.93,2.45,0.49
s1212,0.85,0.75,2.83,0.53
s0137,0.84,0.79,2.24,0.51
s0612,0.86,0.70,2.24,0.56
s0477,0.80,1.13,3.00,0.44
s0192,0.82,0.91,3.00,0.47
s0461,0.84,0.81,2.83,0.49
s0050,0.77,1.21,3.32,0.35
s1405,0.82,0.97,3.00,0.47
s1404,0.83,0.88,2.83,0.53
s1050,0.75,1.39,4.47,0.32
s1174,0.87,0.77,2.24,0.51
s0119,0.85,1.14,2.83,0.50
s1326,0.84,1.01,3.00,0.48
s0028,0.84,0.99,2.45,0.57
s0985,0.88,0.67,2.00,0.62
s0014,0.83,0.97,2.83,0.53
s0429,0.89,0.59,1.73,0.65
s0406,0.87,0.80,2.45,0.53
s0013,0.85,0.80,2.24,0.50
s0441,0.88,0.66,2.24,0.58
s0794,0.85,0.83,2.45,0.49
s0350,0.81,1.03,2.83,0.43
s0577,0.90,0.60,2.00,0.64
s1382,0.79,1.11,4.12,0.39
s0447,0.83,0.84,2.24,0.50
s0611,0.89,0.66,1.93,0.60
s0212,0.86,0.76,2.24,0.53
s0916,0.87,0.73,2.83,0.52
s0157,0.81,0.96,2.45,0.44
s0664,0.80,1.10,3.00,0.41
s0095,0.81,1.11,3.46,0.39
s0836,0.86,0.68,2.24,0.55
s1208,0.88,0.72,2.00,0.57
s1247,0.85,0.76,2.24,0.55
s0731,0.83,0.88,2.24,0.48
s0629,0.85,0.84,2.24,0.51
s0325,0.86,0.72,2.24,0.54
s0004,0.84,1.26,2.83,0.50
s0456,0.84,0.75,2.45,0.56
s1248,0.70,1.66,4.36,0.31
s0183,0.79,1.33,4.58,0.37
s0248,0.88,0.62,2.24,0.61
s1267,0.87,0.72,2.45,0.57
s0574,0.89,0.66,1.73,0.59
s1357,0.79,1.22,3.61,0.39
s0585,0.85,1.06,2.45,0.47
s1371,0.88,0.65,2.45,0.56
s0450,0.86,0.83,2.45,0.51
s0362,0.81,1.06,3.61,0.42
s0308,0.86,0.79,2.45,0.51
s0075,0.87,0.74,2.24,0.55
s1387,0.87,0.77,2.45,0.52
s1228,0.81,0.97,2.83,0.43
s0426,0.89,0.64,2.24,0.60
s0442,0.86,0.82,2.24,0.53
