subject-id,DSC,ASD,HD95,NSD
case_00014_hip_msk,0.77,1.12,3.74,0.38
case_00016_hip_msk,0.82,0.88,3.16,0.48
case_00019_hip_msk,0.82,1.05,4.36,0.34
case_00022_hip_msk,0.41,3.05,19.31,0.12
case_00026_hip_msk,0.85,0.94,3.00,0.45
case_00027_hip_msk,0.50,2.15,15.94,0.18
case_00032_hip_msk,0.81,0.88,3.00,0.44
case_00033_hip_msk,0.82,0.88,3.16,0.47
case_00040_hip_msk,0.75,1.18,3.46,0.39
case_00046_hip_msk,0.82,0.97,3.00,0.46
case_00052_hip_msk,0.77,1.51,4.90,0.38
case_00059_hip_msk,0.65,1.62,5.48,0.26
case_00060_hip_msk,0.76,1.19,3.61,0.41
case_00066_hip_msk,0.85,0.93,3.16,0.50
case_00071_hip_msk,0.58,1.64,7.00,0.23
case_00082_hip_msk,0.73,1.21,4.12,0.35
case_00084_hip_msk,0.79,1.58,7.00,0.43
case_00093_hip_msk,0.69,1.61,5.83,0.26
case_00095_hip_msk,0.87,0.76,3.16,0.52
case_00096_hip_msk,0.69,1.34,5.39,0.30
case_00100_hip_msk,0.82,0.90,3.00,0.45
case_00123_hip_msk,0.84,0.86,3.16,0.48
case_00132_hip_msk,0.46,2.39,14.12,0.20
case_00133_hip_msk,0.79,1.05,3.74,0.41
case_00135_hip_msk,0.74,1.22,5.10,0.30
case_00144_hip_msk,0.84,0.79,2.83,0.50
case_00146_hip_msk,0.62,1.50,9.80,0.23
case_00151_hip_msk,0.52,2.07,8.77,0.18
case_00155_hip_msk,0.45,2.46,11.05,0.15
case_00156_hip_msk,0.81,0.95,4.12,0.41
case_00159_hip_msk,0.74,1.22,5.00,0.31
case_00170_hip_msk,0.85,0.81,3.61,0.49
case_00188_hip_msk,0.66,2.48,10.00,0.33
case_00202_hip_msk,0.79,1.10,3.32,0.41
case_00203_hip_msk,0.78,1.11,3.32,0.43
case_00214_hip_msk,0.83,1.12,3.16,0.45
case_00246_hip_msk,0.73,1.35,3.74,0.29
case_00253_hip_msk,0.81,0.87,3.00,0.47
case_00264_hip_msk,0.81,0.91,3.11,0.45
case_00276_hip_msk,0.82,0.98,3.74,0.40
case_00293_hip_msk,0.74,1.52,4.90,0.34
case_00294_hip_msk,0.65,1.53,8.31,0.24
case_00298_hip_msk,0.72,1.42,4.47,0.32
case_00299_hip_msk,0.76,1.51,4.47,0.32
