subject-id,DSC,ASD,HD95,NSD
s0657,0.86,0.76,3.00,0.50
s0019,0.87,0.73,2.00,0.56
s1212,0.85,0.79,2.45,0.55
s0137,0.87,0.69,2.24,0.61
s0612,0.88,0.64,2.24,0.61
s0477,0.82,0.98,2.83,0.50
s0192,0.80,1.06,3.00,0.46
s0461,0.85,0.76,2.83,0.55
s0050,0.81,1.22,3.00,0.45
s1405,0.82,0.94,2.83,0.45
s1404,0.86,0.69,2.24,0.58
s1050,0.75,1.32,3.74,0.32
s1174,0.87,0.76,2.45,0.52
s0119,0.88,0.67,2.24,0.58
s1326,0.85,0.83,2.45,0.49
s0028,0.84,0.87,2.45,0.57
s0985,0.87,0.70,2.24,0.61
s0014,0.84,0.81,3.00,0.55
s0429,0.88,0.67,1.73,0.64
s0406,0.87,0.79,2.24,0.54
s0013,0.86,0.78,2.24,0.55
s0441,0.87,0.73,2.24,0.55
s0794,0.86,0.80,2.45,0.49
s0350,0.80,1.04,2.83,0.42
s0577,0.90,0.59,1.73,0.64
s1382,0.84,0.92,3.00,0.45
s0447,0.85,0.77,2.45,0.54
s0611,0.90,0.59,1.73,0.65
s0212,0.88,0.66,2.24,0.58
s0916,0.87,0.75,2.45,0.54
s0157,0.85,0.80,2.24,0.53
s0664,0.83,1.00,2.83,0.49
s0095,0.84,0.88,3.00,0.46
s0836,0.86,0.76,2.45,0.56
s1208,0.87,0.79,2.24,0.56
s1247,0.84,0.80,2.24,0.55
s0731,0.85,0.83,2.24,0.53
s0629,0.87,0.73,2.24,0.56
s0325,0.85,0.78,2.24,0.52
s0004,0.87,0.72,3.00,0.59
s0456,0.86,0.84,2.24,0.57
s1248,0.69,1.68,5.00,0.33
s0183,0.83,0.93,3.46,0.46
s0248,0.89,0.63,2.24,0.64
s1267,0.85,0.82,2.83,0.51
s0574,0.88,0.69,2.24,0.56
s1357,0.77,1.14,3.16,0.37
s0585,0.87,0.78,2.24,0.52
s1371,0.85,0.84,2.83,0.50
s0450,0.88,0.73,2.24,0.56
s0362,0.84,0.90,3.00,0.49
s0308,0.86,0.78,2.24,0.52
s0075,0.86,0.77,2.24,0.55
s1387,0.86,0.78,2.45,0.51
s1228,0.80,0.98,3.00,0.44
s0426,0.88,0.68,2.24,0.58
s0442,0.84,0.83,2.83,0.49
