subject-id,DSC,ASD,HD95,NSD
s0624_hip_msk,0.82,1.00,3.32,0.38
s0139_hip_msk,0.79,1.09,3.32,0.33
s0232_hip_msk,0.73,1.53,4.12,0.28
s0040_hip_msk,0.85,0.80,2.83,0.50
s0473_hip_msk,0.81,1.07,3.32,0.37
s0607_hip_msk,0.84,0.95,3.46,0.41
s1120_hip_msk,0.61,2.13,6.71,0.19
s0763_hip_msk,0.80,1.03,3.61,0.34
s1349_hip_msk,0.75,1.29,4.12,0.29
s0182_hip_msk,0.79,1.10,3.16,0.35
s1069_hip_msk,0.82,0.97,3.16,0.39
s0370_hip_msk,0.81,1.03,3.61,0.36
s0668_hip_msk,0.78,1.10,3.46,0.37
s0468_hip_msk,0.77,1.21,4.36,0.30
s0250_hip_msk,0.71,1.64,5.00,0.25
s0726_hip_msk,0.75,1.40,3.61,0.32
s1347_hip_msk,0.79,1.11,4.12,0.36
s1044_hip_msk,0.79,1.19,3.74,0.34
s1016_hip_msk,0.81,1.09,4.12,0.35
s0592_hip_msk,0.78,1.16,3.00,0.37
s0091_hip_msk,0.80,1.07,4.12,0.37
s1336_hip_msk,0.81,0.98,3.74,0.40
s0505_hip_msk,0.79,1.14,4.58,0.34
s0483_hip_msk,0.70,1.53,4.47,0.23
s0314_hip_msk,0.78,1.18,3.61,0.31
s0940_hip_msk,0.78,1.17,3.61,0.31
s0928_hip_msk,0.73,1.40,5.20,0.28
s0049_hip_msk,0.77,1.20,3.74,0.31
s0636_hip_msk,0.71,1.44,3.61,0.27
s0728_hip_msk,0.75,1.26,4.12,0.30
s1348_hip_msk,0.79,1.07,3.74,0.35
s0600_hip_msk,0.76,1.24,4.00,0.30
s0163_hip_msk,0.74,1.32,4.24,0.29
s0772_hip_msk,0.79,1.07,4.24,0.35
s0680_hip_msk,0.81,1.08,3.32,0.35
s1008_hip_msk,0.79,1.13,3.00,0.36
s1322_hip_msk,0.79,1.04,3.16,0.42
s0931_hip_msk,0.76,1.25,4.12,0.35
s0774_hip_msk,0.79,1.10,3.32,0.38
s0979_hip_msk,0.84,0.95,3.32,0.40
s0581_hip_msk,0.87,0.67,2.45,0.57
s1373_hip_msk,0.85,0.84,2.83,0.47
s1005_hip_msk,0.69,1.62,4.58,0.22
s0082_hip_msk,0.81,0.99,3.00,0.39
s0963_hip_msk,0.66,2.00,5.66,0.26
s0399_hip_msk,0.73,1.33,5.10,0.29
s0385_hip_msk,0.64,1.83,5.48,0.26
s0626_hip_msk,0.70,1.37,3.74,0.27
s1339_hip_msk,0.79,1.11,3.00,0.38
s0383_hip_msk,0.81,0.96,3.00,0.41
s0924_hip_msk,0.80,1.01,3.46,0.42
s0746_hip_msk,0.80,1.03,3.16,0.37
s0593_hip_msk,0.80,1.03,3.00,0.37
s0687_hip_msk,0.75,1.25,3.74,0.32
s0869_hip_msk,0.80,1.14,3.61,0.33
s0029_hip_msk,0.72,1.38,5.00,0.29
s0842_hip_msk,0.77,1.08,4.00,0.34
s0341_hip_msk,0.78,1.22,4.12,0.32
s0663_hip_msk,0.78,1.07,3.46,0.34
s0986_hip_msk,0.71,1.50,4.12,0.27
s0089_hip_msk,0.71,1.45,4.12,0.33
s0804_hip_msk,0.76,1.26,3.46,0.33
s0440_hip_msk,0.79,1.08,3.46,0.39
s1377_hip_msk,0.74,1.39,4.12,0.29
s0673_hip_msk,0.79,1.10,4.12,0.36
s0737_hip_msk,0.76,1.18,3.61,0.32
s1046_hip_msk,0.83,1.00,3.16,0.37
