subject-id,DSC,ASD,HD95,NSD
img0073_hip_msk,0.20,8.58,27.75,0.06
img0071_hip_msk,0.18,9.08,29.83,0.06
img0068_hip_msk,0.18,9.38,25.71,0.07
img0080_hip_msk,0.18,8.44,24.60,0.05
img0061_hip_msk,0.19,9.31,24.72,0.06
img0065_hip_msk,0.20,9.47,25.73,0.06
img0069_hip_msk,0.20,9.07,27.46,0.05
img0079_hip_msk,0.18,8.73,25.08,0.06
img0077_hip_msk,0.16,10.26,26.91,0.05
img0072_hip_msk,0.16,9.94,24.05,0.06
img0066_hip_msk,0.22,8.54,24.41,0.06
img0067_hip_msk,0.20,9.20,28.09,0.06
img0075_hip_msk,0.21,8.22,24.49,0.05
img0040_hip_msk,0.18,10.26,24.92,0.07
img0007_hip_msk,0.20,8.43,23.38,0.05
img0039_hip_msk,0.17,10.56,27.00,0.06
img0036_hip_msk,0.17,10.03,26.94,0.05
img0025_hip_msk,0.17,9.28,24.04,0.07
img0034_hip_msk,0.19,8.98,24.43,0.06
img0026_hip_msk,0.20,8.55,25.57,0.06
img0008_hip_msk,0.22,8.21,25.79,0.08
img0021_hip_msk,0.19,9.23,24.60,0.08
img0001_hip_msk,0.19,10.56,25.96,0.06
img0037_hip_msk,0.19,8.53,22.85,0.06
img0006_hip_msk,0.14,10.44,24.92,0.06
img0023_hip_msk,0.18,8.13,24.49,0.05
img0022_hip_msk,0.17,9.05,25.26,0.06
img0030_hip_msk,0.22,8.83,26.10,0.06
img0028_hip_msk,0.13,10.45,25.08,0.06
img0002_hip_msk,0.17,9.76,25.06,0.06
img0024_hip_msk,0.16,9.93,25.40,0.06
img0004_hip_msk,0.18,9.11,23.71,0.06
img0010_hip_msk,0.19,9.15,25.26,0.06
img0032_hip_msk,0.20,9.43,25.20,0.07
img0003_hip_msk,0.23,8.49,25.98,0.06
