subject-id,DSC,ASD,HD95,NSD
CLINIC_0024_hip_msk,0.60,2.11,8.49,0.21
CLINIC_0059_hip_msk,0.66,1.61,5.20,0.25
CLINIC_0020_hip_msk,0.61,1.95,5.10,0.22
CLINIC_0010_hip_msk,0.71,1.39,4.36,0.31
CLINIC_0079_hip_msk,0.66,1.74,5.00,0.27
CLINIC_0062_hip_msk,0.72,1.42,4.12,0.32
CLINIC_0005_hip_msk,0.65,1.77,4.36,0.28
CLINIC_0077_hip_msk,0.74,1.15,3.74,0.34
CLINIC_0096_hip_msk,0.67,1.52,4.00,0.27
CLINIC_0087_hip_msk,0.58,1.93,5.39,0.23
CLINIC_0093_hip_msk,0.68,1.70,4.12,0.26
CLINIC_0054_hip_msk,0.49,2.78,9.85,0.16
CLINIC_0018_hip_msk,0.64,1.63,5.92,0.21
CLINIC_0013_hip_msk,0.65,1.83,6.40,0.24
CLINIC_0090_hip_msk,0.70,1.53,4.47,0.30
CLINIC_0044_hip_msk,0.65,1.72,5.00,0.26
CLINIC_0022_hip_msk,0.68,1.44,4.47,0.28
CLINIC_0074_hip_msk,0.70,1.55,5.39,0.25
CLINIC_0103_hip_msk,0.72,1.38,4.58,0.31
CLINIC_0026_hip_msk,0.71,1.40,4.12,0.29
CLINIC_0039_hip_msk,0.64,1.85,6.00,0.21
CLINIC_0073_hip_msk,0.73,1.34,5.00,0.31
CLINIC_0092_hip_msk,0.69,1.44,4.69,0.30
CLINIC_0084_hip_msk,0.67,1.72,4.58,0.22
CLINIC_0031_hip_msk,0.72,1.39,4.24,0.27
CLINIC_0029_hip_msk,0.70,1.45,4.47,0.25
CLINIC_0028_hip_msk,0.72,1.35,4.24,0.30
CLINIC_0046_hip_msk,0.76,1.23,3.74,0.34
CLINIC_0069_hip_msk,0.65,1.58,4.58,0.24
CLINIC_0058_hip_msk,0.75,1.29,4.00,0.33
CLINIC_0098_hip_msk,0.66,1.60,4.47,0.26
CLINIC_0037_hip_msk,0.61,1.82,5.00,0.25
CLINIC_0016_hip_msk,0.68,1.50,3.61,0.31
CLINIC_0061_hip_msk,0.65,1.65,5.48,0.28
CLINIC_0095_hip_msk,0.72,1.38,4.12,0.27
CLINIC_0045_hip_msk,0.61,1.84,5.48,0.22
CLINIC_0050_hip_msk,0.64,1.94,5.10,0.25
CLINIC_0035_hip_msk,0.62,1.80,4.36,0.26
CLINIC_0047_hip_msk,0.53,2.48,7.00,0.19
CLINIC_0089_hip_msk,0.64,1.87,5.39,0.24
CLINIC_0101_hip_msk,0.61,2.48,6.40,0.22
CLINIC_0041_hip_msk,0.73,1.20,3.61,0.33
CLINIC_0100_hip_msk,0.69,1.56,4.69,0.30
CLINIC_0001_hip_msk,0.51,2.59,7.00,0.17
CLINIC_0014_hip_msk,0.53,2.63,7.14,0.19
CLINIC_0068_hip_msk,0.75,1.40,4.00,0.35
CLINIC_0080_hip_msk,0.62,2.15,5.39,0.23
CLINIC_0048_hip_msk,0.67,1.85,5.83,0.24
CLINIC_0021_hip_msk,0.64,1.67,5.00,0.22
CLINIC_0003_hip_msk,0.68,1.57,4.58,0.27
CLINIC_0083_hip_msk,0.63,1.63,4.47,0.28
CLINIC_0030_hip_msk,0.71,1.45,4.12,0.30
CLINIC_0086_hip_msk,0.55,2.48,6.40,0.18
CLINIC_0015_hip_msk,0.71,1.47,3.74,0.27
CLINIC_0085_hip_msk,0.64,1.88,5.39,0.27
CLINIC_0078_hip_msk,0.60,2.21,6.71,0.21
CLINIC_0064_hip_msk,0.58,2.03,5.83,0.21
CLINIC_0025_hip_msk,0.64,1.87,5.10,0.21
CLINIC_0009_hip_msk,0.55,2.16,9.90,0.16
CLINIC_0075_hip_msk,0.68,1.48,4.12,0.27
CLINIC_0034_hip_msk,0.68,1.57,4.24,0.26
CLINIC_0012_hip_msk,0.64,1.48,4.24,0.28
CLINIC_0032_hip_msk,0.53,2.40,6.71,0.18
CLINIC_0043_hip_msk,0.69,1.31,4.12,0.26
CLINIC_0081_hip_msk,0.68,1.60,4.47,0.24
CLINIC_0038_hip_msk,0.70,1.55,4.58,0.30
CLINIC_0017_hip_msk,0.64,1.75,4.58,0.25
CLINIC_0051_hip_msk,0.71,1.39,3.61,0.28
CLINIC_0063_hip_msk,0.72,1.36,6.63,0.30
CLINIC_0006_hip_msk,0.65,1.78,4.69,0.28
CLINIC_0099_hip_msk,0.66,1.48,4.24,0.26
CLINIC_0102_hip_msk,0.75,1.25,4.12,0.33
CLINIC_0076_hip_msk,0.69,1.44,5.10,0.30
CLINIC_0057_hip_msk,0.70,1.39,4.12,0.26
CLINIC_0053_hip_msk,0.60,2.00,5.83,0.20
CLINIC_0060_hip_msk,0.58,2.19,6.16,0.23
CLINIC_0042_hip_msk,0.61,2.12,6.40,0.24
CLINIC_0055_hip_msk,0.67,1.51,4.36,0.26
CLINIC_0097_hip_msk,0.65,1.83,5.20,0.28
CLINIC_0072_hip_msk,0.63,1.68,4.58,0.28
CLINIC_0071_hip_msk,0.74,1.31,3.97,0.30
CLINIC_0066_hip_msk,0.49,3.47,11.18,0.19
CLINIC_0040_hip_msk,0.69,1.60,5.48,0.28
CLINIC_0019_hip_msk,0.75,1.34,3.74,0.32
CLINIC_0023_hip_msk,0.73,1.45,4.12,0.24
CLINIC_0082_hip_msk,0.79,1.05,3.32,0.38
CLINIC_0088_hip_msk,0.53,2.45,11.18,0.16
CLINIC_0008_hip_msk,0.43,2.48,8.60,0.15
CLINIC_0094_hip_msk,0.70,1.54,4.12,0.26
CLINIC_0033_hip_msk,0.69,1.53,5.48,0.25
CLINIC_0052_hip_msk,0.72,1.32,4.12,0.30
CLINIC_0027_hip_msk,0.72,1.39,4.36,0.31
CLINIC_0011_hip_msk,0.63,1.78,5.10,0.21
CLINIC_0049_hip_msk,0.67,1.57,4.24,0.26
CLINIC_0067_hip_msk,0.79,1.02,3.32,0.38
CLINIC_0004_hip_msk,0.74,1.31,3.74,0.29
CLINIC_0056_hip_msk,0.74,1.41,3.74,0.35
CLINIC_0070_hip_msk,0.40,3.85,9.49,0.14
CLINIC_0091_hip_msk,0.60,2.04,5.74,0.25
CLINIC_0002_hip_msk,0.60,2.47,5.39,0.22
CLINIC_0007_hip_msk,0.70,1.58,4.69,0.28
CLINIC_0036_hip_msk,0.50,2.31,8.31,0.18
CLINIC_0065_hip_msk,0.63,1.82,4.58,0.26
