id,ASIS_L,ASIS_R,PT_L,PT_R,IS_L,IS_R,PSIS_L,PSIS_R
s0232,15.971,9.512,8.464,21.515,3.765,7.809,7.364,5.697
s0089,6.436,8.791,4.110,6.125,9.141,8.007,4.110,6.384
s0182,9.399,2.617,5.707,3.226,2.777,5.386,3.059,3.329
s0040,7.402,8.984,6.595,5.844,6.628,4.756,14.684,9.293
s0139,5.688,7.328,5.273,5.638,5.365,3.633,2.885,4.459
s0091,4.712,7.837,8.307,2.810,0.644,9.676,2.532,10.208
s0029,4.101,5.328,7.218,10.645,6.792,6.093,10.363,5.409
s0163,17.289,11.687,7.882,6.546,3.435,5.740,9.035,8.201
s0049,6.331,10.004,14.635,8.254,12.746,4.559,3.899,4.538
s0082,11.713,15.366,2.792,2.975,3.220,6.509,14.137,6.164
s0314,4.106,13.670,6.866,7.447,2.976,7.179,7.022,9.633
s0250,3.035,12.778,6.613,8.383,3.873,1.909,17.934,9.329
s0370,3.650,7.713,2.839,5.396,4.323,5.702,17.246,7.971
s0383,5.876,4.786,12.947,10.193,4.090,4.673,5.229,6.444
s0341,16.342,4.510,5.882,5.402,1.580,5.524,6.025,9.804
s0440,12.431,12.087,10.752,6.611,6.758,5.312,5.316,3.450
s0399,1.305,10.434,6.688,12.342,9.854,18.795,4.943,8.339
s0385,30.399,23.375,30.272,25.424,9.199,6.010,36.775,38.679
s0505,9.770,15.442,12.092,5.277,6.674,4.895,3.216,4.910
s0468,10.207,8.931,5.411,9.081,6.736,5.736,7.657,6.531
s0473,11.082,3.448,6.149,3.618,2.667,7.287,7.537,7.919
s0593,4.563,4.048,8.909,6.412,1.060,4.048,10.000,3.968
s0581,4.394,6.572,3.791,6.620,2.897,3.070,1.506,6.321
s0483,10.846,7.968,9.744,6.642,3.438,2.692,7.335,9.012
s0600,4.091,10.141,12.447,8.901,3.180,8.778,10.322,5.271
s0626,3.351,1.345,10.117,6.883,7.755,8.835,6.360,7.792
s0624,9.116,7.030,11.738,6.241,2.945,7.460,4.080,6.138
s0636,7.824,18.673,8.708,4.762,5.296,6.601,8.640,5.301
s0607,7.147,7.704,9.802,5.696,3.707,2.789,4.172,2.679
s0668,5.913,2.003,8.698,14.636,3.438,3.677,6.040,7.434
s0673,5.400,10.252,15.950,10.465,5.411,7.297,17.479,67.564
s0680,4.964,0.932,3.120,3.070,4.347,4.376,1.796,4.480
s0728,6.810,13.183,7.160,6.488,7.055,9.039,4.522,7.909
s0663,11.748,14.565,5.154,4.751,8.665,6.960,3.837,4.664
s0687,7.257,3.792,12.594,8.899,8.765,6.272,3.797,2.850
s0592,6.606,12.923,6.155,6.891,5.462,6.275,58.623,2.449
s0737,11.914,4.353,5.202,4.312,5.226,4.730,5.001,2.775
s0772,6.334,9.754,6.116,5.532,5.493,6.118,5.652,4.020
s0804,8.980,10.982,6.279,9.555,1.847,4.147,6.726,4.645
s0726,7.884,5.692,6.631,3.765,1.963,2.874,9.449,7.086
s0763,3.707,5.795,6.050,5.905,3.163,10.046,6.503,7.158
s0774,4.663,3.339,5.195,6.282,8.636,2.177,3.634,5.425
s0842,11.799,1.770,10.817,9.963,7.475,5.188,8.959,45.638
s0924,8.731,13.969,2.374,3.427,2.066,3.369,6.104,9.319
s0746,8.205,8.703,1.766,3.031,3.757,6.889,8.865,5.126
s0869,6.247,6.686,4.415,7.132,5.012,5.270,4.772,10.847
s0963,10.625,14.870,8.141,5.906,7.203,5.375,10.041,12.951
s0931,10.409,7.991,10.124,4.729,6.939,7.489,6.499,16.035
s0979,13.077,8.934,10.325,9.450,1.945,1.338,4.674,12.641
s0940,19.440,11.755,7.308,10.129,1.982,5.361,5.359,5.390
s0986,7.789,9.561,15.085,12.678,12.026,6.398,6.207,8.926
s1016,9.730,6.493,2.776,7.812,2.554,4.215,5.470,6.249
s1005,9.354,5.824,12.903,11.294,3.856,7.734,8.880,4.945
s1008,4.578,6.336,16.195,6.286,5.147,7.914,4.488,6.579
s0928,3.880,6.672,15.204,11.176,10.383,11.100,3.436,4.478
s1069,6.740,11.734,11.332,5.485,3.889,1.900,8.567,4.121
s1120,8.430,8.087,11.796,17.577,10.221,14.140,5.046,6.785
s1044,2.926,3.966,5.480,7.001,2.926,5.574,12.177,11.304
s1322,11.127,7.173,11.430,7.252,7.946,7.841,7.373,6.453
s1046,5.231,9.045,16.226,11.972,9.134,5.971,7.697,7.215
s1347,2.687,5.071,4.877,7.844,11.351,5.419,4.577,14.390
s1336,2.552,5.449,13.088,7.934,0.495,7.139,6.486,1.917
s1339,13.475,14.366,1.573,2.830,3.561,1.941,4.018,6.303
s1348,9.035,3.335,6.835,8.135,2.896,3.443,1.962,4.184
s1373,10.785,12.893,12.074,17.425,3.032,2.888,7.811,9.153
s1349,7.081,11.261,8.605,21.493,53.163,46.181,130.674,78.149
s1377,9.326,4.278,10.605,17.185,4.347,7.844,9.768,3.293
