subject-id,DSC,ASD,HD95,NSD
case_00014_hip_msk,0.75,1.15,3.61,0.40
case_00016_hip_msk,0.85,0.77,2.45,0.54
case_00019_hip_msk,0.82,0.94,3.74,0.39
case_00022_hip_msk,0.69,3.16,14.04,0.32
case_00026_hip_msk,0.87,0.84,3.00,0.52
case_00027_hip_msk,0.69,2.74,11.00,0.33
case_00032_hip_msk,0.85,0.77,3.00,0.53
case_00033_hip_msk,0.85,0.74,2.83,0.55
case_00040_hip_msk,0.73,2.53,10.95,0.40
case_00046_hip_msk,0.84,0.93,3.00,0.50
case_00052_hip_msk,0.78,1.35,4.12,0.40
case_00059_hip_msk,0.69,2.63,11.00,0.35
case_00060_hip_msk,0.76,1.44,4.47,0.41
case_00066_hip_msk,0.86,1.13,2.83,0.56
case_00071_hip_msk,0.70,2.14,7.21,0.32
case_00082_hip_msk,0.78,1.14,3.61,0.43
case_00084_hip_msk,0.81,1.53,7.07,0.49
case_00093_hip_msk,0.74,1.42,5.10,0.33
case_00095_hip_msk,0.86,0.79,3.00,0.51
case_00096_hip_msk,0.71,1.57,5.00,0.36
case_00100_hip_msk,0.85,0.79,2.45,0.53
case_00123_hip_msk,0.85,0.80,2.83,0.52
case_00132_hip_msk,0.55,7.32,30.36,0.28
case_00133_hip_msk,0.79,1.05,3.16,0.42
case_00135_hip_msk,0.79,1.59,5.10,0.41
case_00144_hip_msk,0.85,0.71,2.24,0.56
case_00146_hip_msk,0.76,1.90,5.83,0.35
case_00151_hip_msk,0.67,2.00,6.56,0.31
case_00155_hip_msk,0.60,3.69,14.59,0.28
case_00156_hip_msk,0.85,0.79,3.00,0.53
case_00159_hip_msk,0.78,1.32,4.12,0.38
case_00170_hip_msk,0.86,0.82,3.00,0.51
case_00188_hip_msk,0.66,2.63,11.09,0.35
case_00202_hip_msk,0.83,0.93,2.83,0.50
case_00203_hip_msk,0.76,1.27,3.74,0.42
case_00214_hip_msk,0.83,1.02,3.46,0.47
case_00246_hip_msk,0.74,1.44,4.12,0.33
case_00253_hip_msk,0.82,0.88,2.83,0.50
case_00264_hip_msk,0.83,0.89,2.83,0.49
case_00276_hip_msk,0.85,0.81,3.00,0.49
case_00293_hip_msk,0.72,2.00,7.68,0.36
case_00294_hip_msk,0.75,1.50,5.10,0.40
case_00298_hip_msk,0.76,1.27,4.12,0.38
case_00299_hip_msk,0.80,1.22,4.00,0.42
