subject-id,DSC,ASD,HD95,NSD
img0073_hip_msk,0.20,9.71,26.48,0.07
img0071_hip_msk,0.19,9.89,28.51,0.06
img0068_hip_msk,0.19,9.47,23.60,0.07
img0080_hip_msk,0.22,8.10,21.49,0.07
img0061_hip_msk,0.19,9.99,25.10,0.07
img0065_hip_msk,0.19,9.53,25.02,0.07
img0069_hip_msk,0.22,9.55,27.48,0.05
img0079_hip_msk,0.19,8.76,23.22,0.06
img0077_hip_msk,0.16,10.68,25.79,0.06
img0072_hip_msk,0.19,9.14,22.29,0.08
img0066_hip_msk,0.21,8.76,22.16,0.08
img0067_hip_msk,0.20,9.76,26.83,0.05
img0075_hip_msk,0.23,8.10,22.65,0.06
img0040_hip_msk,0.18,9.57,25.50,0.07
img0007_hip_msk,0.21,8.08,21.10,0.06
img0039_hip_msk,0.20,10.01,27.76,0.05
img0036_hip_msk,0.20,9.73,25.46,0.06
img0025_hip_msk,0.19,9.10,22.05,0.08
img0034_hip_msk,0.22,8.93,23.54,0.06
img0026_hip_msk,0.21,8.58,23.69,0.08
img0008_hip_msk,0.24,8.39,23.62,0.08
img0021_hip_msk,0.21,9.39,25.06,0.07
img0001_hip_msk,0.20,10.88,26.40,0.05
img0037_hip_msk,0.21,8.53,22.72,0.07
img0006_hip_msk,0.16,10.48,25.10,0.07
img0023_hip_msk,0.19,8.25,23.37,0.06
img0022_hip_msk,0.19,9.23,24.54,0.06
img0030_hip_msk,0.21,9.58,25.08,0.06
img0028_hip_msk,0.15,10.05,23.42,0.06
img0002_hip_msk,0.17,9.74,23.41,0.07
img0024_hip_msk,0.17,10.15,23.54,0.07
img0004_hip_msk,0.17,9.42,24.02,0.05
img0010_hip_msk,0.21,8.89,23.08,0.07
img0032_hip_msk,0.21,9.30,24.37,0.07
img0003_hip_msk,0.24,8.32,25.48,0.06
