subject-id,DSC,ASD,HD95,NSD
img0073_hip_msk,0.08,13.36,32.88,0.03
img0071_hip_msk,0.17,9.03,26.00,0.06
img0068_hip_msk,0.23,6.66,27.80,0.06
img0080_hip_msk,0.21,6.91,22.11,0.06
img0061_hip_msk,0.19,8.32,25.02,0.06
img0065_hip_msk,0.13,10.13,29.17,0.04
img0069_hip_msk,0.20,7.52,29.44,0.05
img0079_hip_msk,0.12,6.69,29.73,0.03
img0077_hip_msk,0.15,11.05,30.02,0.04
img0072_hip_msk,0.19,6.71,21.84,0.06
img0066_hip_msk,0.20,7.00,25.36,0.06
img0067_hip_msk,0.20,5.33,27.89,0.05
img0075_hip_msk,0.19,6.40,23.10,0.06
img0040_hip_msk,0.15,9.03,26.02,0.05
img0007_hip_msk,0.22,7.47,25.66,0.06
img0039_hip_msk,0.20,4.17,26.87,0.06
img0036_hip_msk,0.23,7.37,25.42,0.06
img0025_hip_msk,0.24,7.13,23.85,0.08
img0034_hip_msk,0.24,6.84,24.70,0.07
img0026_hip_msk,0.22,6.50,29.81,0.06
img0008_hip_msk,0.18,9.82,27.44,0.06
img0021_hip_msk,0.24,6.98,23.04,0.08
img0001_hip_msk,0.12,7.44,25.42,0.04
img0037_hip_msk,0.15,7.94,35.69,0.04
img0006_hip_msk,0.12,8.53,23.90,0.04
img0023_hip_msk,0.25,3.90,25.26,0.07
img0022_hip_msk,0.20,8.33,26.40,0.06
img0030_hip_msk,0.15,10.65,28.05,0.05
img0028_hip_msk,0.14,6.82,24.42,0.05
img0002_hip_msk,0.15,8.78,28.46,0.04
img0024_hip_msk,0.21,7.80,25.08,0.07
img0004_hip_msk,0.14,8.77,24.10,0.05
img0010_hip_msk,0.22,5.16,25.57,0.07
img0032_hip_msk,0.18,7.61,23.74,0.06
img0003_hip_msk,0.22,7.73,26.08,0.07
