subject-id,DSC,ASD,HD95,NSD
CLINIC_metal_0003_hip_msk,0.66,1.62,6.16,0.25
CLINIC_metal_0011_hip_msk,0.73,2.17,5.39,0.34
CLINIC_metal_0006_hip_msk,0.70,1.60,5.00,0.28
CLINIC_metal_0004_hip_msk,0.75,1.30,5.10,0.28
CLINIC_metal_0000_hip_msk,0.63,2.01,5.74,0.22
CLINIC_metal_0002_hip_msk,0.71,1.60,5.00,0.28
CLINIC_metal_0009_hip_msk,0.69,2.63,10.45,0.26
CLINIC_metal_0012_hip_msk,0.70,1.62,5.39,0.27
CLINIC_metal_0013_hip_msk,0.69,1.58,6.40,0.27
CLINIC_metal_0007_hip_msk,0.68,1.52,4.58,0.28
CLINIC_metal_0005_hip_msk,0.73,1.30,5.39,0.29
CLINIC_metal_0008_hip_msk,0.61,2.08,5.10,0.25
CLINIC_metal_0010_hip_msk,0.78,1.00,3.16,0.40
CLINIC_metal_0001_hip_msk,0.71,1.56,4.36,0.31
