subject-id,DSC,ASD,HD95,NSD
s0624_hip_msk,0.88,0.68,2.45,0.54
s0139_hip_msk,0.87,0.76,2.83,0.52
s0232_hip_msk,0.83,0.92,3.00,0.43
s0040_hip_msk,0.88,0.62,2.45,0.59
s0473_hip_msk,0.79,1.10,3.61,0.42
s0607_hip_msk,0.87,0.75,2.83,0.50
s1120_hip_msk,0.70,1.60,5.00,0.30
s0763_hip_msk,0.86,0.73,3.00,0.51
s1349_hip_msk,0.78,1.63,4.24,0.33
s0182_hip_msk,0.83,0.94,2.83,0.43
s1069_hip_msk,0.83,0.88,3.46,0.46
s0370_hip_msk,0.84,0.90,3.00,0.43
s0668_hip_msk,0.80,1.14,3.61,0.40
s0468_hip_msk,0.81,1.04,3.74,0.38
s0250_hip_msk,0.81,1.08,3.61,0.41
s0726_hip_msk,0.82,0.94,3.00,0.42
s1347_hip_msk,0.87,0.73,2.45,0.54
s1044_hip_msk,0.89,0.64,3.00,0.57
s1016_hip_msk,0.84,0.93,3.61,0.39
s0592_hip_msk,0.81,1.28,4.24,0.47
s0091_hip_msk,0.84,0.89,3.00,0.44
s1336_hip_msk,0.88,0.63,2.45,0.57
s0505_hip_msk,0.87,0.76,3.00,0.49
s0483_hip_msk,0.78,1.11,4.12,0.37
s0314_hip_msk,0.84,0.88,3.32,0.44
s0940_hip_msk,0.84,0.86,3.00,0.47
s0928_hip_msk,0.80,1.04,3.74,0.38
s0049_hip_msk,0.75,1.39,4.12,0.31
s0636_hip_msk,0.81,0.93,3.00,0.43
s0728_hip_msk,0.80,0.91,3.74,0.43
s1348_hip_msk,0.85,0.77,3.32,0.48
s0600_hip_msk,0.86,0.81,3.16,0.47
s0163_hip_msk,0.76,1.39,4.12,0.34
s0772_hip_msk,0.82,0.94,3.61,0.39
s0680_hip_msk,0.88,0.72,3.00,0.53
s1008_hip_msk,0.85,0.78,3.00,0.50
s1322_hip_msk,0.87,0.67,2.45,0.56
s0931_hip_msk,0.82,0.95,3.00,0.48
s0774_hip_msk,0.81,1.00,3.16,0.43
s0979_hip_msk,0.87,0.79,2.83,0.49
s0581_hip_msk,0.88,0.66,2.24,0.58
s1373_hip_msk,0.87,0.73,2.83,0.52
s1005_hip_msk,0.82,0.97,3.74,0.41
s0082_hip_msk,0.87,0.69,2.45,0.54
s0963_hip_msk,0.71,1.65,5.00,0.29
s0399_hip_msk,0.76,1.20,4.24,0.35
s0385_hip_msk,0.72,1.45,4.69,0.28
s0626_hip_msk,0.81,0.91,3.16,0.43
s1339_hip_msk,0.86,0.68,2.83,0.55
s0383_hip_msk,0.82,0.85,3.32,0.43
s0924_hip_msk,0.82,0.91,3.00,0.45
s0746_hip_msk,0.86,0.72,2.83,0.53
s0593_hip_msk,0.83,1.17,2.83,0.45
s0687_hip_msk,0.82,0.88,3.16,0.44
s0869_hip_msk,0.84,0.93,3.00,0.43
s0029_hip_msk,0.75,1.39,4.58,0.31
s0842_hip_msk,0.78,1.09,4.24,0.35
s0341_hip_msk,0.81,1.05,3.46,0.42
s0663_hip_msk,0.86,0.68,3.00,0.54
s0986_hip_msk,0.74,1.38,4.12,0.30
s0089_hip_msk,0.79,1.25,4.00,0.40
s0804_hip_msk,0.80,1.32,4.24,0.45
s0440_hip_msk,0.83,0.86,2.83,0.49
s1377_hip_msk,0.79,1.12,4.12,0.37
s0673_hip_msk,0.82,0.94,3.61,0.41
s0737_hip_msk,0.80,1.21,3.00,0.39
s1046_hip_msk,0.85,0.92,3.00,0.43
