subject-id,DSC,ASD,HD95,NSD
s0624_hip_msk,0.84,0.92,3.00,0.44
s0139_hip_msk,0.85,0.85,3.00,0.45
s0232_hip_msk,0.85,0.90,3.00,0.48
s0040_hip_msk,0.87,0.75,2.83,0.53
s0473_hip_msk,0.79,1.28,3.32,0.36
s0607_hip_msk,0.88,0.70,2.83,0.55
s1120_hip_msk,0.71,1.55,5.10,0.28
s0763_hip_msk,0.85,0.90,3.16,0.44
s1349_hip_msk,0.80,1.16,3.61,0.35
s0182_hip_msk,0.81,1.01,3.61,0.41
s1069_hip_msk,0.84,0.89,3.00,0.44
s0370_hip_msk,0.85,0.93,3.32,0.42
s0668_hip_msk,0.84,0.81,3.16,0.50
s0468_hip_msk,0.83,0.99,3.74,0.40
s0250_hip_msk,0.81,1.18,3.61,0.38
s0726_hip_msk,0.79,1.20,3.46,0.36
s1347_hip_msk,0.84,0.94,3.32,0.45
s1044_hip_msk,0.85,0.93,3.16,0.43
s1016_hip_msk,0.83,0.93,4.12,0.38
s0592_hip_msk,0.82,1.08,3.16,0.47
s0091_hip_msk,0.86,0.84,3.16,0.46
s1336_hip_msk,0.86,0.78,3.00,0.51
s0505_hip_msk,0.87,0.83,3.32,0.47
s0483_hip_msk,0.78,1.17,4.00,0.36
s0314_hip_msk,0.83,0.92,3.61,0.43
s0940_hip_msk,0.81,1.09,3.32,0.39
s0928_hip_msk,0.79,1.15,4.00,0.36
s0049_hip_msk,0.80,1.22,3.74,0.40
s0636_hip_msk,0.77,1.20,3.00,0.31
s0728_hip_msk,0.79,1.05,3.61,0.40
s1348_hip_msk,0.84,0.90,3.61,0.42
s0600_hip_msk,0.82,1.06,3.32,0.38
s0163_hip_msk,0.79,1.03,4.12,0.37
s0772_hip_msk,0.84,0.92,3.61,0.45
s0680_hip_msk,0.84,0.94,3.46,0.42
s1008_hip_msk,0.84,0.89,3.00,0.48
s1322_hip_msk,0.84,0.87,2.83,0.47
s0931_hip_msk,0.84,0.89,2.83,0.45
s0774_hip_msk,0.82,0.97,3.00,0.45
s0979_hip_msk,0.88,0.80,2.83,0.48
s0581_hip_msk,0.84,0.91,2.83,0.45
s1373_hip_msk,0.85,0.88,3.00,0.46
s1005_hip_msk,0.79,1.25,4.12,0.37
s0082_hip_msk,0.86,0.79,2.45,0.51
s0963_hip_msk,0.72,1.59,4.24,0.27
s0399_hip_msk,0.77,1.25,3.61,0.35
s0385_hip_msk,0.77,1.19,3.74,0.33
s0626_hip_msk,0.73,1.36,3.74,0.31
s1339_hip_msk,0.83,0.95,3.00,0.43
s0383_hip_msk,0.83,0.90,3.00,0.44
s0924_hip_msk,0.81,1.03,3.00,0.39
s0746_hip_msk,0.81,1.03,3.61,0.44
s0593_hip_msk,0.84,0.85,2.83,0.47
s0687_hip_msk,0.82,0.97,3.00,0.44
s0869_hip_msk,0.85,0.92,3.00,0.45
s0029_hip_msk,0.83,0.94,3.61,0.43
s0842_hip_msk,0.83,0.89,3.46,0.42
s0341_hip_msk,0.80,1.19,4.00,0.39
s0663_hip_msk,0.85,0.78,3.00,0.52
s0986_hip_msk,0.80,1.05,3.32,0.40
s0089_hip_msk,0.77,1.20,4.00,0.34
s0804_hip_msk,0.80,1.52,4.90,0.42
s0440_hip_msk,0.82,0.96,3.00,0.44
s1377_hip_msk,0.77,1.39,4.36,0.36
s0673_hip_msk,0.81,1.09,3.32,0.38
s0737_hip_msk,0.81,1.03,3.00,0.42
s1046_hip_msk,0.87,0.82,3.00,0.47
