subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.32,1.59,5.74,0.32
s0334_rib_msk,0.35,1.52,4.58,0.35
s1372_rib_msk,0.33,1.33,5.48,0.37
s0447_rib_msk,0.28,1.33,3.74,0.38
s0582_rib_msk,0.34,1.20,7.28,0.37
s0392_rib_msk,0.25,1.65,5.10,0.31
s1018_rib_msk,0.29,1.47,8.60,0.33
s0798_rib_msk,0.26,1.75,5.00,0.38
s1058_rib_msk,0.32,1.41,4.12,0.36
s0111_rib_msk,0.29,2.33,10.05,0.30
s0065_rib_msk,0.36,1.24,4.24,0.41
s0641_rib_msk,0.31,1.34,4.90,0.38
s0499_rib_msk,0.36,1.40,4.00,0.41
s0425_rib_msk,0.39,1.39,4.00,0.39
s0737_rib_msk,0.29,1.52,4.47,0.39
s0918_rib_msk,0.32,1.44,4.47,0.32
s0743_rib_msk,0.35,1.62,4.69,0.40
s0919_rib_msk,0.32,1.48,5.00,0.38
s0095_rib_msk,0.26,2.46,6.56,0.27
s1380_rib_msk,0.34,1.31,3.74,0.39
s1330_rib_msk,0.34,1.57,7.28,0.32
s0386_rib_msk,0.30,4.83,15.05,0.48
s0945_rib_msk,0.38,1.08,3.74,0.45
s1089_rib_msk,0.27,1.65,5.48,0.29
s0982_rib_msk,0.23,1.96,12.04,0.21
s1029_rib_msk,0.36,1.50,4.24,0.40
s1042_rib_msk,0.29,1.85,7.68,0.31
s1305_rib_msk,0.24,1.61,8.20,0.31
s0344_rib_msk,0.46,1.18,4.12,0.45
s0556_rib_msk,0.35,1.57,4.24,0.38
s0975_rib_msk,0.30,1.75,6.78,0.29
s0046_rib_msk,0.37,1.27,6.40,0.36
s1337_rib_msk,0.36,1.52,4.47,0.38
s1161_rib_msk,0.36,1.66,6.40,0.34
s0550_rib_msk,0.35,1.48,5.00,0.34
s0502_rib_msk,0.28,1.59,4.12,0.34
s0845_rib_msk,0.31,1.32,5.00,0.37
s0115_rib_msk,0.37,1.73,5.10,0.35
s0939_rib_msk,0.36,1.48,5.00,0.37
s0531_rib_msk,0.31,1.40,5.10,0.40
s1120_rib_msk,0.29,1.43,4.24,0.37
s0869_rib_msk,0.39,1.43,4.90,0.40
s0394_rib_msk,0.29,1.43,7.35,0.29
s0461_rib_msk,0.30,1.56,4.24,0.34
s0669_rib_msk,0.31,1.53,4.69,0.37
s0775_rib_msk,0.38,1.71,5.10,0.41
s0698_rib_msk,0.27,1.59,5.74,0.30
s0191_rib_msk,0.34,1.12,10.63,0.33
s0880_rib_msk,0.28,1.80,4.36,0.36
s1228_rib_msk,0.23,1.80,4.58,0.31
s0598_rib_msk,0.40,1.41,4.12,0.42
s1090_rib_msk,0.32,1.56,5.48,0.34
s1387_rib_msk,0.32,1.61,6.40,0.29
s0752_rib_msk,0.24,2.34,10.44,0.23
s0833_rib_msk,0.27,1.59,4.12,0.34
s0613_rib_msk,0.42,1.31,5.74,0.41
s1174_rib_msk,0.36,1.82,6.40,0.36
s0123_rib_msk,0.41,1.27,4.12,0.44
s0999_rib_msk,0.22,1.77,4.58,0.30
s0625_rib_msk,0.29,1.89,5.10,0.35
s1070_rib_msk,0.24,1.89,4.47,0.31
s0952_rib_msk,0.19,2.35,22.23,0.15
s0896_rib_msk,0.32,1.29,3.32,0.46
s0446_rib_msk,0.24,1.71,4.24,0.32
s1012_rib_msk,0.30,1.64,6.63,0.34
s1111_rib_msk,0.45,1.27,4.00,0.46
s1178_rib_msk,0.22,2.87,13.75,0.24
s1233_rib_msk,0.36,1.43,4.24,0.41
s0444_rib_msk,0.33,1.42,4.69,0.40
s0720_rib_msk,0.31,1.65,5.83,0.32
s0437_rib_msk,0.46,1.30,4.12,0.46
s0332_rib_msk,0.41,1.31,4.24,0.41
s0913_rib_msk,0.45,1.20,3.74,0.48
