subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.47,1.17,9.49,0.40
s0334_rib_msk,0.60,0.79,6.48,0.51
s1372_rib_msk,0.46,1.03,7.14,0.44
s0447_rib_msk,0.42,1.11,4.90,0.47
s0582_rib_msk,0.45,1.01,13.08,0.42
s0392_rib_msk,0.58,0.85,3.46,0.54
s1018_rib_msk,0.51,0.88,10.82,0.49
s0798_rib_msk,0.51,1.09,5.83,0.58
s1058_rib_msk,0.33,1.41,6.37,0.39
s0111_rib_msk,0.50,1.12,8.19,0.45
s0065_rib_msk,0.54,0.94,3.74,0.53
s0641_rib_msk,0.49,1.07,5.20,0.50
s0499_rib_msk,0.57,0.82,6.16,0.56
s0425_rib_msk,0.52,1.04,5.39,0.47
s0737_rib_msk,0.44,1.21,4.69,0.51
s0918_rib_msk,0.46,1.24,5.20,0.41
s0743_rib_msk,0.54,0.99,9.49,0.51
s0919_rib_msk,0.48,1.05,8.12,0.51
s0095_rib_msk,0.39,1.96,12.73,0.35
s1380_rib_msk,0.55,0.93,5.53,0.57
s1330_rib_msk,0.60,0.85,8.54,0.51
s0386_rib_msk,0.23,1.60,18.82,0.19
s0945_rib_msk,0.52,0.94,5.39,0.54
s1089_rib_msk,0.60,0.79,8.06,0.52
s0982_rib_msk,0.23,2.10,17.26,0.19
s1029_rib_msk,0.60,0.84,5.20,0.56
s1042_rib_msk,0.43,1.32,8.60,0.42
s1305_rib_msk,0.30,1.43,13.49,0.34
s0344_rib_msk,0.56,0.91,5.10,0.51
s0556_rib_msk,0.52,1.05,5.00,0.47
s0975_rib_msk,0.41,1.24,12.35,0.35
s0046_rib_msk,0.49,1.11,6.40,0.45
s1337_rib_msk,0.54,0.95,5.00,0.49
s1161_rib_msk,0.47,1.20,10.20,0.42
s0550_rib_msk,0.56,0.94,5.83,0.49
s0502_rib_msk,0.58,0.84,3.00,0.53
s0845_rib_msk,0.48,0.96,7.28,0.51
s0115_rib_msk,0.50,1.22,9.00,0.42
s0939_rib_msk,0.51,0.98,9.95,0.45
s0531_rib_msk,0.58,0.74,6.40,0.59
s1120_rib_msk,0.50,0.91,7.07,0.52
s0869_rib_msk,0.55,0.91,7.14,0.52
s0394_rib_msk,0.44,1.14,10.22,0.38
s0461_rib_msk,0.46,1.09,4.12,0.48
s0669_rib_msk,0.44,1.30,5.66,0.45
s0775_rib_msk,0.55,1.00,3.00,0.54
s0698_rib_msk,0.45,1.21,5.83,0.43
s0191_rib_msk,0.28,1.62,10.68,0.28
s0880_rib_msk,0.37,1.50,7.21,0.41
s1228_rib_msk,0.43,1.33,6.78,0.46
s0598_rib_msk,0.49,1.20,8.72,0.43
s1090_rib_msk,0.56,0.89,6.71,0.50
s1387_rib_msk,0.50,0.93,12.04,0.38
s0752_rib_msk,0.39,1.37,9.27,0.37
s0833_rib_msk,0.51,0.99,5.92,0.51
s0613_rib_msk,0.52,0.98,7.14,0.46
s1174_rib_msk,0.52,1.09,6.93,0.48
s0123_rib_msk,0.61,0.76,3.61,0.58
s0999_rib_msk,0.44,1.17,5.92,0.47
s0625_rib_msk,0.44,1.26,5.39,0.46
s1070_rib_msk,0.42,1.23,5.10,0.47
s0952_rib_msk,0.17,4.84,16.40,0.14
s0896_rib_msk,0.51,0.96,5.74,0.59
s0446_rib_msk,0.55,0.97,5.48,0.53
s1012_rib_msk,0.54,0.96,7.07,0.49
s1111_rib_msk,0.57,0.90,3.00,0.55
s1178_rib_msk,0.44,1.47,8.12,0.42
s1233_rib_msk,0.49,1.02,7.14,0.50
s0444_rib_msk,0.56,0.88,2.83,0.62
s0720_rib_msk,0.53,0.96,5.48,0.46
s0437_rib_msk,0.67,0.66,3.32,0.63
s0332_rib_msk,0.55,0.92,5.83,0.51
s0913_rib_msk,0.63,0.72,4.36,0.60
