subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.48,1.17,9.25,0.41
s0334_rib_msk,0.60,0.79,6.66,0.51
s1372_rib_msk,0.44,1.07,7.07,0.43
s0447_rib_msk,0.44,1.09,4.90,0.48
s0582_rib_msk,0.45,1.00,12.88,0.42
s0392_rib_msk,0.56,0.87,3.61,0.53
s1018_rib_msk,0.51,0.88,10.77,0.49
s0798_rib_msk,0.49,1.12,5.66,0.56
s1058_rib_msk,0.32,1.46,6.56,0.38
s0111_rib_msk,0.51,1.06,8.94,0.45
s0065_rib_msk,0.55,0.90,4.12,0.54
s0641_rib_msk,0.47,1.07,5.10,0.48
s0499_rib_msk,0.59,0.80,6.00,0.57
s0425_rib_msk,0.53,1.01,5.74,0.48
s0737_rib_msk,0.45,1.19,5.17,0.51
s0918_rib_msk,0.47,1.21,5.20,0.41
s0743_rib_msk,0.56,0.94,8.49,0.52
s0919_rib_msk,0.49,1.06,9.11,0.50
s0095_rib_msk,0.39,1.98,12.76,0.34
s1380_rib_msk,0.52,0.99,5.74,0.54
s1330_rib_msk,0.61,0.84,8.12,0.52
s0386_rib_msk,0.24,1.54,18.25,0.19
s0945_rib_msk,0.50,0.98,5.74,0.53
s1089_rib_msk,0.62,0.74,8.06,0.54
s0982_rib_msk,0.21,2.23,18.81,0.18
s1029_rib_msk,0.60,0.84,5.20,0.56
s1042_rib_msk,0.42,1.39,8.37,0.41
s1305_rib_msk,0.29,1.45,13.75,0.33
s0344_rib_msk,0.57,0.89,5.39,0.52
s0556_rib_msk,0.54,1.00,4.58,0.49
s0975_rib_msk,0.41,1.23,12.35,0.35
s0046_rib_msk,0.50,1.11,6.48,0.45
s1337_rib_msk,0.56,0.91,5.00,0.51
s1161_rib_msk,0.53,1.01,8.06,0.47
s0550_rib_msk,0.57,0.91,5.74,0.50
s0502_rib_msk,0.62,0.77,3.00,0.56
s0845_rib_msk,0.48,0.97,7.07,0.51
s0115_rib_msk,0.51,1.21,9.00,0.43
s0939_rib_msk,0.52,0.96,9.17,0.46
s0531_rib_msk,0.56,0.76,6.41,0.57
s1120_rib_msk,0.51,0.89,7.07,0.52
s0869_rib_msk,0.57,0.86,7.55,0.53
s0394_rib_msk,0.46,1.09,9.95,0.39
s0461_rib_msk,0.47,1.07,4.12,0.49
s0669_rib_msk,0.44,1.30,5.74,0.45
s0775_rib_msk,0.55,0.96,3.00,0.54
s0698_rib_msk,0.45,1.19,5.74,0.44
s0191_rib_msk,0.28,1.63,10.05,0.27
s0880_rib_msk,0.38,1.49,7.28,0.41
s1228_rib_msk,0.44,1.28,7.07,0.47
s0598_rib_msk,0.49,1.21,8.66,0.43
s1090_rib_msk,0.56,0.89,6.63,0.50
s1387_rib_msk,0.51,0.89,12.08,0.39
s0752_rib_msk,0.41,1.30,9.11,0.38
s0833_rib_msk,0.52,0.99,5.92,0.51
s0613_rib_msk,0.54,0.94,7.28,0.48
s1174_rib_msk,0.51,1.09,6.78,0.48
s0123_rib_msk,0.62,0.74,3.61,0.58
s0999_rib_msk,0.46,1.13,5.83,0.49
s0625_rib_msk,0.46,1.19,5.39,0.48
s1070_rib_msk,0.41,1.23,5.00,0.46
s0952_rib_msk,0.17,4.73,16.53,0.14
s0896_rib_msk,0.51,0.96,5.66,0.59
s0446_rib_msk,0.54,1.00,5.74,0.52
s1012_rib_msk,0.55,0.94,7.21,0.50
s1111_rib_msk,0.55,0.89,3.00,0.54
s1178_rib_msk,0.45,1.37,9.27,0.42
s1233_rib_msk,0.50,1.00,7.07,0.51
s0444_rib_msk,0.56,0.86,2.83,0.63
s0720_rib_msk,0.55,0.92,5.39,0.48
s0437_rib_msk,0.66,0.66,3.00,0.62
s0332_rib_msk,0.57,0.88,5.83,0.52
s0913_rib_msk,0.61,0.73,4.36,0.59
