subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.21,2.13,18.87,0.21
s0334_rib_msk,0.36,1.61,14.76,0.32
s1372_rib_msk,0.32,1.64,13.19,0.32
s0447_rib_msk,0.26,1.71,15.03,0.30
s0582_rib_msk,0.28,1.63,19.21,0.29
s0392_rib_msk,0.23,2.03,19.21,0.24
s1018_rib_msk,0.23,1.79,17.23,0.27
s0798_rib_msk,0.19,2.08,23.07,0.26
s1058_rib_msk,0.18,2.19,19.13,0.20
s0111_rib_msk,0.11,3.33,19.10,0.15
s0065_rib_msk,0.36,1.40,19.10,0.32
s0641_rib_msk,0.22,1.92,17.52,0.25
s0499_rib_msk,0.34,1.60,15.36,0.38
s0425_rib_msk,0.35,1.69,12.00,0.33
s0737_rib_msk,0.23,1.84,16.03,0.28
s0918_rib_msk,0.31,1.79,12.25,0.30
s0743_rib_msk,0.19,2.36,16.03,0.23
s0919_rib_msk,0.23,1.79,21.77,0.28
s0095_rib_msk,0.25,2.27,16.43,0.27
s1380_rib_msk,0.29,1.57,18.57,0.30
s1330_rib_msk,0.32,1.75,14.70,0.29
s0386_rib_msk,0.00,27.03,42.56,0.02
s0945_rib_msk,0.25,1.67,17.58,0.30
s1089_rib_msk,0.32,1.57,17.46,0.28
s0982_rib_msk,0.16,3.14,20.27,0.14
s1029_rib_msk,0.30,1.80,15.01,0.31
s1042_rib_msk,0.18,2.16,25.95,0.21
s1305_rib_msk,0.17,2.15,15.81,0.25
s0344_rib_msk,0.30,1.80,14.07,0.29
s0556_rib_msk,0.34,1.59,14.46,0.31
s0975_rib_msk,0.12,2.92,15.26,0.17
s0046_rib_msk,0.29,1.83,14.97,0.30
s1337_rib_msk,0.22,2.19,15.68,0.26
s1161_rib_msk,0.18,2.36,23.64,0.20
s0550_rib_msk,0.29,1.85,13.60,0.28
s0502_rib_msk,0.24,2.05,12.96,0.30
s0845_rib_msk,0.26,1.56,13.60,0.32
s0115_rib_msk,0.29,2.06,13.41,0.27
s0939_rib_msk,0.27,1.84,15.52,0.30
s0531_rib_msk,0.27,1.72,17.84,0.31
s1120_rib_msk,0.33,1.53,15.39,0.34
s0869_rib_msk,0.32,1.75,15.03,0.31
s0394_rib_msk,0.33,1.57,16.61,0.29
s0461_rib_msk,0.25,2.05,14.14,0.29
s0669_rib_msk,0.31,1.67,16.58,0.32
s0775_rib_msk,0.23,2.34,9.00,0.27
s0698_rib_msk,0.19,1.99,17.40,0.24
s0191_rib_msk,0.00,20.64,36.77,0.03
s0880_rib_msk,0.25,1.82,17.49,0.27
s1228_rib_msk,0.21,1.96,21.95,0.26
s0598_rib_msk,0.29,1.94,16.06,0.27
s1090_rib_msk,0.22,1.92,15.84,0.28
s1387_rib_msk,0.33,1.80,15.00,0.27
s0752_rib_msk,0.27,1.96,16.31,0.26
s0833_rib_msk,0.32,1.54,15.65,0.32
s0613_rib_msk,0.31,1.71,13.26,0.31
s1174_rib_msk,0.31,1.80,14.54,0.30
s0123_rib_msk,0.31,1.85,14.09,0.32
s0999_rib_msk,0.13,2.83,19.26,0.16
s0625_rib_msk,0.11,2.81,16.76,0.21
s1070_rib_msk,0.26,1.75,13.93,0.33
s0952_rib_msk,0.00,16.89,30.65,0.00
s0896_rib_msk,0.17,2.12,14.80,0.30
s0446_rib_msk,0.26,1.78,13.96,0.31
s1012_rib_msk,0.10,3.00,20.35,0.15
s1111_rib_msk,0.32,1.60,17.00,0.30
s1178_rib_msk,0.18,1.95,25.16,0.18
s1233_rib_msk,0.22,2.01,18.92,0.24
s0444_rib_msk,0.21,1.96,12.00,0.31
s0720_rib_msk,0.28,1.83,15.63,0.29
s0437_rib_msk,0.32,1.74,10.68,0.32
s0332_rib_msk,0.27,1.91,15.13,0.27
s0913_rib_msk,0.31,1.83,13.04,0.33
