subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.47,1.13,9.11,0.36
s0334_rib_msk,0.60,0.72,5.92,0.49
s1372_rib_msk,0.57,0.69,6.71,0.51
s0447_rib_msk,0.53,0.74,3.74,0.54
s0582_rib_msk,0.48,0.86,9.49,0.42
s0392_rib_msk,0.56,0.85,4.00,0.50
s1018_rib_msk,0.49,0.99,4.36,0.48
s0798_rib_msk,0.56,0.91,7.12,0.57
s1058_rib_msk,0.45,1.06,5.00,0.45
s0111_rib_msk,0.55,1.00,7.14,0.46
s0065_rib_msk,0.55,0.87,3.74,0.51
s0641_rib_msk,0.47,1.10,5.39,0.45
s0499_rib_msk,0.64,0.60,3.74,0.61
s0425_rib_msk,0.60,0.77,3.16,0.53
s0737_rib_msk,0.53,0.84,4.36,0.55
s0918_rib_msk,0.55,0.83,6.32,0.45
s0743_rib_msk,0.55,0.99,4.36,0.51
s0919_rib_msk,0.53,0.82,6.40,0.53
s0095_rib_msk,0.40,1.62,8.12,0.33
s1380_rib_msk,0.60,0.68,4.12,0.60
s1330_rib_msk,0.60,0.78,4.58,0.49
s0386_rib_msk,0.46,1.50,16.06,0.44
s0945_rib_msk,0.56,0.69,6.48,0.55
s1089_rib_msk,0.60,0.76,5.10,0.51
s0982_rib_msk,0.24,2.59,14.25,0.17
s1029_rib_msk,0.57,0.85,5.92,0.49
s1042_rib_msk,0.41,1.20,10.52,0.36
s1305_rib_msk,0.35,1.26,9.90,0.36
s0344_rib_msk,0.53,0.92,4.58,0.45
s0556_rib_msk,0.58,0.76,4.58,0.51
s0975_rib_msk,0.46,1.10,5.83,0.40
s0046_rib_msk,0.52,0.78,8.66,0.44
s1337_rib_msk,0.65,0.67,3.00,0.58
s1161_rib_msk,0.54,1.11,5.83,0.45
s0550_rib_msk,0.56,0.90,5.10,0.47
s0502_rib_msk,0.62,0.75,3.00,0.55
s0845_rib_msk,0.62,0.60,4.24,0.63
s0115_rib_msk,0.54,1.00,5.83,0.44
s0939_rib_msk,0.57,0.78,13.15,0.48
s0531_rib_msk,0.55,0.76,7.55,0.55
s1120_rib_msk,0.60,0.62,8.06,0.56
s0869_rib_msk,0.59,0.72,7.07,0.51
s0394_rib_msk,0.45,0.95,8.60,0.36
s0461_rib_msk,0.57,0.83,3.61,0.54
s0669_rib_msk,0.52,1.03,6.16,0.49
s0775_rib_msk,0.58,0.82,2.45,0.53
s0698_rib_msk,0.38,1.35,5.92,0.35
s0191_rib_msk,0.40,0.79,8.60,0.34
s0880_rib_msk,0.54,1.00,5.39,0.52
s1228_rib_msk,0.50,1.00,5.39,0.48
s0598_rib_msk,0.56,0.86,5.00,0.48
s1090_rib_msk,0.54,0.88,6.00,0.47
s1387_rib_msk,0.44,1.01,10.00,0.33
s0752_rib_msk,0.49,1.13,9.95,0.40
s0833_rib_msk,0.55,0.92,6.32,0.51
s0613_rib_msk,0.52,0.80,5.92,0.44
s1174_rib_msk,0.61,0.76,5.10,0.55
s0123_rib_msk,0.63,0.65,5.00,0.55
s0999_rib_msk,0.48,0.89,7.54,0.46
s0625_rib_msk,0.54,1.04,4.36,0.51
s1070_rib_msk,0.55,0.74,4.12,0.56
s0952_rib_msk,0.28,2.22,13.75,0.21
s0896_rib_msk,0.53,0.76,3.74,0.59
s0446_rib_msk,0.63,0.69,3.61,0.59
s1012_rib_msk,0.55,0.77,7.68,0.47
s1111_rib_msk,0.61,0.77,2.83,0.57
s1178_rib_msk,0.45,1.23,12.45,0.40
s1233_rib_msk,0.52,0.94,6.40,0.49
s0444_rib_msk,0.51,0.88,4.12,0.56
s0720_rib_msk,0.67,0.66,4.69,0.59
s0437_rib_msk,0.58,0.78,4.24,0.51
s0332_rib_msk,0.59,0.75,5.48,0.53
s0913_rib_msk,0.66,0.70,3.00,0.63
