subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.48,1.10,7.87,0.38
s0334_rib_msk,0.60,0.72,6.00,0.48
s1372_rib_msk,0.58,0.66,6.67,0.53
s0447_rib_msk,0.54,0.72,3.61,0.56
s0582_rib_msk,0.49,0.84,9.43,0.43
s0392_rib_msk,0.59,0.81,3.74,0.53
s1018_rib_msk,0.49,0.98,4.69,0.48
s0798_rib_msk,0.57,0.86,7.28,0.58
s1058_rib_msk,0.46,1.03,5.48,0.45
s0111_rib_msk,0.55,1.02,7.35,0.46
s0065_rib_msk,0.57,0.83,4.00,0.53
s0641_rib_msk,0.49,1.01,5.10,0.47
s0499_rib_msk,0.65,0.57,3.74,0.62
s0425_rib_msk,0.62,0.74,3.16,0.54
s0737_rib_msk,0.54,0.80,5.00,0.55
s0918_rib_msk,0.56,0.80,6.08,0.46
s0743_rib_msk,0.55,0.96,4.24,0.52
s0919_rib_msk,0.53,0.83,5.92,0.53
s0095_rib_msk,0.42,1.56,7.62,0.35
s1380_rib_msk,0.60,0.68,4.24,0.59
s1330_rib_msk,0.60,0.78,4.69,0.49
s0386_rib_msk,0.45,1.54,16.14,0.43
s0945_rib_msk,0.57,0.69,5.74,0.56
s1089_rib_msk,0.60,0.74,5.10,0.50
s0982_rib_msk,0.24,2.66,14.25,0.17
s1029_rib_msk,0.56,0.87,5.92,0.48
s1042_rib_msk,0.41,1.16,10.00,0.37
s1305_rib_msk,0.35,1.25,10.05,0.37
s0344_rib_msk,0.53,0.92,4.58,0.46
s0556_rib_msk,0.58,0.75,4.24,0.52
s0975_rib_msk,0.48,1.08,5.92,0.41
s0046_rib_msk,0.53,0.75,8.60,0.45
s1337_rib_msk,0.67,0.63,2.83,0.61
s1161_rib_msk,0.55,1.04,5.92,0.46
s0550_rib_msk,0.58,0.85,4.58,0.49
s0502_rib_msk,0.63,0.71,3.16,0.57
s0845_rib_msk,0.63,0.59,4.90,0.64
s0115_rib_msk,0.56,0.96,6.16,0.45
s0939_rib_msk,0.57,0.78,11.36,0.48
s0531_rib_msk,0.57,0.72,7.35,0.57
s1120_rib_msk,0.60,0.63,7.87,0.57
s0869_rib_msk,0.59,0.70,7.21,0.51
s0394_rib_msk,0.46,0.92,8.77,0.37
s0461_rib_msk,0.58,0.79,3.61,0.55
s0669_rib_msk,0.54,0.97,6.71,0.50
s0775_rib_msk,0.59,0.79,2.45,0.54
s0698_rib_msk,0.39,1.31,5.74,0.36
s0191_rib_msk,0.39,0.82,8.19,0.33
s0880_rib_msk,0.55,0.95,4.58,0.53
s1228_rib_msk,0.51,0.95,5.20,0.50
s0598_rib_msk,0.59,0.80,5.00,0.52
s1090_rib_msk,0.55,0.86,5.92,0.48
s1387_rib_msk,0.45,0.99,8.66,0.33
s0752_rib_msk,0.49,1.13,9.90,0.40
s0833_rib_msk,0.56,0.89,6.32,0.53
s0613_rib_msk,0.54,0.76,4.47,0.46
s1174_rib_msk,0.62,0.73,5.20,0.56
s0123_rib_msk,0.63,0.65,4.36,0.56
s0999_rib_msk,0.49,0.86,7.55,0.47
s0625_rib_msk,0.55,1.01,4.12,0.52
s1070_rib_msk,0.56,0.74,3.46,0.56
s0952_rib_msk,0.28,2.24,14.35,0.21
s0896_rib_msk,0.55,0.75,3.74,0.60
s0446_rib_msk,0.64,0.67,3.32,0.60
s1012_rib_msk,0.54,0.77,8.12,0.46
s1111_rib_msk,0.63,0.71,2.83,0.59
s1178_rib_msk,0.46,1.09,12.08,0.41
s1233_rib_msk,0.51,0.94,6.40,0.49
s0444_rib_msk,0.54,0.83,3.74,0.58
s0720_rib_msk,0.68,0.62,4.69,0.61
s0437_rib_msk,0.58,0.76,4.12,0.51
s0332_rib_msk,0.61,0.70,5.83,0.55
s0913_rib_msk,0.67,0.68,3.00,0.64
