subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.23,2.29,11.58,0.18
s0334_rib_msk,0.38,1.50,5.74,0.33
s1372_rib_msk,0.33,1.43,6.32,0.34
s0447_rib_msk,0.38,1.33,5.39,0.41
s0582_rib_msk,0.25,1.89,7.87,0.28
s0392_rib_msk,0.39,1.33,5.48,0.37
s1018_rib_msk,0.28,1.67,10.44,0.31
s0798_rib_msk,0.30,1.65,4.12,0.40
s1058_rib_msk,0.16,2.67,8.72,0.22
s0111_rib_msk,0.21,2.26,14.53,0.20
s0065_rib_msk,0.41,1.32,9.22,0.35
s0641_rib_msk,0.31,1.72,7.28,0.34
s0499_rib_msk,0.49,1.12,3.16,0.49
s0425_rib_msk,0.44,1.32,5.00,0.40
s0737_rib_msk,0.22,2.08,5.74,0.32
s0918_rib_msk,0.40,1.35,4.00,0.37
s0743_rib_msk,0.31,1.76,7.28,0.31
s0919_rib_msk,0.28,1.71,9.43,0.31
s0095_rib_msk,0.19,2.34,11.53,0.19
s1380_rib_msk,0.35,1.45,6.32,0.35
s1330_rib_msk,0.38,1.51,5.39,0.34
s0386_rib_msk,0.02,18.31,32.86,0.13
s0945_rib_msk,0.29,1.58,5.74,0.35
s1089_rib_msk,0.36,1.38,7.00,0.31
s0982_rib_msk,0.11,4.59,16.55,0.11
s1029_rib_msk,0.40,1.40,7.81,0.37
s1042_rib_msk,0.13,2.33,10.20,0.19
s1305_rib_msk,0.19,2.11,6.48,0.29
s0344_rib_msk,0.31,1.78,5.74,0.32
s0556_rib_msk,0.34,1.57,4.58,0.33
s0975_rib_msk,0.09,2.84,7.35,0.14
s0046_rib_msk,0.33,1.48,8.37,0.34
s1337_rib_msk,0.37,1.44,7.07,0.35
s1161_rib_msk,0.26,1.79,12.12,0.26
s0550_rib_msk,0.32,1.65,5.00,0.33
s0502_rib_msk,0.41,1.36,3.68,0.40
s0845_rib_msk,0.21,1.72,5.74,0.32
s0115_rib_msk,0.25,2.00,7.35,0.24
s0939_rib_msk,0.34,1.57,5.83,0.34
s0531_rib_msk,0.29,1.64,5.10,0.37
s1120_rib_msk,0.32,1.55,6.71,0.33
s0869_rib_msk,0.40,1.31,5.39,0.36
s0394_rib_msk,0.18,2.01,9.54,0.21
s0461_rib_msk,0.28,1.78,4.90,0.32
s0669_rib_msk,0.29,1.71,5.00,0.32
s0775_rib_msk,0.26,1.87,4.24,0.33
s0698_rib_msk,0.26,2.02,8.06,0.26
s0191_rib_msk,0.12,6.75,23.02,0.22
s0880_rib_msk,0.30,2.02,8.12,0.29
s1228_rib_msk,0.26,1.75,5.20,0.33
s0598_rib_msk,0.31,1.72,12.72,0.27
s1090_rib_msk,0.36,1.40,4.90,0.37
s1387_rib_msk,0.28,1.92,8.83,0.24
s0752_rib_msk,0.16,2.64,9.00,0.18
s0833_rib_msk,0.31,1.53,4.36,0.34
s0613_rib_msk,0.45,1.20,4.24,0.41
s1174_rib_msk,0.33,1.64,5.92,0.32
s0123_rib_msk,0.44,1.31,4.24,0.40
s0999_rib_msk,0.24,1.96,5.66,0.30
s0625_rib_msk,0.17,2.15,6.00,0.27
s1070_rib_msk,0.28,1.68,4.12,0.35
s0952_rib_msk,0.01,11.90,26.17,0.03
s0896_rib_msk,0.25,1.84,4.36,0.36
s0446_rib_msk,0.42,1.29,5.92,0.40
s1012_rib_msk,0.22,2.17,6.78,0.25
s1111_rib_msk,0.36,1.44,5.39,0.35
s1178_rib_msk,0.15,2.65,9.27,0.20
s1233_rib_msk,0.29,1.75,5.10,0.32
s0444_rib_msk,0.23,2.10,5.00,0.34
s0720_rib_msk,0.33,1.55,5.67,0.34
s0437_rib_msk,0.43,1.34,4.24,0.40
s0332_rib_msk,0.36,1.47,5.92,0.35
s0913_rib_msk,0.40,1.47,4.58,0.41
