subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.48,1.19,5.74,0.40
s0334_rib_msk,0.60,0.81,3.46,0.51
s1372_rib_msk,0.47,1.07,4.12,0.45
s0447_rib_msk,0.40,1.18,3.16,0.47
s0582_rib_msk,0.50,0.93,8.49,0.46
s0392_rib_msk,0.59,0.80,3.00,0.56
s1018_rib_msk,0.44,1.07,6.78,0.45
s0798_rib_msk,0.48,1.16,5.10,0.52
s1058_rib_msk,0.35,1.32,5.39,0.38
s0111_rib_msk,0.51,1.11,4.69,0.46
s0065_rib_msk,0.55,0.94,3.00,0.52
s0641_rib_msk,0.46,1.03,3.00,0.49
s0499_rib_msk,0.59,0.81,3.00,0.57
s0425_rib_msk,0.57,0.94,2.45,0.53
s0737_rib_msk,0.45,1.15,3.00,0.55
s0918_rib_msk,0.56,0.92,3.32,0.48
s0743_rib_msk,0.56,0.97,3.16,0.53
s0919_rib_msk,0.41,1.32,4.47,0.47
s0095_rib_msk,0.37,2.07,6.16,0.38
s1380_rib_msk,0.53,1.03,3.74,0.56
s1330_rib_msk,0.61,0.82,2.45,0.51
s0386_rib_msk,0.31,2.26,22.59,0.35
s0945_rib_msk,0.55,0.92,2.24,0.59
s1089_rib_msk,0.55,0.96,4.12,0.49
s0982_rib_msk,0.18,2.76,15.17,0.15
s1029_rib_msk,0.53,0.96,3.61,0.47
s1042_rib_msk,0.37,1.47,6.78,0.38
s1305_rib_msk,0.35,1.24,10.05,0.41
s0344_rib_msk,0.59,1.03,5.20,0.53
s0556_rib_msk,0.57,0.92,3.32,0.52
s0975_rib_msk,0.53,1.03,5.10,0.44
s0046_rib_msk,0.50,1.05,3.61,0.47
s1337_rib_msk,0.59,0.88,2.45,0.54
s1161_rib_msk,0.59,0.91,4.36,0.51
s0550_rib_msk,0.60,0.78,3.00,0.53
s0502_rib_msk,0.62,0.82,2.24,0.58
s0845_rib_msk,0.57,0.84,3.00,0.59
s0115_rib_msk,0.51,1.11,4.12,0.44
s0939_rib_msk,0.64,0.75,5.83,0.57
s0531_rib_msk,0.44,1.21,5.00,0.47
s1120_rib_msk,0.60,0.75,2.45,0.61
s0869_rib_msk,0.59,0.84,3.00,0.54
s0394_rib_msk,0.46,1.11,6.00,0.40
s0461_rib_msk,0.49,1.04,2.83,0.49
s0669_rib_msk,0.47,1.13,3.16,0.50
s0775_rib_msk,0.64,0.91,2.83,0.61
s0698_rib_msk,0.49,1.13,3.61,0.49
s0191_rib_msk,0.41,1.11,5.00,0.37
s0880_rib_msk,0.45,1.33,5.00,0.47
s1228_rib_msk,0.50,1.07,3.00,0.52
s0598_rib_msk,0.57,1.00,3.74,0.52
s1090_rib_msk,0.57,0.87,3.61,0.50
s1387_rib_msk,0.54,0.96,4.24,0.42
s0752_rib_msk,0.45,1.32,5.00,0.40
s0833_rib_msk,0.50,1.06,4.24,0.51
s0613_rib_msk,0.55,0.91,3.74,0.48
s1174_rib_msk,0.59,0.89,3.32,0.54
s0123_rib_msk,0.63,0.76,2.24,0.59
s0999_rib_msk,0.46,1.07,4.12,0.48
s0625_rib_msk,0.43,1.31,3.32,0.47
s1070_rib_msk,0.40,1.28,3.74,0.45
s0952_rib_msk,0.20,3.48,13.19,0.19
s0896_rib_msk,0.51,0.99,2.45,0.57
s0446_rib_msk,0.58,0.84,2.24,0.57
s1012_rib_msk,0.55,0.91,8.25,0.49
s1111_rib_msk,0.59,0.94,2.45,0.56
s1178_rib_msk,0.49,1.11,8.49,0.45
s1233_rib_msk,0.47,1.13,3.61,0.48
s0444_rib_msk,0.46,1.10,2.45,0.54
s0720_rib_msk,0.59,0.83,4.36,0.53
s0437_rib_msk,0.65,0.81,2.45,0.61
s0332_rib_msk,0.62,0.80,2.83,0.57
s0913_rib_msk,0.59,0.87,2.24,0.57
