subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.26,2.15,10.49,0.24
s0334_rib_msk,0.47,1.14,8.12,0.39
s1372_rib_msk,0.33,1.42,5.20,0.34
s0447_rib_msk,0.33,1.31,4.12,0.41
s0582_rib_msk,0.34,1.37,9.85,0.34
s0392_rib_msk,0.39,1.38,6.32,0.36
s1018_rib_msk,0.32,1.50,8.31,0.35
s0798_rib_msk,0.32,1.71,6.08,0.42
s1058_rib_msk,0.29,1.61,7.68,0.33
s0111_rib_msk,0.30,2.02,9.49,0.31
s0065_rib_msk,0.35,1.52,6.48,0.35
s0641_rib_msk,0.33,1.42,7.07,0.35
s0499_rib_msk,0.51,1.01,4.36,0.51
s0425_rib_msk,0.42,1.40,4.47,0.39
s0737_rib_msk,0.36,1.41,5.48,0.43
s0918_rib_msk,0.41,1.38,5.39,0.36
s0743_rib_msk,0.28,2.15,9.70,0.30
s0919_rib_msk,0.37,1.34,13.34,0.38
s0095_rib_msk,0.27,2.29,8.77,0.25
s1380_rib_msk,0.35,1.39,4.90,0.39
s1330_rib_msk,0.34,1.72,10.25,0.28
s0386_rib_msk,0.16,10.60,28.76,0.37
s0945_rib_msk,0.38,1.38,5.92,0.40
s1089_rib_msk,0.40,1.47,6.16,0.37
s0982_rib_msk,0.24,2.76,13.15,0.20
s1029_rib_msk,0.36,1.46,5.48,0.35
s1042_rib_msk,0.21,2.18,10.49,0.24
s1305_rib_msk,0.27,1.80,9.17,0.34
s0344_rib_msk,0.38,1.37,7.14,0.37
s0556_rib_msk,0.43,1.31,5.20,0.41
s0975_rib_msk,0.32,1.74,6.08,0.30
s0046_rib_msk,0.34,1.38,9.64,0.32
s1337_rib_msk,0.36,1.60,7.72,0.36
s1161_rib_msk,0.33,2.07,7.68,0.30
s0550_rib_msk,0.34,1.77,7.00,0.31
s0502_rib_msk,0.45,1.23,5.10,0.41
s0845_rib_msk,0.39,1.19,4.12,0.45
s0115_rib_msk,0.36,1.85,5.66,0.33
s0939_rib_msk,0.43,1.29,8.54,0.39
s0531_rib_msk,0.36,1.35,7.28,0.41
s1120_rib_msk,0.39,1.23,8.12,0.40
s0869_rib_msk,0.39,1.38,7.28,0.35
s0394_rib_msk,0.35,1.33,8.27,0.33
s0461_rib_msk,0.38,1.49,4.24,0.40
s0669_rib_msk,0.34,1.53,5.74,0.37
s0775_rib_msk,0.39,1.43,4.12,0.39
s0698_rib_msk,0.22,2.08,7.81,0.25
s0191_rib_msk,0.31,3.90,19.34,0.34
s0880_rib_msk,0.34,1.55,8.77,0.35
s1228_rib_msk,0.28,1.72,5.48,0.35
s0598_rib_msk,0.37,1.51,7.28,0.35
s1090_rib_msk,0.38,1.43,6.32,0.36
s1387_rib_msk,0.30,1.79,10.44,0.25
s0752_rib_msk,0.25,2.23,10.44,0.24
s0833_rib_msk,0.34,1.46,4.58,0.38
s0613_rib_msk,0.44,1.22,7.07,0.40
s1174_rib_msk,0.39,1.48,6.71,0.38
s0123_rib_msk,0.46,1.22,4.12,0.45
s0999_rib_msk,0.33,1.55,5.74,0.37
s0625_rib_msk,0.34,1.77,5.39,0.37
s1070_rib_msk,0.36,1.42,4.24,0.42
s0952_rib_msk,0.16,5.78,19.71,0.18
s0896_rib_msk,0.39,1.26,4.36,0.49
s0446_rib_msk,0.40,1.39,3.74,0.42
s1012_rib_msk,0.40,1.38,6.71,0.39
s1111_rib_msk,0.44,1.27,5.39,0.42
s1178_rib_msk,0.21,3.72,16.49,0.24
s1233_rib_msk,0.34,1.54,5.10,0.39
s0444_rib_msk,0.30,1.59,4.36,0.40
s0720_rib_msk,0.45,1.27,5.39,0.40
s0437_rib_msk,0.49,1.17,5.00,0.44
s0332_rib_msk,0.42,1.35,5.39,0.40
s0913_rib_msk,0.45,1.31,3.46,0.46
