subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.36,1.90,9.95,0.30
s0334_rib_msk,0.51,1.00,7.35,0.42
s1372_rib_msk,0.34,1.42,4.69,0.35
s0447_rib_msk,0.39,1.17,3.74,0.45
s0582_rib_msk,0.37,1.25,7.35,0.37
s0392_rib_msk,0.40,1.38,5.74,0.37
s1018_rib_msk,0.34,1.45,7.35,0.37
s0798_rib_msk,0.35,1.58,6.08,0.42
s1058_rib_msk,0.31,1.48,7.87,0.33
s0111_rib_msk,0.35,1.79,7.55,0.34
s0065_rib_msk,0.43,1.30,5.74,0.40
s0641_rib_msk,0.39,1.30,6.63,0.39
s0499_rib_msk,0.56,0.86,3.32,0.54
s0425_rib_msk,0.49,1.20,4.58,0.44
s0737_rib_msk,0.39,1.32,5.83,0.46
s0918_rib_msk,0.48,1.14,5.39,0.40
s0743_rib_msk,0.31,2.07,8.54,0.32
s0919_rib_msk,0.38,1.37,13.42,0.37
s0095_rib_msk,0.30,2.14,9.00,0.28
s1380_rib_msk,0.42,1.19,5.25,0.44
s1330_rib_msk,0.42,1.31,9.95,0.34
s0386_rib_msk,0.15,11.98,31.31,0.35
s0945_rib_msk,0.41,1.25,4.69,0.44
s1089_rib_msk,0.44,1.26,4.36,0.40
s0982_rib_msk,0.22,3.24,15.39,0.18
s1029_rib_msk,0.44,1.22,5.20,0.40
s1042_rib_msk,0.28,1.84,8.12,0.29
s1305_rib_msk,0.29,1.77,9.27,0.34
s0344_rib_msk,0.41,1.30,7.27,0.37
s0556_rib_msk,0.49,1.19,5.00,0.46
s0975_rib_msk,0.35,1.64,5.92,0.32
s0046_rib_msk,0.37,1.31,6.40,0.35
s1337_rib_msk,0.47,1.21,5.00,0.43
s1161_rib_msk,0.42,1.55,6.40,0.37
s0550_rib_msk,0.41,1.39,7.05,0.37
s0502_rib_msk,0.52,1.07,4.12,0.48
s0845_rib_msk,0.45,1.08,4.12,0.48
s0115_rib_msk,0.41,1.61,5.10,0.35
s0939_rib_msk,0.51,1.12,6.71,0.44
s0531_rib_msk,0.42,1.22,7.68,0.46
s1120_rib_msk,0.43,1.13,7.68,0.43
s0869_rib_msk,0.47,1.13,5.83,0.43
s0394_rib_msk,0.41,1.20,8.37,0.37
s0461_rib_msk,0.45,1.25,3.74,0.45
s0669_rib_msk,0.43,1.31,5.10,0.45
s0775_rib_msk,0.50,1.10,3.16,0.46
s0698_rib_msk,0.31,1.74,7.87,0.31
s0191_rib_msk,0.33,2.86,15.34,0.34
s0880_rib_msk,0.41,1.42,9.00,0.39
s1228_rib_msk,0.32,1.61,5.10,0.37
s0598_rib_msk,0.44,1.32,6.91,0.40
s1090_rib_msk,0.45,1.22,6.16,0.41
s1387_rib_msk,0.34,1.50,9.85,0.27
s0752_rib_msk,0.25,2.06,11.58,0.25
s0833_rib_msk,0.39,1.33,4.36,0.42
s0613_rib_msk,0.50,1.07,6.63,0.45
s1174_rib_msk,0.42,1.34,5.10,0.39
s0123_rib_msk,0.55,0.99,3.61,0.51
s0999_rib_msk,0.37,1.39,5.74,0.39
s0625_rib_msk,0.40,1.53,5.20,0.41
s1070_rib_msk,0.42,1.19,4.47,0.46
s0952_rib_msk,0.20,5.93,22.47,0.21
s0896_rib_msk,0.41,1.20,4.12,0.50
s0446_rib_msk,0.46,1.22,3.74,0.45
s1012_rib_msk,0.46,1.29,6.32,0.42
s1111_rib_msk,0.51,1.07,5.92,0.45
s1178_rib_msk,0.23,3.09,13.19,0.27
s1233_rib_msk,0.37,1.42,5.20,0.39
s0444_rib_msk,0.34,1.47,4.24,0.42
s0720_rib_msk,0.52,1.06,4.69,0.44
s0437_rib_msk,0.52,1.05,4.12,0.47
s0332_rib_msk,0.53,1.03,5.74,0.48
s0913_rib_msk,0.54,1.03,3.00,0.53
