subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.43,1.35,5.10,0.36
s0334_rib_msk,0.61,0.80,3.00,0.52
s1372_rib_msk,0.42,1.14,4.12,0.40
s0447_rib_msk,0.50,0.88,2.45,0.54
s0582_rib_msk,0.44,1.11,9.43,0.43
s0392_rib_msk,0.48,1.06,3.00,0.45
s1018_rib_msk,0.43,1.24,3.32,0.46
s0798_rib_msk,0.47,1.14,4.12,0.52
s1058_rib_msk,0.34,1.37,8.12,0.35
s0111_rib_msk,0.47,1.48,5.04,0.43
s0065_rib_msk,0.54,0.93,3.00,0.52
s0641_rib_msk,0.44,1.07,3.61,0.47
s0499_rib_msk,0.63,0.77,2.24,0.63
s0425_rib_msk,0.57,0.93,2.83,0.51
s0737_rib_msk,0.40,1.29,3.32,0.48
s0918_rib_msk,0.56,0.93,3.32,0.49
s0743_rib_msk,0.51,1.14,3.00,0.52
s0919_rib_msk,0.45,1.21,4.24,0.47
s0095_rib_msk,0.38,2.22,7.48,0.37
s1380_rib_msk,0.54,0.94,3.46,0.55
s1330_rib_msk,0.57,0.98,2.83,0.48
s0386_rib_msk,0.19,10.48,30.82,0.35
s0945_rib_msk,0.46,1.08,3.74,0.48
s1089_rib_msk,0.58,0.87,3.46,0.53
s0982_rib_msk,0.23,2.61,13.49,0.20
s1029_rib_msk,0.55,0.96,3.00,0.50
s1042_rib_msk,0.39,1.40,9.70,0.35
s1305_rib_msk,0.30,1.55,5.74,0.36
s0344_rib_msk,0.50,1.10,3.61,0.47
s0556_rib_msk,0.58,0.92,2.45,0.56
s0975_rib_msk,0.52,1.05,4.00,0.45
s0046_rib_msk,0.46,1.08,6.16,0.41
s1337_rib_msk,0.54,1.02,2.83,0.52
s1161_rib_msk,0.53,1.24,4.12,0.47
s0550_rib_msk,0.54,1.02,3.00,0.48
s0502_rib_msk,0.58,0.94,2.45,0.55
s0845_rib_msk,0.55,0.91,3.46,0.57
s0115_rib_msk,0.48,1.25,3.74,0.43
s0939_rib_msk,0.58,0.89,2.83,0.52
s0531_rib_msk,0.43,1.23,3.61,0.48
s1120_rib_msk,0.55,0.86,3.74,0.54
s0869_rib_msk,0.57,0.88,3.00,0.53
s0394_rib_msk,0.51,0.89,10.25,0.42
s0461_rib_msk,0.48,1.07,3.00,0.48
s0669_rib_msk,0.49,1.09,3.32,0.50
s0775_rib_msk,0.59,0.94,2.45,0.55
s0698_rib_msk,0.34,1.64,5.10,0.33
s0191_rib_msk,0.31,2.69,10.63,0.30
s0880_rib_msk,0.54,1.29,3.32,0.54
s1228_rib_msk,0.41,1.34,3.46,0.46
s0598_rib_msk,0.52,1.06,3.16,0.47
s1090_rib_msk,0.56,0.90,2.83,0.52
s1387_rib_msk,0.47,1.02,9.11,0.36
s0752_rib_msk,0.38,1.55,6.32,0.35
s0833_rib_msk,0.48,1.13,4.24,0.48
s0613_rib_msk,0.58,0.87,3.00,0.53
s1174_rib_msk,0.58,0.91,2.45,0.54
s0123_rib_msk,0.65,0.73,2.00,0.61
s0999_rib_msk,0.39,1.34,4.12,0.44
s0625_rib_msk,0.45,1.36,4.12,0.47
s1070_rib_msk,0.47,1.07,3.00,0.51
s0952_rib_msk,0.17,6.50,22.32,0.19
s0896_rib_msk,0.48,1.01,2.45,0.55
s0446_rib_msk,0.56,0.89,2.24,0.55
s1012_rib_msk,0.54,0.89,9.84,0.49
s1111_rib_msk,0.59,0.93,2.83,0.56
s1178_rib_msk,0.34,2.14,8.49,0.35
s1233_rib_msk,0.50,1.26,3.74,0.50
s0444_rib_msk,0.48,1.11,3.00,0.55
s0720_rib_msk,0.63,0.78,2.45,0.57
s0437_rib_msk,0.61,0.82,2.24,0.57
s0332_rib_msk,0.58,0.90,2.83,0.53
s0913_rib_msk,0.62,0.83,2.24,0.60
