subject-id,DSC,ASD,HD95,NSD
s1110,0.49,1.10,5.39,0.44
s0334,0.62,0.75,2.83,0.55
s1372,0.47,0.95,4.47,0.46
s0447,0.54,0.71,2.45,0.60
s0582,0.49,0.87,5.69,0.49
s0392,0.55,0.88,2.83,0.53
s1018,0.45,1.11,3.74,0.49
s0798,0.53,1.08,4.24,0.61
s1058,0.35,1.45,5.20,0.39
s0111,0.50,1.18,4.69,0.46
s0065,0.56,0.86,3.00,0.55
s0641,0.51,0.81,3.00,0.54
s0499,0.65,0.58,2.00,0.67
s0425,0.63,0.75,2.45,0.59
s0737,0.43,1.10,3.46,0.51
s0918,0.64,0.68,2.45,0.58
s0743,0.49,1.18,3.32,0.52
s0919,0.49,0.96,3.16,0.53
s0095,0.34,2.26,7.81,0.34
s1380,0.59,0.72,3.00,0.62
s1330,0.63,0.78,2.24,0.57
s0386,0.30,9.48,32.71,0.51
s0945,0.57,0.79,2.24,0.63
s1089,0.58,0.87,3.00,0.54
s0982,0.22,2.92,10.25,0.21
s1029,0.59,0.77,3.00,0.55
s1042,0.44,1.31,6.16,0.44
s1305,0.29,1.48,5.83,0.36
s0344,0.55,0.97,3.74,0.51
s0556,0.62,0.82,2.24,0.60
s0975,0.53,0.98,4.24,0.46
s0046,0.53,0.92,5.00,0.49
s1337,0.62,0.77,2.24,0.60
s1161,0.55,1.04,4.47,0.50
s0550,0.57,0.91,2.83,0.53
s0502,0.58,0.86,2.45,0.57
s0845,0.59,0.70,2.45,0.62
s0115,0.51,1.33,4.12,0.46
s0939,0.58,0.85,3.00,0.55
s0531,0.56,0.78,2.45,0.63
s1120,0.58,0.72,3.16,0.60
s0869,0.60,0.77,3.00,0.58
s0394,0.50,0.85,6.35,0.45
s0461,0.53,0.86,2.45,0.54
s0669,0.52,1.05,3.32,0.54
s0775,0.61,0.86,2.83,0.61
s0698,0.38,1.35,4.69,0.40
s0191,0.45,2.55,10.34,0.40
s0880,0.53,1.02,2.83,0.55
s1228,0.44,1.20,3.74,0.47
s0598,0.53,1.08,3.00,0.52
s1090,0.57,0.82,3.00,0.53
s1387,0.44,1.14,4.90,0.38
s0752,0.40,1.46,5.74,0.38
s0833,0.52,0.90,3.16,0.54
s0613,0.62,0.74,3.00,0.58
s1174,0.56,0.91,3.16,0.53
s0123,0.67,0.61,2.00,0.65
s0999,0.42,1.04,3.74,0.47
s0625,0.49,1.20,3.61,0.51
s1070,0.47,1.00,3.32,0.54
s0952,0.15,8.03,30.13,0.17
s0896,0.55,0.76,2.24,0.63
s0446,0.60,0.75,2.24,0.60
s1012,0.56,0.90,4.00,0.54
s1111,0.61,0.88,2.83,0.61
s1178,0.36,1.98,8.06,0.38
s1233,0.54,0.93,3.46,0.56
s0444,0.48,1.03,3.16,0.56
s0720,0.65,0.75,3.00,0.61
s0437,0.65,0.72,2.24,0.62
s0332,0.61,0.75,2.45,0.58
s0913,0.66,0.66,2.00,0.65
