subject-id,DSC,ASD,HD95,NSD
s1110,0.37,1.39,10.44,0.34
s0334,0.55,0.91,7.81,0.47
s1372,0.44,1.13,7.07,0.43
s0447,0.47,0.94,4.69,0.54
s0582,0.38,1.15,12.08,0.37
s0392,0.50,1.00,7.07,0.48
s1018,0.40,1.22,11.70,0.41
s0798,0.38,1.49,10.49,0.42
s1058,0.27,1.67,8.77,0.33
s0111,0.35,1.59,11.45,0.34
s0065,0.45,1.13,7.81,0.45
s0641,0.42,1.21,8.54,0.43
s0499,0.56,0.81,6.40,0.54
s0425,0.49,1.10,6.16,0.44
s0737,0.25,1.81,7.00,0.35
s0918,0.49,1.14,5.83,0.45
s0743,0.29,2.25,9.85,0.30
s0919,0.37,1.45,11.22,0.44
s0095,0.27,2.24,15.13,0.25
s1380,0.34,1.52,7.81,0.38
s1330,0.54,0.95,12.73,0.45
s0386,0.07,6.34,32.03,0.06
s0945,0.43,1.11,10.05,0.46
s1089,0.55,0.88,8.31,0.47
s0982,0.16,2.70,18.28,0.13
s1029,0.58,0.90,8.06,0.53
s1042,0.32,1.86,10.72,0.31
s1305,0.34,1.44,13.04,0.38
s0344,0.49,1.12,8.19,0.44
s0556,0.57,0.93,6.08,0.52
s0975,0.26,2.42,13.96,0.24
s0046,0.41,1.26,9.38,0.40
s1337,0.45,1.19,5.48,0.43
s1161,0.50,1.11,8.25,0.44
s0550,0.46,1.14,10.30,0.40
s0502,0.59,0.84,4.47,0.54
s0845,0.36,1.59,9.27,0.41
s0115,0.52,1.17,14.49,0.42
s0939,0.38,1.37,8.25,0.39
s0531,0.42,1.11,11.18,0.45
s1120,0.43,1.14,9.85,0.46
s0869,0.49,1.00,9.11,0.45
s0394,0.32,1.50,10.82,0.33
s0461,0.38,1.32,4.58,0.40
s0669,0.34,1.73,8.60,0.36
s0775,0.44,1.38,6.00,0.43
s0698,0.42,1.22,8.54,0.41
s0191,0.09,4.38,11.31,0.12
s0880,0.31,1.85,10.10,0.35
s1228,0.41,1.27,9.43,0.44
s0598,0.36,1.87,9.64,0.35
s1090,0.45,1.07,8.72,0.42
s1387,0.39,1.35,14.97,0.30
s0752,0.31,1.73,12.04,0.30
s0833,0.44,1.26,5.66,0.45
s0613,0.59,0.79,9.22,0.52
s1174,0.42,1.57,10.05,0.40
s0123,0.52,1.08,5.10,0.50
s0999,0.42,1.19,7.07,0.45
s0625,0.27,1.72,7.24,0.33
s1070,0.30,1.47,7.14,0.38
s0952,0.12,3.64,17.69,0.12
s0896,0.45,1.11,9.27,0.54
s0446,0.47,1.20,7.87,0.46
s1012,0.36,1.42,9.48,0.39
s1111,0.45,1.12,6.40,0.44
s1178,0.39,1.50,9.43,0.38
s1233,0.44,1.23,9.68,0.44
s0444,0.34,1.37,7.28,0.42
s0720,0.44,1.27,8.31,0.41
s0437,0.57,0.81,7.87,0.52
s0332,0.44,1.28,8.28,0.41
s0913,0.52,1.01,8.06,0.50
