subject-id,DSC,ASD,HD95,NSD
s1110,0.49,1.00,5.66,0.41
s0334,0.60,0.64,3.16,0.50
s1372,0.45,0.98,4.69,0.43
s0447,0.42,0.86,4.12,0.46
s0582,0.39,0.83,11.05,0.37
s0392,0.58,0.72,3.00,0.54
s1018,0.38,0.89,9.85,0.39
s0798,0.49,0.91,5.48,0.54
s1058,0.29,1.87,10.20,0.31
s0111,0.47,1.02,7.81,0.41
s0065,0.61,0.63,3.61,0.58
s0641,0.43,0.89,3.74,0.46
s0499,0.61,0.60,2.83,0.59
s0425,0.57,0.76,2.83,0.53
s0737,0.32,1.19,4.90,0.41
s0918,0.54,0.79,3.74,0.47
s0743,0.59,0.77,3.74,0.56
s0919,0.47,1.00,4.12,0.51
s0095,0.32,2.33,9.27,0.31
s1380,0.51,0.75,5.83,0.51
s1330,0.57,0.73,3.00,0.48
s0386,0.29,1.72,39.64,0.30
s0945,0.57,0.66,3.00,0.60
s1089,0.54,0.85,4.12,0.48
s0982,0.15,2.25,19.87,0.12
s1029,0.55,0.72,3.74,0.51
s1042,0.28,1.46,9.49,0.29
s1305,0.29,1.15,10.30,0.35
s0344,0.57,0.75,4.24,0.51
s0556,0.54,0.84,3.61,0.49
s0975,0.44,1.02,5.20,0.38
s0046,0.49,0.79,4.90,0.45
s1337,0.63,0.63,2.45,0.59
s1161,0.53,0.94,4.69,0.46
s0550,0.55,0.73,3.32,0.47
s0502,0.62,0.63,2.24,0.59
s0845,0.55,0.69,3.16,0.57
s0115,0.45,1.18,4.36,0.37
s0939,0.64,0.57,6.48,0.57
s0531,0.46,0.98,4.58,0.51
s1120,0.60,0.56,5.39,0.59
s0869,0.56,0.76,3.32,0.51
s0394,0.48,0.80,7.07,0.41
s0461,0.52,0.80,3.00,0.50
s0669,0.46,0.98,4.36,0.47
s0775,0.63,0.77,2.24,0.60
s0698,0.45,1.09,4.47,0.43
s0191,0.37,0.87,11.36,0.34
s0880,0.38,1.37,6.40,0.42
s1228,0.53,0.84,3.32,0.56
s0598,0.56,0.91,3.00,0.52
s1090,0.57,0.71,3.00,0.52
s1387,0.48,0.84,7.00,0.36
s0752,0.41,1.11,9.64,0.35
s0833,0.39,1.16,5.39,0.41
s0613,0.52,0.82,3.46,0.46
s1174,0.53,0.91,4.36,0.49
s0123,0.60,0.68,2.45,0.55
s0999,0.48,0.78,4.69,0.49
s0625,0.40,1.33,4.90,0.40
s1070,0.44,0.98,4.47,0.47
s0952,0.16,1.95,27.00,0.13
s0896,0.50,0.81,4.24,0.56
s0446,0.57,0.70,3.00,0.54
s1012,0.50,0.84,5.39,0.46
s1111,0.60,0.74,2.45,0.57
s1178,0.42,1.28,9.90,0.39
s1233,0.46,0.95,4.24,0.47
s0444,0.47,0.94,3.16,0.54
s0720,0.53,0.78,4.00,0.48
s0437,0.63,0.68,2.83,0.59
s0332,0.65,0.57,3.00,0.60
s0913,0.57,0.74,2.45,0.56
