subject-id,DSC,ASD,HD95,NSD
s1110,0.38,1.51,8.06,0.33
s0334,0.57,0.89,3.16,0.52
s1372,0.42,1.20,4.12,0.43
s0447,0.49,0.94,2.45,0.56
s0582,0.39,1.33,7.81,0.39
s0392,0.47,1.17,3.46,0.45
s1018,0.39,1.30,3.74,0.45
s0798,0.43,1.32,4.12,0.52
s1058,0.36,1.64,5.48,0.39
s0111,0.35,2.26,6.08,0.33
s0065,0.56,0.88,3.00,0.55
s0641,0.44,1.14,3.16,0.47
s0499,0.60,0.79,2.24,0.62
s0425,0.54,1.03,3.32,0.52
s0737,0.37,1.43,3.74,0.47
s0918,0.56,0.95,3.00,0.52
s0743,0.45,1.30,3.74,0.49
s0919,0.44,1.13,3.61,0.48
s0095,0.33,2.84,11.66,0.33
s1380,0.50,1.05,3.61,0.53
s1330,0.55,0.93,2.83,0.49
s0386,0.29,6.29,20.63,0.46
s0945,0.42,1.21,3.16,0.49
s1089,0.49,1.09,3.74,0.44
s0982,0.17,2.49,13.93,0.16
s1029,0.51,1.02,3.32,0.47
s1042,0.37,1.43,7.48,0.38
s1305,0.36,1.43,5.83,0.43
s0344,0.49,1.19,4.00,0.47
s0556,0.57,0.97,2.83,0.56
s0975,0.46,1.21,4.24,0.42
s0046,0.42,1.26,5.39,0.40
s1337,0.52,1.06,3.00,0.52
s1161,0.46,1.29,4.69,0.41
s0550,0.54,0.95,3.00,0.50
s0502,0.51,1.04,3.00,0.50
s0845,0.49,1.08,3.61,0.53
s0115,0.48,1.35,4.58,0.43
s0939,0.54,0.92,3.00,0.50
s0531,0.47,1.15,3.00,0.56
s1120,0.53,0.85,2.45,0.56
s0869,0.55,0.95,3.00,0.53
s0394,0.49,0.95,6.71,0.44
s0461,0.48,1.06,3.00,0.50
s0669,0.46,1.14,3.16,0.50
s0775,0.51,1.10,3.00,0.51
s0698,0.40,1.42,5.10,0.41
s0191,0.30,3.91,17.61,0.32
s0880,0.49,1.32,3.61,0.52
s1228,0.44,1.23,3.16,0.48
s0598,0.52,1.11,3.16,0.50
s1090,0.54,0.90,2.45,0.52
s1387,0.43,1.07,7.87,0.35
s0752,0.33,1.53,6.08,0.32
s0833,0.50,1.00,3.74,0.53
s0613,0.57,0.90,2.83,0.55
s1174,0.49,1.10,3.00,0.48
s0123,0.60,0.81,2.24,0.58
s0999,0.33,1.46,4.12,0.41
s0625,0.45,1.25,3.61,0.48
s1070,0.43,1.18,3.61,0.47
s0952,0.17,4.71,16.06,0.15
s0896,0.51,1.02,2.83,0.62
s0446,0.57,0.93,2.45,0.59
s1012,0.47,1.15,6.40,0.46
s1111,0.55,1.04,3.16,0.55
s1178,0.32,2.11,10.82,0.34
s1233,0.47,1.22,3.61,0.51
s0444,0.41,1.27,4.24,0.48
s0720,0.61,0.85,2.45,0.57
s0437,0.59,0.87,2.83,0.55
s0332,0.58,0.87,2.24,0.55
s0913,0.61,0.84,2.24,0.61
