subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.89,0.48,1.41,0.94
sub-verse138_vert-17-seg-vert_msk,0.89,0.48,1.73,0.92
sub-verse138_vert-18-seg-vert_msk,0.89,0.52,1.73,0.92
sub-verse138_vert-19-seg-vert_msk,0.88,0.63,2.00,0.90
sub-verse138_vert-20-seg-vert_msk,0.88,0.58,2.00,0.88
sub-verse138_vert-21-seg-vert_msk,0.90,0.49,2.00,0.92
sub-verse138_vert-22-seg-vert_msk,0.92,0.43,1.41,0.93
sub-verse138_vert-23-seg-vert_msk,0.88,0.64,2.00,0.89
sub-verse138_vert-24-seg-vert_msk,0.82,0.92,4.11,0.71
sub-verse058_vert-19-seg-vert_msk,0.90,0.49,1.41,0.93
sub-verse058_vert-20-seg-vert_msk,0.89,0.51,1.41,0.93
sub-verse058_vert-21-seg-vert_msk,0.90,0.44,1.41,0.94
sub-verse058_vert-22-seg-vert_msk,0.89,0.47,1.99,0.91
sub-verse058_vert-23-seg-vert_msk,0.87,0.66,2.00,0.91
sub-verse058_vert-24-seg-vert_msk,0.86,0.71,2.24,0.84
sub-verse152_vert-19-seg-vert_msk,0.91,0.49,1.41,0.97
sub-verse152_vert-20-seg-vert_msk,0.88,0.57,1.73,0.92
sub-verse152_vert-21-seg-vert_msk,0.90,0.51,1.41,0.95
sub-verse152_vert-22-seg-vert_msk,0.89,0.62,1.73,0.93
sub-verse152_vert-23-seg-vert_msk,0.89,0.65,1.73,0.92
sub-verse152_vert-24-seg-vert_msk,0.86,0.70,2.24,0.84
sub-verse068_vert-16-seg-vert_msk,0.84,0.63,2.24,0.86
sub-verse068_vert-17-seg-vert_msk,0.88,0.56,1.73,0.91
sub-verse068_vert-18-seg-vert_msk,0.87,0.53,2.24,0.86
sub-verse068_vert-19-seg-vert_msk,0.86,0.60,2.24,0.85
sub-verse068_vert-20-seg-vert_msk,0.78,0.89,2.45,0.74
sub-verse068_vert-21-seg-vert_msk,0.83,0.72,2.24,0.82
sub-verse068_vert-22-seg-vert_msk,0.86,0.65,2.24,0.85
sub-verse068_vert-23-seg-vert_msk,0.86,0.61,2.83,0.83
sub-verse068_vert-24-seg-vert_msk,0.85,0.68,3.00,0.79
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.79,0.79,4.47,0.78
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.69,1.32,3.46,0.64
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.69,1.36,4.00,0.65
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.67,1.88,6.16,0.65
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.67,1.99,5.83,0.63
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.72,1.55,4.90,0.66
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.74,1.41,4.58,0.69
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.70,1.52,5.10,0.60
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.71,1.70,5.66,0.56
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.75,1.47,5.66,0.63
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.76,1.24,4.90,0.63
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.69,1.40,5.74,0.52
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.70,1.09,5.92,0.49
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.62,1.59,6.08,0.40
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.75,1.06,4.47,0.51
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.84,0.58,1.88,0.90
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.83,0.66,2.45,0.88
sub-verse073_vert-20-seg-vert_msk,0.87,0.68,2.00,0.92
sub-verse073_vert-21-seg-vert_msk,0.89,0.54,1.41,0.93
sub-verse073_vert-22-seg-vert_msk,0.83,0.85,2.83,0.80
sub-verse073_vert-23-seg-vert_msk,0.85,0.76,2.24,0.83
sub-verse073_vert-24-seg-vert_msk,0.86,0.71,2.24,0.85
sub-verse095_vert-10-seg-vert_msk,0.87,0.47,1.41,0.95
sub-verse095_vert-11-seg-vert_msk,0.78,0.79,2.00,0.87
sub-verse095_vert-12-seg-vert_msk,0.84,0.58,1.41,0.93
sub-verse095_vert-13-seg-vert_msk,0.82,0.64,2.00,0.90
sub-verse095_vert-14-seg-vert_msk,0.85,0.55,1.41,0.93
sub-verse095_vert-15-seg-vert_msk,0.86,0.61,1.41,0.95
sub-verse095_vert-16-seg-vert_msk,0.88,0.54,1.41,0.96
sub-verse095_vert-17-seg-vert_msk,0.89,0.52,1.41,0.95
sub-verse095_vert-18-seg-vert_msk,0.90,0.51,1.41,0.95
sub-verse095_vert-19-seg-vert_msk,0.90,0.48,1.41,0.95
sub-verse095_vert-20-seg-vert_msk,0.91,0.47,1.41,0.97
sub-verse095_vert-21-seg-vert_msk,0.91,0.42,1.41,0.97
