subject-id,DSC,ASD,HD95,NSD
sub-verse138,0.88,0.53,1.41,0.93
sub-verse138,0.89,0.48,2.00,0.90
sub-verse138,0.88,0.59,2.00,0.91
sub-verse138,0.87,0.63,2.24,0.86
sub-verse138,0.87,0.59,2.24,0.84
sub-verse138,0.89,0.56,1.73,0.91
sub-verse138,0.90,0.50,1.73,0.92
sub-verse138,0.87,0.67,2.24,0.85
sub-verse138,0.82,0.97,4.12,0.72
sub-verse058,0.89,0.58,1.73,0.93
sub-verse058,0.89,0.56,1.41,0.92
sub-verse058,0.89,0.49,1.41,0.93
sub-verse058,0.87,0.57,2.00,0.89
sub-verse058,0.87,0.68,1.92,0.91
sub-verse058,0.86,0.71,2.24,0.86
sub-verse152,0.91,0.49,1.41,0.97
sub-verse152,0.87,0.59,2.00,0.91
sub-verse152,0.91,0.47,1.41,0.96
sub-verse152,0.87,0.67,1.73,0.91
sub-verse152,0.87,0.74,1.73,0.93
sub-verse152,0.83,0.95,2.83,0.78
sub-verse068,0.83,0.67,2.24,0.84
sub-verse068,0.87,0.54,2.24,0.89
sub-verse068,0.85,0.66,2.83,0.83
sub-verse068,0.86,0.61,2.45,0.84
sub-verse068,0.77,0.91,2.83,0.74
sub-verse068,0.82,0.80,2.24,0.80
sub-verse068,0.84,0.76,2.24,0.79
sub-verse068,0.86,0.70,2.00,0.86
sub-verse068,0.83,0.88,3.16,0.79
sub-verse409,0.76,0.95,3.32,0.76
sub-verse409,0.68,1.47,3.74,0.64
sub-verse409,0.69,1.70,5.09,0.68
sub-verse409,0.69,1.85,5.74,0.67
sub-verse409,0.70,1.70,4.58,0.63
sub-verse409,0.74,1.45,4.28,0.67
sub-verse409,0.76,1.29,4.12,0.71
sub-verse409,0.71,1.37,5.39,0.60
sub-verse409,0.70,1.99,7.07,0.58
sub-verse409,0.76,1.37,4.12,0.64
sub-verse409,0.73,1.28,6.40,0.56
sub-verse409,0.67,1.44,5.74,0.49
sub-verse409,0.71,1.05,6.40,0.53
sub-verse409,0.63,1.56,6.00,0.40
sub-verse409,0.75,1.19,5.20,0.53
sub-verse409,0.85,0.56,1.41,0.92
sub-verse409,0.84,0.57,2.24,0.90
sub-verse073,0.85,0.79,2.00,0.86
sub-verse073,0.86,0.71,2.00,0.88
sub-verse073,0.82,0.93,2.45,0.79
sub-verse073,0.82,0.89,2.45,0.79
sub-verse073,0.84,0.88,2.24,0.83
sub-verse095,0.87,0.49,1.41,0.98
sub-verse095,0.77,0.89,2.24,0.88
sub-verse095,0.86,0.53,1.41,0.96
sub-verse095,0.84,0.64,1.41,0.93
sub-verse095,0.85,0.58,1.41,0.93
sub-verse095,0.85,0.64,1.73,0.93
sub-verse095,0.87,0.60,1.41,0.93
sub-verse095,0.88,0.58,1.41,0.93
sub-verse095,0.88,0.65,2.00,0.94
sub-verse095,0.90,0.53,1.41,0.95
sub-verse095,0.89,0.58,1.41,0.96
sub-verse095,0.91,0.48,1.00,0.98
sub-verse095,0.89,0.56,1.41,0.94
sub-verse095,0.87,0.67,1.73,0.92
sub-verse095,0.88,0.61,1.73,0.91
sub-verse095,0.78,0.71,3.16,0.80
sub-verse095,0.85,0.61,1.41,0.94
sub-verse410,0.55,3.35,14.10,0.68
sub-verse410,0.79,1.01,2.24,0.86
sub-verse410,0.77,0.75,2.00,0.89
sub-verse410,0.74,0.83,2.00,0.91
sub-verse410,0.76,1.04,3.00,0.94
sub-verse410,0.79,0.61,1.41,0.94
sub-verse410,0.82,0.61,1.41,0.93
sub-verse410,0.88,0.47,1.41,0.97
sub-verse053,0.89,0.49,2.00,0.91
sub-verse053,0.82,0.67,3.00,0.78
sub-verse053,0.81,0.87,4.47,0.70
sub-verse053,0.71,1.23,6.08,0.51
sub-verse053,0.65,1.40,6.12,0.47
sub-verse404,0.88,0.48,1.41,0.97
sub-verse404,0.87,0.51,1.41,0.95
sub-verse404,0.88,0.48,1.41,0.95
sub-verse404,0.87,0.50,1.41,0.93
sub-verse404,0.88,0.45,1.73,0.92
sub-verse404,0.88,0.54,1.41,0.93
sub-verse404,0.88,0.56,1.73,0.92
sub-verse404,0.88,0.59,2.00,0.89
sub-verse404,0.91,0.47,1.41,0.94
sub-verse404,0.89,0.56,1.73,0.92
sub-verse404,0.90,0.51,1.41,0.95
sub-verse404,0.92,0.46,1.41,0.97
sub-verse404,0.90,0.56,1.41,0.93
sub-verse404,0.89,0.62,2.24,0.88
sub-verse404,0.87,0.75,2.00,0.86
sub-verse404,0.86,0.53,1.41,0.95
sub-verse404,0.86,0.55,2.00,0.91
sub-verse404,0.89,0.47,1.41,0.96
sub-verse406,0.64,1.60,3.73,0.69
sub-verse406,0.76,0.77,3.00,0.78
sub-verse406,0.77,0.74,2.09,0.87
sub-verse406,0.76,0.75,2.00,0.89
sub-verse406,0.78,0.72,1.73,0.92
sub-verse406,0.76,0.82,2.00,0.88
sub-verse406,0.80,0.72,2.24,0.88
sub-verse406,0.81,0.73,2.24,0.84
sub-verse406,0.80,0.84,2.45,0.79
sub-verse402,0.84,0.69,1.73,0.90
sub-verse402,0.85,0.64,1.73,0.92
sub-verse402,0.86,0.62,2.24,0.89
sub-verse402,0.84,0.95,3.52,0.85
sub-verse402,0.86,0.67,2.83,0.87
sub-verse402,0.88,0.50,2.00,0.90
sub-verse402,0.88,0.61,2.00,0.90
sub-verse402,0.89,0.57,1.73,0.91
sub-verse402,0.90,0.62,2.00,0.92
sub-verse402,0.89,0.70,1.41,0.93
sub-verse402,0.91,0.51,1.41,0.94
sub-verse402,0.91,0.51,1.41,0.94
sub-verse402,0.89,0.62,2.24,0.86
sub-verse402,0.88,0.72,2.24,0.86
sub-verse402,0.81,1.10,3.74,0.66
sub-verse402,0.80,0.61,2.24,0.87
sub-verse402,0.74,0.95,3.16,0.74
sub-verse402,0.78,0.84,3.00,0.75
sub-verse402,0.83,0.68,2.24,0.83
sub-verse034,0.85,0.82,2.24,0.84
sub-verse034,0.85,0.79,2.45,0.81
sub-verse034,0.88,0.81,2.24,0.89
sub-verse034,0.85,0.80,2.24,0.83
sub-verse034,0.87,0.72,2.24,0.86
