subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.87,0.58,2.00,0.89
sub-verse138_vert-17-seg-vert_msk,0.87,0.56,2.00,0.89
sub-verse138_vert-18-seg-vert_msk,0.86,0.70,2.00,0.89
sub-verse138_vert-19-seg-vert_msk,0.88,0.70,1.73,0.91
sub-verse138_vert-20-seg-vert_msk,0.85,0.79,2.24,0.84
sub-verse138_vert-21-seg-vert_msk,0.87,0.74,2.00,0.88
sub-verse138_vert-22-seg-vert_msk,0.90,0.54,1.41,0.93
sub-verse138_vert-23-seg-vert_msk,0.85,0.79,2.45,0.81
sub-verse138_vert-24-seg-vert_msk,0.81,1.03,4.24,0.68
sub-verse058_vert-19-seg-vert_msk,0.85,0.77,2.24,0.87
sub-verse058_vert-20-seg-vert_msk,0.86,0.65,2.24,0.87
sub-verse058_vert-21-seg-vert_msk,0.90,0.46,1.73,0.92
sub-verse058_vert-22-seg-vert_msk,0.88,0.56,2.00,0.89
sub-verse058_vert-23-seg-vert_msk,0.88,0.62,2.00,0.90
sub-verse058_vert-24-seg-vert_msk,0.83,0.88,2.45,0.77
sub-verse152_vert-19-seg-vert_msk,0.88,0.63,1.73,0.92
sub-verse152_vert-20-seg-vert_msk,0.86,0.67,1.73,0.92
sub-verse152_vert-21-seg-vert_msk,0.91,0.48,1.41,0.97
sub-verse152_vert-22-seg-vert_msk,0.90,0.54,1.41,0.93
sub-verse152_vert-23-seg-vert_msk,0.86,0.80,2.24,0.85
sub-verse152_vert-24-seg-vert_msk,0.79,1.04,3.46,0.69
sub-verse068_vert-16-seg-vert_msk,0.83,0.68,2.24,0.82
sub-verse068_vert-17-seg-vert_msk,0.85,0.62,2.24,0.86
sub-verse068_vert-18-seg-vert_msk,0.85,0.58,3.00,0.80
sub-verse068_vert-19-seg-vert_msk,0.84,0.62,3.16,0.78
sub-verse068_vert-20-seg-vert_msk,0.74,0.96,4.58,0.63
sub-verse068_vert-21-seg-vert_msk,0.81,0.82,2.45,0.74
sub-verse068_vert-22-seg-vert_msk,0.86,0.63,2.24,0.84
sub-verse068_vert-23-seg-vert_msk,0.87,0.63,2.45,0.85
sub-verse068_vert-24-seg-vert_msk,0.82,0.72,3.74,0.73
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.75,0.95,5.00,0.72
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.71,1.11,3.74,0.64
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.73,1.20,3.74,0.68
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.71,1.39,4.24,0.63
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.72,1.45,7.81,0.62
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.75,1.28,4.24,0.67
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.75,1.22,4.90,0.64
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.71,1.47,5.16,0.59
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.76,1.16,6.00,0.62
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.74,1.17,6.40,0.55
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.75,1.08,7.07,0.53
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.70,1.32,4.58,0.48
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.73,1.03,5.48,0.53
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.59,1.41,7.30,0.33
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.68,1.18,7.07,0.40
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.79,0.68,3.00,0.80
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.79,0.67,3.74,0.78
sub-verse073_vert-20-seg-vert_msk,0.85,0.78,2.00,0.88
sub-verse073_vert-21-seg-vert_msk,0.87,0.64,2.24,0.89
sub-verse073_vert-22-seg-vert_msk,0.86,0.71,2.24,0.87
sub-verse073_vert-23-seg-vert_msk,0.85,0.73,2.24,0.84
sub-verse073_vert-24-seg-vert_msk,0.83,0.86,2.24,0.81
sub-verse095_vert-10-seg-vert_msk,0.85,0.54,1.41,0.93
sub-verse095_vert-11-seg-vert_msk,0.76,0.81,2.24,0.82
sub-verse095_vert-12-seg-vert_msk,0.82,0.66,2.00,0.88
sub-verse095_vert-13-seg-vert_msk,0.79,0.83,2.24,0.85
sub-verse095_vert-14-seg-vert_msk,0.83,0.70,2.00,0.91
sub-verse095_vert-15-seg-vert_msk,0.85,0.71,2.00,0.93
sub-verse095_vert-16-seg-vert_msk,0.85,0.69,2.00,0.90
sub-verse095_vert-17-seg-vert_msk,0.86,0.68,2.00,0.89
sub-verse095_vert-18-seg-vert_msk,0.89,0.58,1.73,0.93
sub-verse095_vert-19-seg-vert_msk,0.88,0.58,1.73,0.91
sub-verse095_vert-20-seg-vert_msk,0.89,0.54,1.41,0.94
sub-verse095_vert-21-seg-vert_msk,0.89,0.56,1.41,0.94
